trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
90, Zimmerman, Zimmerman, 90, ss, open, open, -6.834808, -0.6171265, 68.37754, 0.9050293, 825.779
91, BakerBerry2nd, BakerBerry2nd, -90, ss, closed, closed, 0.32971, -0.5437317, -68.37146, 0.9470215, 827.8951
92, Fairbanks, Fairbanks, 90, ss, closed, closed, -8.57309, 2.918944, 75.81213, 1.461975, 830.6795
93, PineBackHall, PineBackHall, 90, ss, closed, closed, -6.26709, -3.673126, 66.54539, 0.9468994, 832.6566
94, BakerBerryCharter, BakerBerryCharter, 90, ss, closed, closed, -7.763367, -8.257233, 61.50854, 0.9187622, 834.8422
95, neutral, Fairbanks, -90, neutral, open, open, 2.628435, -6.344269, -69.09293, 0.9469604, 836.9865
96, neutral, AllenSt, 90, neutral, closed, closed, -7.886139, -2.685333, 69.04797, 0.8216553, 839.1165
97, RaunerFirst, RaunerFirst, 90, ss, open, open, -11.31, -1.405914, 73.29947, 0.9467163, 841.2743
98, BakerBerry2nd, BakerBerry2nd_mirror, 90, mirror, open, closed, -9.052185, 1.31232, 70.05199, 0.9608154, 843.4323
99, RaunerBackHall, RaunerBackHall, -90, ss, closed, closed, 4.878754, -2.5896, -63.66211, 1.420288, 846.1473
100, neutral, Hop4, -90, neutral, open, open, -1.558197, -0.2523193, -69.72852, 1.141907, 848.4583
101, BakerBerryHistoric2, BakerBerryHistoric2, -90, ss, closed, closed, 2.417489, -0.6882324, -73.84375, 1.239136, 850.8112
102, neutral, 53Commons, -90, neutral, closed, closed, -0.1777344, 1.513703, -71.74734, 1.044312, 852.9969
103, AllenSt, AllenSt, -90, ss, open, open, -0.4180603, -0.3135071, -72.12149, 1.002502, 855.2385
104, neutral, RaunerBackHall, 90, neutral, open, open, -3.572968, 1.853583, 68.19382, 1.253174, 857.647
105, neutral, PineEntrance, 90, neutral, closed, closed, -2.048553, 4.816148, 74.13027, 1.183594, 859.9999
106, 53Commons, 53Commons_mirror, -90, mirror, closed, closed, -2.262512, 7.044655, -72.53851, 1.489685, 862.7286
107, McLaughlinCluster, McLaughlinCluster, -90, ss, closed, closed, -1.628143, -4.705811, -64.5675, 3.536316, 880.6746
108, Maynard, Maynard, 90, ss, closed, closed, -4.657593, -4.194916, 63.76799, 0.9470215, 883.0275
