trialIdx, primeName, targetName, targetSide, condition, correctResponse, response, roll, pitch, yaw, rt, timestamp
112, NeutralUmplebys, Umplebys, 90, neutral, closed, closed, -14.04132, 41.11701, -38.94031, 2.589478, 1291.013
113, AllenSt, AllenSt_mirror, 90, mirror, closed, closed, -10.18723, 37.854, -38.66187, 2.798462, 1295.621
114, RaunerFirst, RaunerFirst, -90, ss, closed, open, -9.416443, 33.19455, -27.67514, 2.714966, 1300.188
115, McLaughlinCluster, McLaughlinCluster_mirror, 90, mirror, open, closed, -17.26895, 44.41899, -41.62042, 2.923462, 1304.462
116, MooreLot, MooreLot, 90, ss, open, open, 3.154316, -2.914734, 80.53457, 5.109863, 1311.005
117, RaunerFirst, RaunerFirst_mirror, 90, mirror, open, open, -6.997681, 33.68092, -29.83774, 2.90979, 1317.242
118, NeutralAllenSt, AllenSt, 90, neutral, closed, closed, -12.26309, 45.40226, -45.93719, 2.840454, 1321.698
119, NeutralBakerBerry2nd, BakerBerry2nd, -90, neutral, closed, open, -8.530243, 34.56684, -34.31021, 2.617554, 1325.457
120, BakerBerryCharter, BakerBerryCharter, 90, ss, closed, closed, -14.93622, 36.41539, -30.04196, 2.547729, 1329.063
121, Hop4, Hop4_mirror, -90, mirror, open, open, -10.77509, 35.63542, -32.32318, 2.965576, 1333.295
122, NeutralRaunerFirst, RaunerFirst, 90, neutral, open, open, -4.731506, 27.83501, -32.57599, 2.756836, 1337.402
123, Hop2, Hop2, 90, ss, open, open, -12.58804, 34.31802, -35.32547, 2.450439, 1341.551
124, Zimmerman, Zimmerman, 90, ss, open, open, -16.52234, 36.53209, -31.55032, 2.687134, 1345.435
125, RollinsChapel3, RollinsChapel3, -90, ss, open, open, -15.15601, 35.44704, -34.92307, 2.603516, 1349.264
126, PineBackHall, PineBackHall_mirror, 90, mirror, closed, closed, -11.13354, 31.21381, -32.25201, 2.881836, 1353.357
127, Hop4, Hop4, 90, ss, closed, closed, -11.7485, 31.89785, -38.64685, 3.104736, 1357.589
128, NeutralFairbanks, Fairbanks, 90, neutral, closed, closed, -9.167877, 34.10334, -36.05542, 2.826294, 1361.752
129, Umplebys, Umplebys, -90, ss, open, open, -11.32834, 34.67352, -24.50861, 2.297241, 1365.622
130, NeutralMooreLot, MooreLot, -90, neutral, closed, closed, -12.25165, 32.13081, -26.03531, 2.422607, 1369.451
131, NeutralBakerBerryHistoric2, BakerBerryHistoric2, 90, neutral, open, open, -7.297485, 30.08654, -28.67191, 2.881958, 1373.725
132, Fairbanks, Fairbanks, -90, ss, open, open, -2.580994, 6.281424, -13.07983, 3.244019, 1378.292
133, 53Commons, 53Commons, -90, ss, closed, closed, -11.71078, 34.76876, -35.05731, 2.728638, 1382.246
134, Hop2, Hop2, 90, ss, open, open, -6.978821, 29.5882, -36.85941, 2.965454, 1386.534
135, AllenSt, AllenSt, -90, ss, open, open, -7.951385, 29.82357, -30.88831, 2.88208, 1390.906
136, NeutralPineEntrance, PineEntrance, -90, neutral, open, open, -12.34872, 34.08686, -36.67633, 2.854248, 1395.166
137, NeutralRollinsChapel3, RollinsChapel3, 90, neutral, closed, closed, -9.645447, 34.70113, -39.84048, 3.007446, 1399.621
138, Maynard, Maynard, 90, ss, closed, closed, -10.36679, 36.76094, -36.19788, 2.923706, 1404.243
139, BakerBerryCharter, BakerBerryCharter, 90, ss, closed, closed, -12.94846, 38.57996, -33.32031, 3.049072, 1408.795
140, RaunerFirst, RaunerFirst, -90, ss, closed, closed, -7.796967, 31.21438, -33.24756, 3.327515, 1413.529
141, PineEntrance, PineEntrance_mirror, -90, mirror, open, open, -11.90933, 37.1869, -36.09164, 3.967896, 1418.792
142, BakerBerryHistoric2, BakerBerryHistoric2, -90, ss, closed, closed, -8.733032, 34.41066, -33.81747, 3.216309, 1423.581
143, Umplebys, Umplebys_mirror, 90, mirror, closed, closed, -6.744934, 29.03664, -35.9436, 3.188354, 1427.925
144, Zimmerman, Zimmerman_mirror, -90, mirror, closed, open, -8.941406, 33.57989, -32.90869, 2.729004, 1432.018
