115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -0.4000854, 4.534871, -162.5621, 0.8632813, 1127.588
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -4.426117, 5.583867, 160.0811, 0.723999, 1130.818
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -3.833771, 10.28064, 78.37712, 1.322632, 1134.744
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -4.829926, 10.49653, 161.6883, 0.9884033, 1138.21
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.432617, 4.329828, -253.254, 0.7518311, 1141.733
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -4.901794, 5.471622, 160.5276, 0.4732666, 1149.306
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, -1.540161, 4.244374, -153.9454, 0.7658691, 1153.775
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -4.96347, 5.922127, 152.9497, 0.4317627, 1157.144
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, -1.046082, 3.729115, -160.4215, 0.6123047, 1161.459
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -1.592865, 9.067595, 155.3989, 0.5987549, 1165.58
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -3.286316, 4.375473, 338.9358, 0.4178467, 1169.172
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -4.355011, 17.2345, 151.6836, 0.5986328, 1172.833
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -0.9428101, 3.482132, 310.6896, 0.4874268, 1176.829
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -2.612427, 7.757892, 172.8481, 0.5151367, 1180.838
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, -0.4781494, 4.503302, -164.4507, 1.19751, 1185.14
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, -0.723114, 4.742998, 11.39038, 0.8632813, 1188.676
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -4.168793, 6.366704, 70.63341, 0.5716553, 1191.99
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, -2.233612, 4.474085, -171.1248, 0.7797852, 1195.428
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, -1.938019, 7.113019, 6.631622, 0.7382813, 1199.117
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -4.918854, 8.248792, 170.4467, 1.559448, 1203.683
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -3.770142, 8.270982, 263.424, 0.7518311, 1207.122
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, -0.2584839, 6.486085, -272.7961, 1.141968, 1212.621
137, Maynard, 0, Maynard, -90, -90, left, 1, open, closed, -0.1079712, 4.392597, -166.8671, 0.654541, 1215.837
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, -1.514496, 5.926023, 20.44849, 0.9327393, 1219.429
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -2.612488, 7.57961, 344.6427, 0.7106934, 1223.063
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -5.334015, 3.761554, 159.0433, 0.7658691, 1226.71
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -1.882721, 3.217924, 22.07477, 0.682373, 1230.19
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -4.306305, 4.713769, 167.0739, 0.737793, 1233.935
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, -2.363647, 2.665963, -159.4599, 0.7518311, 1237.485
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -5.193848, 5.41098, 159.1581, 0.4458008, 1240.687
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, open, -0.415741, 3.829842, 13.86523, 1.392334, 1244.947
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, -0.1037903, 3.512591, -160.2264, 0.7381592, 1248.344
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -2.655518, 5.647336, 341.3758, 0.4454346, 1251.462
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -0.2516479, 6.523437, 130.2325, 1.057983, 1255.68
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -2.593353, 8.70645, 342.8685, 1.350464, 1259.676
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, -1.624054, 3.349435, -159.553, 0.9744873, 1262.808
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 1.489731, 3.847087, -103.192, 1.879517, 1267.458
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 1.032036, 6.239623, -171.4504, 1.392212, 1272.052
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 0.6275281, 3.829831, -263.5163, 0.9051514, 1275.463
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 0.07406152, 3.762055, -163.8802, 1.002441, 1279.208
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, -1.269684, 6.623423, -257.1746, 0.6405029, 1282.869
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 0.144142, 6.320199, -172.6298, 1.448242, 1287.213
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -3.077271, 5.876207, 347.4784, 1.489502, 1291.375
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 1.573713, 6.48806, -163.3252, 1.489746, 1295.399
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -4.890228, 6.975704, 162.5011, 0.7935791, 1301.12
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 0.2440957, 6.465357, -165.7948, 0.9328613, 1305.394
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, -0.6659241, 6.73262, -252.1451, 1.058472, 1315.084
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -4.783936, 7.421025, 60.88786, 1.545288, 1319.678
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, open, -5.594116, 6.508513, 160.3115, 0.7099609, 1323.144
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -4.802917, 10.21548, 343.8711, 0.7657471, 1326.75
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, -0.1864014, 5.317541, -161.5221, 0.8770752, 1330.397
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -5.003143, 8.657181, 165.4408, 0.5429688, 1333.739
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -5.667236, 3.742078, 61.744, 1.461914, 1337.845
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 0.7891384, 5.924793, -259.6892, 0.8770752, 1341.034
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, closed, 0.572324, 3.626891, -167.4072, 2.144165, 1345.809
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, -1.967041, 5.317983, -164.8274, 0.7800293, 1349.526
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 0.08943656, 6.030089, -171.9966, 1.058105, 1353.396
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, open, 2.258083, 6.558549, 6.121277, 1.740723, 1357.837
