196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, 0.8678868, 7.967966, 99.21812, 1.322754, 1553.749
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, 1.897538, 9.127163, 109.723, 0.793457, 1557.591
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, 0.663106, 9.903596, 87.70203, 0.8493652, 1561.308
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, closed, -0.646759, 8.271286, 88.6265, 0.8631592, 1564.9
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, 0.09392027, 9.148514, 277.6305, 0.9050293, 1568.715
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, 1.688897, 9.156069, 101.4307, 0.9887695, 1572.53
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, -0.3945618, 8.376814, -102.4178, 0.7519531, 1576.498
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 0.09538446, 10.17075, 88.03754, 1.072144, 1580.841
204, Hop2, -1, Hop2, -91, -90, right, 3, closed, closed, -0.2528992, 9.775793, -93.35074, 0.8908691, 1584.475
205, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, 0.4972444, 9.984354, 78.65356, 0.9885254, 1588.192
