106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -3.131561, 5.763358, 322.0782, 0.9606934, 1138.363
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 3.914594, 4.087366, -152.1543, 1.030518, 1150.814
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, open, -0.9202271, 3.565269, 140.9374, 0.710083, 1154.406
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 5.147536, 3.479365, -152.3638, 0.9746094, 1158.068
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -3.779846, 4.058572, 294.4826, 0.7658691, 1161.325
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 3.5713, 3.156633, -182.7134, 0.9606934, 1164.917
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, open, -3.912781, 2.390501, 42.09774, 0.807373, 1168.231
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, 0.6437239, 1.759838, 146.1284, 0.7524414, 1171.628
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -1.77829, -0.9953613, 345.1689, 1.085938, 1175.289
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 3.9315, 3.581417, -162.5985, 0.668335, 1178.505
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -1.053864, -1.151703, 151.4688, 0.7099609, 1182.097
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -2.537079, 0.7941918, 56.67857, 1.044189, 1185.857
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -0.08932495, -0.3805847, 151.9426, 0.7935791, 1189.309
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.266479, -1.900879, -253.6835, 1.044434, 1192.985
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -1.344086, 7.730967, 157.0526, 0.6268311, 1196.201
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 2.400964, 2.298644, -149.9778, 0.9188232, 1199.876
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -0.8491516, -0.4161377, 150.4559, 0.6544189, 1203.232
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 3.36739, 3.798341, -159.6473, 0.9747314, 1206.851
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, 4.762635, -0.963562, 143.7119, 0.5847168, 1210.039
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -6.480225, 7.229713, 326.302, 0.9470215, 1213.757
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -3.719666, 7.801003, 148.3084, 0.6542969, 1217.015
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -2.555573, 5.044405, 327.4182, 0.723999, 1220.509
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -0.8314514, 5.443183, 132.8652, 0.7797852, 1224.171
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, -0.06912231, -2.660217, -163.0297, 1.169556, 1228.32
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, -0.5226746, -3.338776, 20.93179, 1.169678, 1232.385
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -3.327545, 1.974462, 58.73879, 0.7657471, 1236.172
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, -2.261627, 0.08781412, -136.6308, 0.7524414, 1239.792
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 4.975321, -0.3165588, 23.99811, 0.7797852, 1243.384
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -2.109375, 2.358906, 150.351, 0.9885254, 1247.198
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -5.659729, 3.46501, 234.5599, 0.9744873, 1251.222
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 7.387457, 1.338648, -260.6103, 0.9748535, 1254.855
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 1.088672, 0.9392115, -161.3759, 1.099854, 1258.628
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 3.267954, 4.585903, 19.0932, 0.8077393, 1262.29
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -4.768433, 5.208052, 338.299, 0.9197998, 1265.855
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -1.057098, -2.14856, 154.6854, 0.640625, 1269.195
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -1.736877, 0.8186304, 23.43951, 0.7091064, 1272.578
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -3.386047, 2.387009, 142.3913, 0.8773193, 1276.073
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 1.399235, 2.051486, -149.573, 1.002441, 1279.54
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -2.588287, 3.43546, 150.0042, 0.7241211, 1282.923
