1, RaunerFirst, RaunerFirst, 90, 90, right, -11.6691, 4.426162, 161.8899, 20210825, 00:33:22.57962, 747.9672
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.59888, 4.377571, 162.0316, 20210825, 00:33:22.59350, 747.981
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.49503, 4.315284, 162.1562, 20210825, 00:33:22.60687, 747.9948
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.40833, 4.241626, 162.3048, 20210825, 00:33:22.62166, 748.009
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.30737, 4.170373, 162.4261, 20210825, 00:33:22.63521, 748.0228
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.16263, 4.165044, 162.4717, 20210825, 00:33:22.64912, 748.0369
1, RaunerFirst, RaunerFirst, 90, 90, right, -11.00986, 4.143377, 162.4841, 20210825, 00:33:22.66319, 748.0507
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.8743, 4.119882, 162.4458, 20210825, 00:33:22.67693, 748.0644
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.69601, 4.051434, 162.3239, 20210825, 00:33:22.69075, 748.0786
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.5296, 3.96004, 162.156, 20210825, 00:33:22.70478, 748.0923
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.35538, 3.832107, 161.8843, 20210825, 00:33:22.71867, 748.1063
1, RaunerFirst, RaunerFirst, 90, 90, right, -10.16235, 3.707711, 161.5304, 20210825, 00:33:22.73281, 748.1204
1, RaunerFirst, RaunerFirst, 90, 90, right, -9.984711, 3.604272, 161.0854, 20210825, 00:33:22.74641, 748.1343
2, Fairbanks, Fairbanks, -90, -90, left, -1.849609, -1.734344, -93.1777, 20210825, 00:33:26.72808, 752.116
2, Fairbanks, Fairbanks, -90, -90, left, -1.892975, -1.569183, -93.71527, 20210825, 00:33:26.74226, 752.1298
2, Fairbanks, Fairbanks, -90, -90, left, -1.987854, -1.438782, -94.32303, 20210825, 00:33:26.75621, 752.1438
2, Fairbanks, Fairbanks, -90, -90, left, -2.108337, -1.284668, -95.11682, 20210825, 00:33:26.76987, 752.1578
2, Fairbanks, Fairbanks, -90, -90, left, -2.144714, -1.088562, -96.07892, 20210825, 00:33:26.78422, 752.1718
2, Fairbanks, Fairbanks, -90, -90, left, -2.115723, -0.8289795, -97.1297, 20210825, 00:33:26.79806, 752.1856
2, Fairbanks, Fairbanks, -90, -90, left, -2.033997, -0.521759, -98.33289, 20210825, 00:33:26.81170, 752.1996
2, Fairbanks, Fairbanks, -90, -90, left, -1.982727, -0.2694702, -99.57831, 20210825, 00:33:26.82612, 752.2134
