0, McLaughlinCluster, study, 0, 0, study, 2.036631, -3.263092, 18.37529, 20211027, 14:42:36.11547, 26.70238
0, McLaughlinCluster, study, 0, 0, study, 1.983122, -3.409485, 19.37489, 20211027, 14:42:36.12905, 26.71621
0, McLaughlinCluster, study, 0, 0, study, 1.934564, -3.542511, 20.4649, 20211027, 14:42:36.14317, 26.73009
0, McLaughlinCluster, study, 0, 0, study, 1.813925, -3.601166, 21.55564, 20211027, 14:42:36.15739, 26.74397
0, McLaughlinCluster, study, 0, 0, study, 1.739826, -3.618988, 22.63089, 20211027, 14:42:36.17082, 26.75802
0, McLaughlinCluster, study, 0, 0, study, 1.71122, -3.67746, 23.73634, 20211027, 14:42:36.18490, 26.77184
0, McLaughlinCluster, study, 0, 0, study, 1.647136, -3.824829, 24.80086, 20211027, 14:42:36.19898, 26.78588
0, McLaughlinCluster, study, 0, 0, study, 1.534447, -4.017517, 25.82068, 20211027, 14:42:36.21268, 26.79981
0, McLaughlinCluster, study, 0, 0, study, 1.41524, -4.114227, 26.82406, 20211027, 14:42:36.22671, 26.81363
0, McLaughlinCluster, study, 0, 0, study, 1.266073, -4.186127, 27.87204, 20211027, 14:42:36.24063, 26.82757
0, McLaughlinCluster, study, 0, 0, study, 1.123366, -4.2323, 28.9278, 20211027, 14:42:36.25454, 26.84147
0, McLaughlinCluster, study, 0, 0, study, 0.9809687, -4.33667, 29.99932, 20211027, 14:42:36.26829, 26.85544
0, McLaughlinCluster, study, 0, 0, study, 0.8516578, -4.413818, 31.03584, 20211027, 14:42:36.28236, 26.8693
0, McLaughlinCluster, study, 0, 0, study, 0.6899599, -4.514771, 32.05882, 20211027, 14:42:36.29672, 26.88329
0, McLaughlinCluster, study, 0, 0, study, 0.5966374, -4.617004, 33.05853, 20211027, 14:42:36.31032, 26.89711
0, McLaughlinCluster, study, 0, 0, study, 0.448864, -4.723877, 34.01644, 20211027, 14:42:36.32432, 26.91113
0, McLaughlinCluster, study, 0, 0, study, 0.3276504, -4.759918, 34.94242, 20211027, 14:42:36.33866, 26.92504
