0, McLaughlinCluster, study, 0, 0, study, -3.03717, 0.8973141, 14.63841, 20211019, 13:34:32.07116, 20.2599
0, McLaughlinCluster, study, 0, 0, study, -3.269867, 1.031366, 15.40496, 20211019, 13:34:32.08479, 20.27362
0, McLaughlinCluster, study, 0, 0, study, -3.45105, 1.136743, 16.09945, 20211019, 13:34:32.09869, 20.28754
0, McLaughlinCluster, study, 0, 0, study, -3.632751, 1.229003, 16.74547, 20211019, 13:34:32.11276, 20.30153
0, McLaughlinCluster, study, 0, 0, study, -3.784241, 1.364605, 17.30709, 20211019, 13:34:32.12669, 20.31543
0, McLaughlinCluster, study, 0, 0, study, -3.896545, 1.511917, 17.74554, 20211019, 13:34:32.14092, 20.32939
0, McLaughlinCluster, study, 0, 0, study, -3.955597, 1.681818, 18.14105, 20211019, 13:34:32.15462, 20.34328
0, McLaughlinCluster, study, 0, 0, study, -3.992096, 1.857597, 18.37229, 20211019, 13:34:32.16845, 20.35718
0, McLaughlinCluster, study, 0, 0, study, -4.022125, 2.038041, 18.53128, 20211019, 13:34:32.18257, 20.37105
0, McLaughlinCluster, study, 0, 0, study, -4.058685, 2.198497, 18.58276, 20211019, 13:34:32.19624, 20.38502
0, McLaughlinCluster, study, 0, 0, study, -4.131012, 2.331454, 18.68613, 20211019, 13:34:32.21022, 20.39895
0, McLaughlinCluster, study, 0, 0, study, -4.22113, 2.331109, 18.84489, 20211019, 13:34:32.22447, 20.41285
0, McLaughlinCluster, study, 0, 0, study, -4.305084, 2.350988, 19.16623, 20211019, 13:34:32.23819, 20.42692
0, McLaughlinCluster, study, 0, 0, study, -4.30127, 2.321309, 19.61297, 20211019, 13:34:32.25217, 20.44062
0, McLaughlinCluster, study, 0, 0, study, -4.166229, 2.48192, 20.03497, 20211019, 13:34:32.26562, 20.4547
0, McLaughlinCluster, study, 0, 0, study, -3.998749, 2.665271, 20.46615, 20211019, 13:34:32.27983, 20.46867
0, McLaughlinCluster, study, 0, 0, study, -3.764648, 2.781129, 20.86934, 20211019, 13:34:32.29392, 20.48257
0, McLaughlinCluster, study, 0, 0, study, -3.598358, 2.879855, 21.26476, 20211019, 13:34:32.30746, 20.49644
0, McLaughlinCluster, study, 0, 0, study, -3.474426, 2.980493, 21.64866, 20211019, 13:34:32.32158, 20.51028
0, McLaughlinCluster, study, 0, 0, study, -3.361877, 3.100148, 21.99237, 20211019, 13:34:32.33571, 20.52429
0, McLaughlinCluster, study, 0, 0, study, -3.265839, 3.221824, 22.32312, 20211019, 13:34:32.34949, 20.53855
0, McLaughlinCluster, study, 0, 0, study, -3.232849, 3.305264, 22.65343, 20211019, 13:34:32.36344, 20.5522
0, McLaughlinCluster, study, 0, 0, study, -3.220428, 3.358065, 22.99977, 20211019, 13:34:32.37721, 20.56606
0, McLaughlinCluster, study, 0, 0, study, -3.267365, 3.400728, 23.36736, 20211019, 13:34:32.39092, 20.57992
0, McLaughlinCluster, study, 0, 0, study, -3.302185, 3.449945, 23.78919, 20211019, 13:34:32.40521, 20.59391
0, McLaughlinCluster, study, 0, 0, study, -3.326538, 3.483911, 24.23984, 20211019, 13:34:32.41895, 20.60767
0, McLaughlinCluster, study, 0, 0, study, -3.30188, 3.543603, 24.75426, 20211019, 13:34:32.43286, 20.62166
0, McLaughlinCluster, study, 0, 0, study, -3.307861, 3.684513, 25.30774, 20211019, 13:34:32.44652, 20.63552
0, McLaughlinCluster, study, 0, 0, study, -3.268158, 3.814369, 25.94395, 20211019, 13:34:32.46081, 20.64962
0, McLaughlinCluster, study, 0, 0, study, -3.23822, 3.922552, 26.60464, 20211019, 13:34:32.47479, 20.66363
0, McLaughlinCluster, study, 0, 0, study, -3.231506, 4.124909, 27.27452, 20211019, 13:34:32.48836, 20.67741
0, McLaughlinCluster, study, 0, 0, study, -3.195343, 4.394884, 27.96791, 20211019, 13:34:32.50291, 20.69134
0, McLaughlinCluster, study, 0, 0, study, -3.139496, 4.758063, 28.58473, 20211019, 13:34:32.51639, 20.70514
0, McLaughlinCluster, study, 0, 0, study, -3.028015, 5.157108, 29.17794, 20211019, 13:34:32.53043, 20.71919
0, McLaughlinCluster, study, 0, 0, study, -2.905273, 5.649853, 29.67339, 20211019, 13:34:32.54463, 20.73307
0, McLaughlinCluster, study, 0, 0, study, -2.77774, 6.230442, 30.10503, 20211019, 13:34:32.55821, 20.74697
0, McLaughlinCluster, study, 0, 0, study, -2.666901, 7.003766, 30.44661, 20211019, 13:34:32.57219, 20.76101
0, McLaughlinCluster, study, 0, 0, study, -2.538788, 7.886982, 30.71397, 20211019, 13:34:32.58614, 20.77487
0, McLaughlinCluster, study, 0, 0, study, -2.420197, 8.857158, 30.92272, 20211019, 13:34:32.60032, 20.78881
0, McLaughlinCluster, study, 0, 0, study, -2.270905, 9.977129, 31.04354, 20211019, 13:34:32.61387, 20.80261
0, McLaughlinCluster, study, 0, 0, study, -2.090424, 11.13486, 31.09345, 20211019, 13:34:32.62764, 20.81659
0, McLaughlinCluster, study, 0, 0, study, -1.906128, 12.31241, 31.09617, 20211019, 13:34:32.64182, 20.83051
