68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -7.072906, 1.439095, 339.295, 0.9468384, 882.171
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -5.8685, -6.36557, 240.8591, 0.9329224, 885.4848
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -5.971436, -0.6898804, 332.3976, 0.9747314, 888.7986
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -5.477295, -2.792511, 160.2082, 0.9746094, 892.1681
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -5.272797, 4.205057, 157.146, 1.169495, 895.7046
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -6.910217, -3.133698, 152.7497, 0.9051514, 898.9543
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -7.232269, -3.118896, 153.6343, 0.8493652, 902.0872
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 8.332844, -3.541229, -164.6732, 0.9050293, 905.2756
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -3.896484, 5.444952, 342.8421, 0.7937622, 908.5477
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, 4.440385, -7.375732, 22.17609, 0.9327393, 911.7361
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 6.086277, -3.913452, -160.4567, 1.15564, 915.2031
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -6.641571, 1.599293, 328.9046, 0.9608154, 918.4583
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -6.001923, -1.151154, 153.6086, 0.9883423, 921.7993
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -6.238983, -3.248291, 55.46338, 1.448059, 925.5865
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -10.16791, 1.864647, 158.0099, 1.044312, 928.9003
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, closed, 6.31042, -3.464691, -206.8905, 0.9328613, 932.1446
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -6.247131, -2.573395, 335.2185, 0.8773193, 935.4443
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 6.246833, -7.202484, -259.859, 0.8357544, 938.4939
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -6.877594, -2.906006, 157.5787, 0.8074951, 941.4871
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 3.671213, -5.128265, 26.7695, 1.15564, 944.8984
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -5.54248, -4.494019, 153.4697, 1.002563, 948.1843
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 5.919777, -3.804901, -162.4915, 0.9468994, 951.3728
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -6.089081, -2.704865, 156.8038, 0.9050903, 954.4916
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, open, 4.269705, -7.269989, 22.03418, 0.8772583, 957.5827
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -5.57843, -2.480804, 153.4315, 0.9329834, 960.8408
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 5.072172, -5.586975, -156.1448, 1.002502, 964.1545
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 2.349815, -4.443848, -68.73334, 0.9886475, 967.4265
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -7.433289, 3.506495, 340.3976, 1.07196, 970.9074
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 5.433376, -5.660553, -206.5875, 0.8632813, 974.2769
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, 6.10407, -1.18454, 8.903107, 0.8494873, 977.4375
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -4.873016, -2.223145, 245.9127, 0.7797241, 980.4589
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 4.730108, -8.90213, 26.41406, 0.9608765, 983.717
