86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -5.427277, 3.256441, 153.7295, 0.7796631, 1079.029
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 8.128369, 3.208491, 18.23813, 0.9748535, 1082.662
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -3.244629, 1.154899, 139.8799, 0.710083, 1085.962
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 5.737536, -0.9185181, -147.849, 0.7519531, 1089.679
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -5.236237, 4.162922, 155.9257, 1.002686, 1093.396
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, closed, 7.647927, 1.166125, 16.98871, 1.127808, 1097.211
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -6.962524, 7.453742, 159.4196, 1.14209, 1100.998
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.101048, 1.210838, -151.0784, 0.6676025, 1104.158
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.101048, 1.210838, -151.0784, 0.6676025, 1104.158
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.101048, 1.210838, -151.0784, 0.6676025, 1104.158
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 8.022845, 2.774681, -70.91541, 0.9885254, 1107.903
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 8.022845, 2.774681, -70.91541, 0.9885254, 1107.903
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 6.101048, 1.210838, -151.0784, 0.6676025, 1104.158
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -7.095245, 8.986929, 343.9623, 1.127686, 1111.495
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 8.022845, 2.774681, -70.91541, 0.9885254, 1107.903
