1, RaunerFirst, RaunerFirst, 90, 90, right, -7.229279, 2.213944, 167.2067, 20211020, 15:48:26.21958, 708.2479
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.188751, 2.201112, 167.1236, 20211020, 15:48:26.23363, 708.2618
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.152466, 2.179337, 167.0401, 20211020, 15:48:26.24727, 708.2758
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.109924, 2.153104, 166.9788, 20211020, 15:48:26.26138, 708.2896
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.078857, 2.108416, 166.9245, 20211020, 15:48:26.27543, 708.3035
1, RaunerFirst, RaunerFirst, 90, 90, right, -7.059143, 2.05625, 166.8658, 20211020, 15:48:26.28894, 708.3174
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.958527, 2.000635, 166.8161, 20211020, 15:48:26.30334, 708.3315
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.901154, 1.97874, 166.7634, 20211020, 15:48:26.31734, 708.3455
1, RaunerFirst, RaunerFirst, 90, 90, right, -6.912659, 1.976424, 166.6788, 20211020, 15:48:26.33096, 708.3594
2, Fairbanks, Fairbanks, -90, -90, left, 0.2926998, -6.165466, -146.4856, 20211020, 15:48:34.22494, 716.2531
2, Fairbanks, Fairbanks, -90, -90, left, 0.583439, -5.566193, -148.9873, 20211020, 15:48:34.23895, 716.2671
2, Fairbanks, Fairbanks, -90, -90, left, 0.9891089, -4.933533, -151.1654, 20211020, 15:48:34.25310, 716.2812
2, Fairbanks, Fairbanks, -90, -90, left, 1.186704, -4.346802, -153.2815, 20211020, 15:48:34.26664, 716.2951
2, Fairbanks, Fairbanks, -90, -90, left, 1.240187, -3.95636, -155.024, 20211020, 15:48:34.28092, 716.309
2, Fairbanks, Fairbanks, -90, -90, left, 1.272637, -3.712158, -156.4182, 20211020, 15:48:34.29495, 716.3229
2, Fairbanks, Fairbanks, -90, -90, left, 1.327142, -3.467987, -157.6671, 20211020, 15:48:34.30858, 716.3369
2, Fairbanks, Fairbanks, -90, -90, left, 1.34145, -3.309235, -158.7859, 20211020, 15:48:34.32271, 716.3507
2, Fairbanks, Fairbanks, -90, -90, left, 1.376964, -3.171082, -159.9289, 20211020, 15:48:34.33669, 716.3647
2, Fairbanks, Fairbanks, -90, -90, left, 1.241591, -3.014038, -161.0784, 20211020, 15:48:34.35013, 716.3786
2, Fairbanks, Fairbanks, -90, -90, left, 1.093745, -2.894958, -162.0094, 20211020, 15:48:34.36437, 716.3925
2, Fairbanks, Fairbanks, -90, -90, left, 0.9716844, -2.746002, -162.7882, 20211020, 15:48:34.37843, 716.4066
2, Fairbanks, Fairbanks, -90, -90, left, 0.8244007, -2.551849, -163.509, 20211020, 15:48:34.39210, 716.4203
2, Fairbanks, Fairbanks, -90, -90, left, 0.633001, -2.386963, -164.2795, 20211020, 15:48:34.40586, 716.4343
2, Fairbanks, Fairbanks, -90, -90, left, 0.5264388, -2.307617, -165.0429, 20211020, 15:48:34.42003, 716.4481
2, Fairbanks, Fairbanks, -90, -90, left, 0.3914753, -2.205994, -165.5688, 20211020, 15:48:34.43393, 716.4621
2, Fairbanks, Fairbanks, -90, -90, left, 0.3502739, -2.053467, -165.8895, 20211020, 15:48:34.44762, 716.4761
