0, McLaughlinCluster, study, 0, 0, study, -3.809845, 4.116508, 41.83813, 20211027, 15:47:01.89029, 53.0915
0, McLaughlinCluster, study, 0, 0, study, -3.810242, 4.237356, 42.77783, 20211027, 15:47:01.90390, 53.10548
0, McLaughlinCluster, study, 0, 0, study, -3.893555, 4.372927, 43.61024, 20211027, 15:47:01.91783, 53.11938
0, McLaughlinCluster, study, 0, 0, study, -3.898071, 4.531134, 44.44522, 20211027, 15:47:01.93192, 53.13335
0, McLaughlinCluster, study, 0, 0, study, -3.781403, 4.724507, 45.29738, 20211027, 15:47:01.94584, 53.14742
0, McLaughlinCluster, study, 0, 0, study, -3.617188, 4.874876, 46.16254, 20211027, 15:47:01.95948, 53.16109
0, McLaughlinCluster, study, 0, 0, study, -3.37384, 5.006374, 47.02586, 20211027, 15:47:01.97325, 53.17508
0, McLaughlinCluster, study, 0, 0, study, -3.14035, 5.063646, 47.86725, 20211027, 15:47:01.98748, 53.18901
0, McLaughlinCluster, study, 0, 0, study, -2.993469, 5.1542, 48.65926, 20211027, 15:47:02.00134, 53.20288
0, McLaughlinCluster, study, 0, 0, study, -2.834625, 5.215359, 49.37407, 20211027, 15:47:02.01506, 53.21691
0, McLaughlinCluster, study, 0, 0, study, -2.672424, 5.284801, 50.06499, 20211027, 15:47:02.02927, 53.23085
0, McLaughlinCluster, study, 0, 0, study, -2.594452, 5.322888, 50.70287, 20211027, 15:47:02.04317, 53.2447
0, McLaughlinCluster, study, 0, 0, study, -2.605011, 5.283339, 51.26655, 20211027, 15:47:02.05672, 53.25855
0, McLaughlinCluster, study, 0, 0, study, -2.580322, 5.243671, 51.78021, 20211027, 15:47:02.07126, 53.27254
0, McLaughlinCluster, study, 0, 0, study, -2.60675, 5.260408, 52.2355, 20211027, 15:47:02.08488, 53.28645
0, McLaughlinCluster, study, 0, 0, study, -2.674103, 5.360199, 52.60156, 20211027, 15:47:02.09885, 53.30039
0, McLaughlinCluster, study, 0, 0, study, -2.702698, 5.410565, 52.94301, 20211027, 15:47:02.11282, 53.3146
0, McLaughlinCluster, study, 0, 0, study, -2.755371, 5.413089, 53.30058, 20211027, 15:47:02.12700, 53.32822
0, McLaughlinCluster, study, 0, 0, study, -2.846558, 5.471236, 53.67463, 20211027, 15:47:02.14065, 53.34217
0, McLaughlinCluster, study, 0, 0, study, -2.909637, 5.582747, 54.0369, 20211027, 15:47:02.15451, 53.35605
0, McLaughlinCluster, study, 0, 0, study, -2.936768, 5.64377, 54.38513, 20211027, 15:47:02.16843, 53.36998
0, McLaughlinCluster, study, 0, 0, study, -2.945068, 5.611568, 54.69024, 20211027, 15:47:02.18241, 53.384
0, McLaughlinCluster, study, 0, 0, study, -2.881256, 5.600904, 55.05338, 20211027, 15:47:02.19597, 53.39783
0, McLaughlinCluster, study, 0, 0, study, -2.822754, 5.552977, 55.44002, 20211027, 15:47:02.21023, 53.41175
0, McLaughlinCluster, study, 0, 0, study, -2.820618, 5.551684, 55.8501, 20211027, 15:47:02.22405, 53.42562
0, McLaughlinCluster, study, 0, 0, study, -2.832581, 5.544097, 56.26797, 20211027, 15:47:02.23787, 53.43966
0, McLaughlinCluster, study, 0, 0, study, -2.836151, 5.570282, 56.67858, 20211027, 15:47:02.25202, 53.45357
0, McLaughlinCluster, study, 0, 0, study, -2.792908, 5.551122, 57.09027, 20211027, 15:47:02.26587, 53.46746
0, McLaughlinCluster, study, 0, 0, study, -2.72879, 5.531703, 57.48735, 20211027, 15:47:02.28023, 53.48156
