66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -4.304169, 2.178613, 115.7959, 1.016479, 1123.194
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 4.156493, 0.9629029, -157.3543, 2.283447, 1127.942
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -4.714203, 2.347604, 342.3498, 1.47583, 1132.07
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -5.901794, 2.393059, 251.523, 0.8493652, 1135.426
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -3.414734, 3.660106, 341.8693, 3.759033, 1141.677
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -5.028503, 1.751239, 160.7639, 4.051392, 1148.68
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -5.324768, 1.242752, 162.2806, 4.245728, 1156.031
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -4.46228, 1.853224, 162.1687, 1.963135, 1161.103
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -4.441803, -2.000824, 172.407, 1.682861, 1165.391
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, -3.590698, -3.581696, -81.21065, 2.575806, 1171.642
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -6.498535, 2.613429, 343.6375, 1.294922, 1175.791
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, 3.484889, -3.26001, 26.20721, 1.183472, 1179.509
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 6.010132, -2.634857, -148.0584, 1.072144, 1184.047
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -1.818878, 0.9047909, 361.2536, 3.828735, 1190.273
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -3.742645, 2.507839, 165.5375, 0.9746094, 1194.119
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -3.978882, 2.470727, 66.89436, 2.144165, 1198.992
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -5.416382, 3.662911, 161.8301, 1.127686, 1202.779
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 3.7736, 2.161989, -172.4912, 1.823853, 1206.97
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -3.113953, 2.516035, 345.6078, 1.935181, 1211.383
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 2.710093, 0.6469285, -269.1104, 1.907471, 1215.81
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -3.216614, 2.416872, 162.0283, 1.072021, 1219.347
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 5.086909, 1.998167, 17.93942, 1.851807, 1223.663
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -3.996307, 3.434845, 156.5313, 0.9189453, 1227.06
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 3.730293, 1.852316, -133.2641, 2.227661, 1231.71
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -4.408264, -0.4979553, 154.5731, 0.8771973, 1235.023
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, closed, 3.353708, -1.438721, 17.57758, 1.893555, 1239.339
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -5.816559, 1.642485, 159.0586, 1.350586, 1243.084
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, -1.000519, -4.214691, -82.73181, 2.547607, 1248.027
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 5.80253, 0.02733229, -65.2511, 1.002441, 1251.967
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -4.154297, 2.279567, 339.2997, 2.366699, 1256.881
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 2.518194, 0.8439327, -211.8766, 3.007324, 1262.812
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 4.112548, 4.572265, 6.385773, 1.796143, 1267.56
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -3.838531, 1.734952, 247.2023, 1.489136, 1271.931
