0, McLaughlinCluster, study, 0, 0, study, -3.090027, 2.096205, 9.191679, 20211015, 12:52:53.56438, 26.41409
0, McLaughlinCluster, study, 0, 0, study, -3.074249, 2.006704, 9.762579, 20211015, 12:52:53.57889, 26.42801
0, McLaughlinCluster, study, 0, 0, study, -3.216095, 2.403058, 10.23698, 20211015, 12:52:53.59258, 26.44201
0, McLaughlinCluster, study, 0, 0, study, -3.315491, 2.499347, 10.68532, 20211015, 12:52:53.60608, 26.45584
0, McLaughlinCluster, study, 0, 0, study, -3.234436, 2.607579, 11.09604, 20211015, 12:52:53.62114, 26.47029
0, McLaughlinCluster, study, 0, 0, study, -3.268463, 2.52783, 11.51408, 20211015, 12:52:53.63435, 26.48379
0, McLaughlinCluster, study, 0, 0, study, -3.378937, 2.440938, 11.88768, 20211015, 12:52:53.64793, 26.4976
0, McLaughlinCluster, study, 0, 0, study, -3.427368, 2.389586, 12.22017, 20211015, 12:52:53.66215, 26.51154
0, McLaughlinCluster, study, 0, 0, study, -3.495361, 2.319, 12.512, 20211015, 12:52:53.67723, 26.52673
0, McLaughlinCluster, study, 0, 0, study, -3.473419, 2.27636, 12.86176, 20211015, 12:52:53.68979, 26.53949
0, McLaughlinCluster, study, 0, 0, study, -3.344177, 2.22912, 13.15206, 20211015, 12:52:53.70409, 26.55331
0, McLaughlinCluster, study, 0, 0, study, -3.184509, 2.285622, 13.49876, 20211015, 12:52:53.71767, 26.56717
0, McLaughlinCluster, study, 0, 0, study, -3.247406, 2.014496, 13.62494, 20211015, 12:52:53.73169, 26.58112
0, McLaughlinCluster, study, 0, 0, study, -3.236908, 2.044411, 13.94139, 20211015, 12:52:53.74563, 26.59506
0, McLaughlinCluster, study, 0, 0, study, -3.107697, 2.09414, 14.13379, 20211015, 12:52:53.75991, 26.609
0, McLaughlinCluster, study, 0, 0, study, -3.106171, 2.212102, 14.32069, 20211015, 12:52:53.77360, 26.62297
0, McLaughlinCluster, study, 0, 0, study, -3.179871, 2.242912, 14.45748, 20211015, 12:52:53.78757, 26.63696
0, McLaughlinCluster, study, 0, 0, study, -3.198425, 2.171767, 14.60433, 20211015, 12:52:53.80135, 26.65078
0, McLaughlinCluster, study, 0, 0, study, -3.242035, 2.0866, 14.69267, 20211015, 12:52:53.81524, 26.66464
0, McLaughlinCluster, study, 0, 0, study, -3.258148, 2.016228, 14.76289, 20211015, 12:52:53.82883, 26.67858
0, McLaughlinCluster, study, 0, 0, study, -3.218567, 1.935985, 14.70126, 20211015, 12:52:53.84334, 26.69257
0, McLaughlinCluster, study, 0, 0, study, -3.203003, 1.916112, 14.74221, 20211015, 12:52:53.85712, 26.70658
0, McLaughlinCluster, study, 0, 0, study, -3.239319, 1.580058, 14.80144, 20211015, 12:52:53.87091, 26.72038
0, McLaughlinCluster, study, 0, 0, study, -3.383331, 1.526189, 14.79944, 20211015, 12:52:53.88482, 26.73426
0, McLaughlinCluster, study, 0, 0, study, -3.48996, 1.346073, 14.84791, 20211015, 12:52:53.89906, 26.74818
0, McLaughlinCluster, study, 0, 0, study, -3.602448, 1.269953, 14.8854, 20211015, 12:52:53.91273, 26.76221
0, McLaughlinCluster, study, 0, 0, study, -3.603271, 1.165916, 14.98761, 20211015, 12:52:53.92664, 26.77607
0, McLaughlinCluster, study, 0, 0, study, -3.5625, 1.108761, 15.09015, 20211015, 12:52:53.94085, 26.78996
0, McLaughlinCluster, study, 0, 0, study, -3.513519, 1.008336, 15.18282, 20211015, 12:52:53.95459, 26.80402
0, McLaughlinCluster, study, 0, 0, study, -3.478821, 0.915485, 15.23206, 20211015, 12:52:53.96835, 26.8178
0, McLaughlinCluster, study, 0, 0, study, -3.538574, 0.8761611, 15.24007, 20211015, 12:52:53.98233, 26.8317
0, McLaughlinCluster, study, 0, 0, study, -3.679565, 0.8388564, 15.31721, 20211015, 12:52:53.99621, 26.84565
0, McLaughlinCluster, study, 0, 0, study, -3.774689, 0.8539786, 15.37171, 20211015, 12:52:54.00987, 26.85958
0, McLaughlinCluster, study, 0, 0, study, -3.797852, 0.973016, 15.36165, 20211015, 12:52:54.02446, 26.87358
0, McLaughlinCluster, study, 0, 0, study, -3.794373, 1.057743, 15.37528, 20211015, 12:52:54.03800, 26.88749
0, McLaughlinCluster, study, 0, 0, study, -3.771942, 1.183803, 15.27354, 20211015, 12:52:54.05189, 26.9013
0, McLaughlinCluster, study, 0, 0, study, -3.772766, 1.320258, 15.13651, 20211015, 12:52:54.06552, 26.91525
0, McLaughlinCluster, study, 0, 0, study, -3.848572, 1.452296, 14.98852, 20211015, 12:52:54.08009, 26.92922
0, McLaughlinCluster, study, 0, 0, study, -4.08252, 1.666903, 14.66444, 20211015, 12:52:54.09372, 26.94319
0, McLaughlinCluster, study, 0, 0, study, -4.634827, 1.932007, 14.28086, 20211015, 12:52:54.10734, 26.9571
0, McLaughlinCluster, study, 0, 0, study, -4.720886, 1.354664, 14.26763, 20211015, 12:52:54.12187, 26.97103
0, McLaughlinCluster, study, 0, 0, study, -4.288483, 1.362109, 14.03407, 20211015, 12:52:54.13543, 26.98485
0, McLaughlinCluster, study, 0, 0, study, -4.412964, 1.473756, 13.77223, 20211015, 12:52:54.14910, 26.99883
0, McLaughlinCluster, study, 0, 0, study, -4.574585, 1.07792, 13.68329, 20211015, 12:52:54.16374, 27.01284
0, McLaughlinCluster, study, 0, 0, study, -4.411438, 1.147727, 13.71446, 20211015, 12:52:54.17728, 27.02671
0, McLaughlinCluster, study, 0, 0, study, -4.049042, 1.233756, 13.87801, 20211015, 12:52:54.19122, 27.04063
0, McLaughlinCluster, study, 0, 0, study, -3.788879, 1.523897, 14.00109, 20211015, 12:52:54.20479, 27.05449
0, McLaughlinCluster, study, 0, 0, study, -3.785431, 1.794397, 14.15086, 20211015, 12:52:54.21925, 27.06842
0, McLaughlinCluster, study, 0, 0, study, -3.932922, 2.15088, 14.21295, 20211015, 12:52:54.23294, 27.0824
0, McLaughlinCluster, study, 0, 0, study, -3.985626, 2.479466, 14.20193, 20211015, 12:52:54.24651, 27.09625
0, McLaughlinCluster, study, 0, 0, study, -3.925323, 2.725539, 14.0719, 20211015, 12:52:54.26074, 27.11018
0, McLaughlinCluster, study, 0, 0, study, -3.709412, 2.933608, 13.82552, 20211015, 12:52:54.27477, 27.12417
0, McLaughlinCluster, study, 0, 0, study, -3.46994, 3.159533, 13.48335, 20211015, 12:52:54.28840, 27.13811
0, McLaughlinCluster, study, 0, 0, study, -3.336121, 3.357878, 13.00121, 20211015, 12:52:54.30289, 27.15205
0, McLaughlinCluster, study, 0, 0, study, -3.2948, 3.614198, 12.55144, 20211015, 12:52:54.31648, 27.16584
0, McLaughlinCluster, study, 0, 0, study, -3.315643, 3.821529, 12.02668, 20211015, 12:52:54.33007, 27.17978
0, McLaughlinCluster, study, 0, 0, study, -3.307922, 3.976702, 11.57292, 20211015, 12:52:54.34451, 27.19372
0, McLaughlinCluster, study, 0, 0, study, -3.241791, 3.961275, 11.1568, 20211015, 12:52:54.35849, 27.20768
0, McLaughlinCluster, study, 0, 0, study, -3.174896, 3.77356, 10.73976, 20211015, 12:52:54.37216, 27.22157
