1, RaunerFirst, RaunerFirst, 90, 90, right, 1.184866, 12.07895, 168.7943, 20211005, 15:28:31.82955, 687.0685
1, RaunerFirst, RaunerFirst, 90, 90, right, 1.185873, 12.14609, 168.7575, 20211005, 15:28:31.84403, 687.0831
2, Fairbanks, Fairbanks, -90, -90, left, -0.2697449, 5.796834, -92.6026, 20211005, 15:28:38.44279, 693.6818
2, Fairbanks, Fairbanks, -90, -90, left, -0.181366, 5.794666, -92.88242, 20211005, 15:28:38.45638, 693.6957
2, Fairbanks, Fairbanks, -90, -90, left, -0.07693481, 5.806719, -93.14987, 20211005, 15:28:38.47061, 693.7096
2, Fairbanks, Fairbanks, -90, -90, left, 0.03706788, 5.84267, -93.40222, 20211005, 15:28:38.48461, 693.7236
2, Fairbanks, Fairbanks, -90, -90, left, 0.06347784, 5.844541, -93.67804, 20211005, 15:28:38.49818, 693.7374
2, Fairbanks, Fairbanks, -90, -90, left, 0.1745193, 5.853062, -94.02142, 20211005, 15:28:38.51227, 693.7513
2, Fairbanks, Fairbanks, -90, -90, left, 0.2442712, 5.840264, -94.41119, 20211005, 15:28:38.52618, 693.7652
2, Fairbanks, Fairbanks, -90, -90, left, 0.2809065, 5.793443, -94.88828, 20211005, 15:28:38.53994, 693.7792
2, Fairbanks, Fairbanks, -90, -90, left, 0.3302907, 5.753527, -95.50348, 20211005, 15:28:38.55401, 693.793
2, Fairbanks, Fairbanks, -90, -90, left, 0.4003786, 5.698971, -96.23651, 20211005, 15:28:38.56796, 693.807
2, Fairbanks, Fairbanks, -90, -90, left, 0.4009892, 5.632308, -97.10938, 20211005, 15:28:38.58200, 693.8209
2, Fairbanks, Fairbanks, -90, -90, left, 0.3467224, 5.549243, -98.00336, 20211005, 15:28:38.59559, 693.8348
2, Fairbanks, Fairbanks, -90, -90, left, 0.3741376, 5.48939, -98.95273, 20211005, 15:28:38.60970, 693.8488
2, Fairbanks, Fairbanks, -90, -90, left, 0.3932976, 5.331347, -100.069, 20211005, 15:28:38.62366, 693.8627
2, Fairbanks, Fairbanks, -90, -90, left, 0.3195743, 5.186109, -101.2438, 20211005, 15:28:38.63736, 693.8766
2, Fairbanks, Fairbanks, -90, -90, left, 0.2300301, 5.099973, -102.472, 20211005, 15:28:38.65160, 693.8906
2, Fairbanks, Fairbanks, -90, -90, left, 0.2242101, 5.069861, -103.6182, 20211005, 15:28:38.66554, 693.9044
2, Fairbanks, Fairbanks, -90, -90, left, 0.2113113, 5.056348, -104.6967, 20211005, 15:28:38.67908, 693.9184
2, Fairbanks, Fairbanks, -90, -90, left, 0.2716588, 5.058111, -105.7073, 20211005, 15:28:38.69326, 693.9323
2, Fairbanks, Fairbanks, -90, -90, left, 0.3466358, 4.983663, -106.7011, 20211005, 15:28:38.70729, 693.9463
2, Fairbanks, Fairbanks, -90, -90, left, 0.4433007, 4.908917, -107.7596, 20211005, 15:28:38.72133, 693.9603
2, Fairbanks, Fairbanks, -90, -90, left, 0.4938079, 4.854671, -108.8252, 20211005, 15:28:38.73478, 693.9741
2, Fairbanks, Fairbanks, -90, -90, left, 0.6392372, 4.830347, -109.9082, 20211005, 15:28:38.74893, 693.9879
2, Fairbanks, Fairbanks, -90, -90, left, 0.7543259, 4.810408, -110.998, 20211005, 15:28:38.76291, 694.0019
2, Fairbanks, Fairbanks, -90, -90, left, 0.8489785, 4.792888, -112.1064, 20211005, 15:28:38.77651, 694.0158
2, Fairbanks, Fairbanks, -90, -90, left, 0.9401914, 4.749724, -113.3338, 20211005, 15:28:38.79076, 694.0297
2, Fairbanks, Fairbanks, -90, -90, left, 1.036094, 4.634742, -114.7076, 20211005, 15:28:38.80474, 694.0437
2, Fairbanks, Fairbanks, -90, -90, left, 1.086349, 4.5434, -116.2198, 20211005, 15:28:38.81847, 694.0577
2, Fairbanks, Fairbanks, -90, -90, left, 1.067974, 4.50973, -117.7938, 20211005, 15:28:38.83286, 694.0717
2, Fairbanks, Fairbanks, -90, -90, left, 1.089637, 4.517109, -119.3116, 20211005, 15:28:38.84655, 694.0855
2, Fairbanks, Fairbanks, -90, -90, left, 1.121372, 4.509742, -120.8119, 20211005, 15:28:38.86047, 694.0999
2, Fairbanks, Fairbanks, -90, -90, left, 1.145404, 4.458524, -122.3497, 20211005, 15:28:38.87432, 694.1133
2, Fairbanks, Fairbanks, -90, -90, left, 1.296234, 4.374151, -124.0683, 20211005, 15:28:38.88821, 694.1273
2, Fairbanks, Fairbanks, -90, -90, left, 1.437397, 4.306338, -125.8635, 20211005, 15:28:38.90216, 694.1412
2, Fairbanks, Fairbanks, -90, -90, left, 1.540987, 4.288146, -127.6824, 20211005, 15:28:38.91576, 694.155
2, Fairbanks, Fairbanks, -90, -90, left, 1.592351, 4.231297, -129.4786, 20211005, 15:28:38.92984, 694.1689
2, Fairbanks, Fairbanks, -90, -90, left, 1.637478, 4.183248, -131.2225, 20211005, 15:28:38.94395, 694.183
2, Fairbanks, Fairbanks, -90, -90, left, 1.705066, 4.139081, -132.9631, 20211005, 15:28:38.95753, 694.1968
2, Fairbanks, Fairbanks, -90, -90, left, 1.82268, 4.189906, -134.8199, 20211005, 15:28:38.97182, 694.2108
2, Fairbanks, Fairbanks, -90, -90, left, 1.959605, 4.243345, -136.731, 20211005, 15:28:38.98567, 694.2247
2, Fairbanks, Fairbanks, -90, -90, left, 2.196888, 4.290823, -138.6721, 20211005, 15:28:38.99934, 694.2386
