0, McLaughlinCluster, study, 0, 0, study, 10.3645, 8.540168, 8.271912, 20210928, 17:00:21.05239, 22.40946
0, McLaughlinCluster, study, 0, 0, study, 10.50419, 8.299296, 8.239206, 20210928, 17:00:21.06649, 22.42336
0, McLaughlinCluster, study, 0, 0, study, 10.56649, 8.104162, 8.229362, 20210928, 17:00:21.08001, 22.4373
0, McLaughlinCluster, study, 0, 0, study, 10.62472, 7.953417, 8.204589, 20210928, 17:00:21.09419, 22.45121
0, McLaughlinCluster, study, 0, 0, study, 10.73822, 7.871338, 8.208189, 20210928, 17:00:21.10815, 22.46516
0, McLaughlinCluster, study, 0, 0, study, 10.86018, 7.864234, 8.203898, 20210928, 17:00:21.12185, 22.47913
0, McLaughlinCluster, study, 0, 0, study, 10.92217, 7.924478, 8.236917, 20210928, 17:00:21.13605, 22.49304
0, McLaughlinCluster, study, 0, 0, study, 10.94235, 8.006748, 8.327537, 20210928, 17:00:21.14993, 22.50692
0, McLaughlinCluster, study, 0, 0, study, 10.9462, 8.147803, 8.430864, 20210928, 17:00:21.16372, 22.52074
0, McLaughlinCluster, study, 0, 0, study, 10.97668, 8.344298, 8.588714, 20210928, 17:00:21.17734, 22.53468
0, McLaughlinCluster, study, 0, 0, study, 11.00168, 8.628789, 8.802084, 20210928, 17:00:21.19213, 22.54914
0, McLaughlinCluster, study, 0, 0, study, 11.04528, 8.875561, 9.0182, 20210928, 17:00:21.20553, 22.56258
0, McLaughlinCluster, study, 0, 0, study, 11.08795, 9.133803, 9.18718, 20210928, 17:00:21.21935, 22.5766
0, McLaughlinCluster, study, 0, 0, study, 11.10414, 9.461283, 9.400181, 20210928, 17:00:21.23352, 22.59044
0, McLaughlinCluster, study, 0, 0, study, 11.13921, 9.752306, 9.622464, 20210928, 17:00:21.24730, 22.60433
0, McLaughlinCluster, study, 0, 0, study, 11.17572, 10.03082, 9.832439, 20210928, 17:00:21.26098, 22.61826
0, McLaughlinCluster, study, 0, 0, study, 11.19292, 10.21194, 10.01406, 20210928, 17:00:21.27519, 22.63218
0, McLaughlinCluster, study, 0, 0, study, 11.18957, 10.24945, 10.15042, 20210928, 17:00:21.28923, 22.64618
0, McLaughlinCluster, study, 0, 0, study, 11.1938, 10.27607, 10.26311, 20210928, 17:00:21.30304, 22.66006
0, McLaughlinCluster, study, 0, 0, study, 11.20056, 10.26719, 10.3744, 20210928, 17:00:21.31670, 22.67402
0, McLaughlinCluster, study, 0, 0, study, 11.15899, 10.29426, 10.4669, 20210928, 17:00:21.33079, 22.68789
0, McLaughlinCluster, study, 0, 0, study, 11.1602, 10.28066, 10.52513, 20210928, 17:00:21.34519, 22.70185
0, McLaughlinCluster, study, 0, 0, study, 11.14652, 10.18039, 10.54775, 20210928, 17:00:21.35841, 22.71577
0, McLaughlinCluster, study, 0, 0, study, 11.1311, 10.07059, 10.53113, 20210928, 17:00:21.37255, 22.72963
0, McLaughlinCluster, study, 0, 0, study, 11.10742, 9.871243, 10.47547, 20210928, 17:00:21.38661, 22.74362
0, McLaughlinCluster, study, 0, 0, study, 11.02611, 9.61412, 10.34828, 20210928, 17:00:21.40032, 22.75762
0, McLaughlinCluster, study, 0, 0, study, 10.91014, 9.429016, 10.24667, 20210928, 17:00:21.41422, 22.77126
0, McLaughlinCluster, study, 0, 0, study, 10.77991, 9.276116, 10.14314, 20210928, 17:00:21.42824, 22.78528
0, McLaughlinCluster, study, 0, 0, study, 10.67527, 9.088577, 10.03924, 20210928, 17:00:21.44186, 22.7992
0, McLaughlinCluster, study, 0, 0, study, 10.51636, 8.809402, 9.917832, 20210928, 17:00:21.45625, 22.81325
0, McLaughlinCluster, study, 0, 0, study, 10.31036, 8.485598, 9.763627, 20210928, 17:00:21.47023, 22.82723
0, McLaughlinCluster, study, 0, 0, study, 10.05715, 8.049879, 9.553995, 20210928, 17:00:21.48400, 22.84103
0, McLaughlinCluster, study, 0, 0, study, 9.69508, 7.453477, 9.29246, 20210928, 17:00:21.49768, 22.85501
0, McLaughlinCluster, study, 0, 0, study, 9.21284, 6.781415, 8.967943, 20210928, 17:00:21.51180, 22.86886
0, McLaughlinCluster, study, 0, 0, study, 8.754413, 6.164592, 8.648666, 20210928, 17:00:21.52577, 22.88283
0, McLaughlinCluster, study, 0, 0, study, 8.311755, 5.637356, 8.346068, 20210928, 17:00:21.53947, 22.8968
0, McLaughlinCluster, study, 0, 0, study, 7.892581, 5.177032, 8.058183, 20210928, 17:00:21.55363, 22.91067
0, McLaughlinCluster, study, 0, 0, study, 7.44171, 4.696482, 7.778444, 20210928, 17:00:21.56763, 22.92467
0, McLaughlinCluster, study, 0, 0, study, 7.000297, 4.223303, 7.502484, 20210928, 17:00:21.58117, 22.93848
0, McLaughlinCluster, study, 0, 0, study, 6.592472, 3.812338, 7.270787, 20210928, 17:00:21.59536, 22.95241
0, McLaughlinCluster, study, 0, 0, study, 6.158169, 3.471334, 7.035624, 20210928, 17:00:21.60932, 22.96634
0, McLaughlinCluster, study, 0, 0, study, 5.716936, 3.196631, 6.803391, 20210928, 17:00:21.62332, 22.98037
0, McLaughlinCluster, study, 0, 0, study, 5.267475, 2.960638, 6.610745, 20210928, 17:00:21.63686, 22.99417
0, McLaughlinCluster, study, 0, 0, study, 4.821202, 2.816406, 6.464208, 20210928, 17:00:21.65122, 23.00816
0, McLaughlinCluster, study, 0, 0, study, 4.398046, 2.649135, 6.360704, 20210928, 17:00:21.66501, 23.022
0, McLaughlinCluster, study, 0, 0, study, 4.017241, 2.464471, 6.261238, 20210928, 17:00:21.67896, 23.03591
0, McLaughlinCluster, study, 0, 0, study, 3.696274, 2.21217, 6.17568, 20210928, 17:00:21.69289, 23.04988
0, McLaughlinCluster, study, 0, 0, study, 3.422422, 1.974004, 6.080739, 20210928, 17:00:21.70681, 23.06387
0, McLaughlinCluster, study, 0, 0, study, 3.229123, 1.775874, 5.971286, 20210928, 17:00:21.72199, 23.07855
0, McLaughlinCluster, study, 0, 0, study, 3.050123, 1.582284, 5.912828, 20210928, 17:00:21.73483, 23.0918
0, McLaughlinCluster, study, 0, 0, study, 2.937481, 1.372255, 5.884301, 20210928, 17:00:21.74851, 23.10552
0, McLaughlinCluster, study, 0, 0, study, 2.869195, 1.184132, 5.947219, 20210928, 17:00:21.76212, 23.11946
0, McLaughlinCluster, study, 0, 0, study, 2.801928, 1.046402, 6.020315, 20210928, 17:00:21.77634, 23.13337
0, McLaughlinCluster, study, 0, 0, study, 2.766807, 0.9241763, 6.116099, 20210928, 17:00:21.79037, 23.14739
0, McLaughlinCluster, study, 0, 0, study, 2.777552, 0.7755431, 6.205639, 20210928, 17:00:21.80436, 23.16132
0, McLaughlinCluster, study, 0, 0, study, 2.815874, 0.6010803, 6.289678, 20210928, 17:00:21.81790, 23.17523
0, McLaughlinCluster, study, 0, 0, study, 2.859108, 0.4501888, 6.342582, 20210928, 17:00:21.83206, 23.18907
0, McLaughlinCluster, study, 0, 0, study, 2.854778, 0.3586994, 6.379885, 20210928, 17:00:21.84621, 23.20294
0, McLaughlinCluster, study, 0, 0, study, 2.848068, 0.2673496, 6.389904, 20210928, 17:00:21.85965, 23.21697
0, McLaughlinCluster, study, 0, 0, study, 2.821694, 0.23003, 6.405429, 20210928, 17:00:21.87384, 23.23084
0, McLaughlinCluster, study, 0, 0, study, 2.7744, 0.2666019, 6.410911, 20210928, 17:00:21.88779, 23.2448
0, McLaughlinCluster, study, 0, 0, study, 2.683763, 0.3346821, 6.388422, 20210928, 17:00:21.90152, 23.25866
0, McLaughlinCluster, study, 0, 0, study, 2.578255, 0.4279723, 6.328226, 20210928, 17:00:21.91569, 23.27264
