0, McLaughlinCluster, study, 0, 0, study, -4.809265, 12.21791, 25.29115, 20210824, 19:49:22.33619, 13.10972
0, McLaughlinCluster, study, 0, 0, study, -4.984894, 12.10643, 25.60876, 20210824, 19:49:22.35002, 13.12356
0, McLaughlinCluster, study, 0, 0, study, -5.1427, 12.02548, 25.79784, 20210824, 19:49:22.36369, 13.13753
0, McLaughlinCluster, study, 0, 0, study, -5.239105, 11.98263, 25.95701, 20210824, 19:49:22.37789, 13.15148
0, McLaughlinCluster, study, 0, 0, study, -5.371521, 11.95754, 26.07763, 20210824, 19:49:22.39200, 13.16552
0, McLaughlinCluster, study, 0, 0, study, -5.49411, 12.0076, 26.16431, 20210824, 19:49:22.40549, 13.17931
0, McLaughlinCluster, study, 0, 0, study, -5.569641, 12.0692, 26.2257, 20210824, 19:49:22.41966, 13.19321
0, McLaughlinCluster, study, 0, 0, study, -5.602203, 12.14329, 26.23074, 20210824, 19:49:22.43370, 13.20724
0, McLaughlinCluster, study, 0, 0, study, -5.632965, 12.17397, 26.21163, 20210824, 19:49:22.44777, 13.2211
0, McLaughlinCluster, study, 0, 0, study, -5.651978, 12.20055, 26.18269, 20210824, 19:49:22.46136, 13.23511
0, McLaughlinCluster, study, 0, 0, study, -5.70108, 12.24456, 26.13251, 20210824, 19:49:22.47536, 13.24893
0, McLaughlinCluster, study, 0, 0, study, -5.781433, 12.30247, 26.08647, 20210824, 19:49:22.48915, 13.26276
0, McLaughlinCluster, study, 0, 0, study, -5.825256, 12.35286, 26.03962, 20210824, 19:49:22.50297, 13.27677
0, McLaughlinCluster, study, 0, 0, study, -5.858521, 12.38891, 25.97317, 20210824, 19:49:22.51702, 13.29062
0, McLaughlinCluster, study, 0, 0, study, -5.870483, 12.35148, 25.91805, 20210824, 19:49:22.53102, 13.30461
0, McLaughlinCluster, study, 0, 0, study, -5.861267, 12.30503, 25.84157, 20210824, 19:49:22.54476, 13.31854
