0, McLaughlinCluster, study, 0, 0, study, 6.738985, -7.810059, 21.14379, 20211213, 20:47:07.23278, 11.52219
0, McLaughlinCluster, study, 0, 0, study, 6.761927, -7.595795, 21.13768, 20211213, 20:47:07.24669, 11.53602
0, McLaughlinCluster, study, 0, 0, study, 6.758838, -7.510437, 21.14425, 20211213, 20:47:07.26054, 11.5499
0, McLaughlinCluster, study, 0, 0, study, 6.794453, -7.514221, 21.22362, 20211213, 20:47:07.27487, 11.56398
0, McLaughlinCluster, study, 0, 0, study, 6.853494, -7.516815, 21.29263, 20211213, 20:47:07.28842, 11.57787
0, McLaughlinCluster, study, 0, 0, study, 6.872413, -7.478271, 21.40957, 20211213, 20:47:07.30243, 11.59177
0, McLaughlinCluster, study, 0, 0, study, 6.872654, -7.52655, 21.54206, 20211213, 20:47:07.31660, 11.60564
0, McLaughlinCluster, study, 0, 0, study, 6.889233, -7.688293, 21.65602, 20211213, 20:47:07.32998, 11.61954
0, McLaughlinCluster, study, 0, 0, study, 6.919455, -7.903442, 21.77835, 20211213, 20:47:07.34418, 11.6335
0, McLaughlinCluster, study, 0, 0, study, 7.000928, -8.111145, 21.86771, 20211213, 20:47:07.35809, 11.64741
0, McLaughlinCluster, study, 0, 0, study, 7.041841, -8.213837, 21.92594, 20211213, 20:47:07.37202, 11.66131
0, McLaughlinCluster, study, 0, 0, study, 7.08521, -8.266174, 22.02524, 20211213, 20:47:07.38573, 11.67528
0, McLaughlinCluster, study, 0, 0, study, 7.13541, -8.366974, 22.06722, 20211213, 20:47:07.39979, 11.68915
0, McLaughlinCluster, study, 0, 0, study, 7.140686, -8.527527, 22.01442, 20211213, 20:47:07.41378, 11.70312
0, McLaughlinCluster, study, 0, 0, study, 7.108324, -8.718536, 21.8038, 20211213, 20:47:07.42738, 11.71699
0, McLaughlinCluster, study, 0, 0, study, 7.079134, -8.831909, 21.69409, 20211213, 20:47:07.44165, 11.73094
0, McLaughlinCluster, study, 0, 0, study, 7.016776, -8.889771, 21.56891, 20211213, 20:47:07.45628, 11.74531
0, McLaughlinCluster, study, 0, 0, study, 7.009771, -8.926086, 21.42458, 20211213, 20:47:07.46943, 11.75873
0, McLaughlinCluster, study, 0, 0, study, 6.986902, -9.032074, 21.22023, 20211213, 20:47:07.48328, 11.77264
0, McLaughlinCluster, study, 0, 0, study, 7.005793, -9.14502, 21.01368, 20211213, 20:47:07.49726, 11.78661
0, McLaughlinCluster, study, 0, 0, study, 6.969091, -9.305298, 20.79212, 20211213, 20:47:07.51119, 11.80049
0, McLaughlinCluster, study, 0, 0, study, 6.837273, -9.362732, 20.63035, 20211213, 20:47:07.52479, 11.81444
0, McLaughlinCluster, study, 0, 0, study, 6.929508, -9.428009, 20.53164, 20211213, 20:47:07.53905, 11.82834
0, McLaughlinCluster, study, 0, 0, study, 6.887296, -9.644379, 20.47956, 20211213, 20:47:07.55309, 11.84244
0, McLaughlinCluster, study, 0, 0, study, 6.757548, -9.78418, 20.49374, 20211213, 20:47:07.56663, 11.85622
