2, Fairbanks, Fairbanks, -90, -90, left, 3.650445, -11.29083, -173.1984, 20210825, 09:46:21.67415, 647.4257
2, Fairbanks, Fairbanks, -90, -90, left, 3.643806, -11.10303, -174.0772, 20210825, 09:46:21.68782, 647.4395
2, Fairbanks, Fairbanks, -90, -90, left, 3.598165, -10.92285, -174.846, 20210825, 09:46:21.70229, 647.4534
2, Fairbanks, Fairbanks, -90, -90, left, 3.535676, -10.76794, -175.4709, 20210825, 09:46:21.71629, 647.4674
2, Fairbanks, Fairbanks, -90, -90, left, 3.495141, -10.58743, -175.8831, 20210825, 09:46:21.73001, 647.4813
2, Fairbanks, Fairbanks, -90, -90, left, 3.503381, -10.38858, -176.2209, 20210825, 09:46:21.74344, 647.4952
2, Fairbanks, Fairbanks, -90, -90, left, 3.473798, -10.23636, -176.4334, 20210825, 09:46:21.75763, 647.5092
2, Fairbanks, Fairbanks, -90, -90, left, 3.435599, -10.1347, -176.4498, 20210825, 09:46:21.77160, 647.5231
2, Fairbanks, Fairbanks, -90, -90, left, 3.413551, -10.05951, -176.4502, 20210825, 09:46:21.78523, 647.537
2, Fairbanks, Fairbanks, -90, -90, left, 3.405322, -9.989471, -176.3586, 20210825, 09:46:21.79947, 647.5509
2, Fairbanks, Fairbanks, -90, -90, left, 3.453779, -9.966492, -176.1611, 20210825, 09:46:21.81336, 647.5649
2, Fairbanks, Fairbanks, -90, -90, left, 3.461193, -9.924774, -175.9819, 20210825, 09:46:21.82740, 647.5788
2, Fairbanks, Fairbanks, -90, -90, left, 3.440141, -9.88916, -175.7265, 20210825, 09:46:21.84143, 647.5928
2, Fairbanks, Fairbanks, -90, -90, left, 3.406042, -9.872131, -175.4368, 20210825, 09:46:21.85507, 647.6066
2, Fairbanks, Fairbanks, -90, -90, left, 3.367296, -9.896332, -175.1011, 20210825, 09:46:21.86906, 647.6206
2, Fairbanks, Fairbanks, -90, -90, left, 3.366424, -9.947632, -174.7837, 20210825, 09:46:21.88270, 647.6345
2, Fairbanks, Fairbanks, -90, -90, left, 3.351432, -10.03656, -174.4862, 20210825, 09:46:21.89693, 647.6484
2, Fairbanks, Fairbanks, -90, -90, left, 3.320979, -10.10349, -174.2215, 20210825, 09:46:21.91122, 647.6625
2, Fairbanks, Fairbanks, -90, -90, left, 3.279047, -10.20511, -173.9863, 20210825, 09:46:21.92502, 647.6765
2, Fairbanks, Fairbanks, -90, -90, left, 3.279179, -10.2962, -173.761, 20210825, 09:46:21.93881, 647.6902
2, Fairbanks, Fairbanks, -90, -90, left, 3.253235, -10.34097, -173.566, 20210825, 09:46:21.95254, 647.704
2, Fairbanks, Fairbanks, -90, -90, left, 3.245031, -10.39789, -173.373, 20210825, 09:46:21.96656, 647.718
2, Fairbanks, Fairbanks, -90, -90, left, 3.225907, -10.4502, -173.1799, 20210825, 09:46:21.98061, 647.732
2, Fairbanks, Fairbanks, -90, -90, left, 3.236311, -10.5163, -172.9857, 20210825, 09:46:21.99434, 647.7458
2, Fairbanks, Fairbanks, -90, -90, left, 3.253016, -10.5694, -172.7954, 20210825, 09:46:22.00807, 647.7598
2, Fairbanks, Fairbanks, -90, -90, left, 3.279952, -10.61459, -172.6314, 20210825, 09:46:22.02227, 647.7737
2, Fairbanks, Fairbanks, -90, -90, left, 3.303421, -10.61871, -172.4522, 20210825, 09:46:22.03617, 647.7877
3, Hop2, Hop2, 89, 90, left, 0.9289802, -12.21848, 85.03879, 20210825, 09:46:24.50056, 650.252
3, Hop2, Hop2, 89, 90, left, 0.9291129, -12.20773, 85.05191, 20210825, 09:46:24.51445, 650.266
3, Hop2, Hop2, 89, 90, left, 0.9378324, -12.19211, 85.05505, 20210825, 09:46:24.52848, 650.2799
3, Hop2, Hop2, 89, 90, left, 0.9310226, -12.18726, 85.06949, 20210825, 09:46:24.54239, 650.2939
3, Hop2, Hop2, 89, 90, left, 0.8920116, -12.17938, 85.09833, 20210825, 09:46:24.55644, 650.3078
3, Hop2, Hop2, 89, 90, left, 0.8593265, -12.15067, 85.13193, 20210825, 09:46:24.57048, 650.3218
3, Hop2, Hop2, 89, 90, left, 0.8558172, -12.11002, 85.13049, 20210825, 09:46:24.58436, 650.3361
3, Hop2, Hop2, 89, 90, left, 0.8652167, -12.10364, 85.12759, 20210825, 09:46:24.59814, 650.3495
3, Hop2, Hop2, 89, 90, left, 0.8718852, -12.09018, 85.11856, 20210825, 09:46:24.61194, 650.3634
3, Hop2, Hop2, 89, 90, left, 0.8765596, -12.08707, 85.10361, 20210825, 09:46:24.62563, 650.3774
3, Hop2, Hop2, 89, 90, left, 0.8747784, -12.07343, 85.08841, 20210825, 09:46:24.64007, 650.3914
3, Hop2, Hop2, 89, 90, left, 0.8687685, -12.05197, 85.0925, 20210825, 09:46:24.65379, 650.4053
3, Hop2, Hop2, 89, 90, left, 0.874235, -12.01932, 85.11212, 20210825, 09:46:24.66735, 650.4191
3, Hop2, Hop2, 89, 90, left, 0.8917491, -11.99023, 85.1373, 20210825, 09:46:24.68198, 650.4332
3, Hop2, Hop2, 89, 90, left, 0.9117756, -11.97095, 85.14169, 20210825, 09:46:24.69576, 650.447
3, Hop2, Hop2, 89, 90, left, 0.9225244, -11.92432, 85.17224, 20210825, 09:46:24.70945, 650.4609
3, Hop2, Hop2, 89, 90, left, 0.8925921, -11.91104, 85.25037, 20210825, 09:46:24.72314, 650.4749
3, Hop2, Hop2, 89, 90, left, 0.8615249, -11.90714, 85.37491, 20210825, 09:46:24.73726, 650.4888
3, Hop2, Hop2, 89, 90, left, 0.8225529, -11.91113, 85.60919, 20210825, 09:46:24.75141, 650.5027
3, Hop2, Hop2, 89, 90, left, 0.7686486, -11.92322, 85.97131, 20210825, 09:46:24.76488, 650.5166
3, Hop2, Hop2, 89, 90, left, 0.6331948, -11.93271, 86.56204, 20210825, 09:46:24.77914, 650.5306
3, Hop2, Hop2, 89, 90, left, 0.4999413, -11.92004, 87.36057, 20210825, 09:46:24.79322, 650.5445
3, Hop2, Hop2, 89, 90, left, 0.3510537, -11.88458, 88.4028, 20210825, 09:46:24.80674, 650.5584
3, Hop2, Hop2, 89, 90, left, 0.175135, -11.86456, 89.68227, 20210825, 09:46:24.82100, 650.5723
3, Hop2, Hop2, 89, 90, left, -0.06060791, -11.85815, 91.4553, 20210825, 09:46:24.83463, 650.5861
3, Hop2, Hop2, 89, 90, left, -0.3895874, -11.80713, 93.57357, 20210825, 09:46:24.84876, 650.6002
3, Hop2, Hop2, 89, 90, left, -0.7805481, -11.69269, 96.04327, 20210825, 09:46:24.86237, 650.6141
3, Hop2, Hop2, 89, 90, left, -1.343506, -11.50589, 98.97845, 20210825, 09:46:24.87657, 650.628
3, Hop2, Hop2, 89, 90, left, -2.115173, -11.24011, 102.2573, 20210825, 09:46:24.89042, 650.6419
3, Hop2, Hop2, 89, 90, left, -2.966949, -10.89178, 105.7881, 20210825, 09:46:24.90410, 650.6558
3, Hop2, Hop2, 89, 90, left, -3.749939, -10.45483, 109.4933, 20210825, 09:46:24.91863, 650.6698
3, Hop2, Hop2, 89, 90, left, -4.36911, -10.00995, 113.2413, 20210825, 09:46:24.93235, 650.6837
3, Hop2, Hop2, 89, 90, left, -4.919403, -9.57843, 117.0004, 20210825, 09:46:24.94591, 650.6976
3, Hop2, Hop2, 89, 90, left, -5.421234, -9.117859, 120.7601, 20210825, 09:46:24.96046, 650.7115
3, Hop2, Hop2, 89, 90, left, -5.795288, -8.516785, 124.4558, 20210825, 09:46:24.97415, 650.7255
3, Hop2, Hop2, 89, 90, left, -6.026123, -7.772369, 128.0335, 20210825, 09:46:24.98796, 650.7394
3, Hop2, Hop2, 89, 90, left, -6.108063, -6.936523, 131.4733, 20210825, 09:46:25.00221, 650.7533
3, Hop2, Hop2, 89, 90, left, -6.085815, -6.115631, 134.6551, 20210825, 09:46:25.01571, 650.7672
3, Hop2, Hop2, 89, 90, left, -6.064117, -5.316498, 137.6023, 20210825, 09:46:25.03011, 650.7813
3, Hop2, Hop2, 89, 90, left, -6.103241, -4.581177, 140.3721, 20210825, 09:46:25.04379, 650.7952
3, Hop2, Hop2, 89, 90, left, -6.096924, -3.919159, 142.9257, 20210825, 09:46:25.05753, 650.809
3, Hop2, Hop2, 89, 90, left, -5.99884, -3.304321, 145.3517, 20210825, 09:46:25.07161, 650.8229
3, Hop2, Hop2, 89, 90, left, -5.814606, -2.665436, 147.5395, 20210825, 09:46:25.08519, 650.8369
3, Hop2, Hop2, 89, 90, left, -5.680359, -1.964874, 149.6545, 20210825, 09:46:25.09924, 650.8507
3, Hop2, Hop2, 89, 90, left, -5.541748, -1.300171, 151.5077, 20210825, 09:46:25.11324, 650.8647
3, Hop2, Hop2, 89, 90, left, -5.469635, -0.7220154, 153.0854, 20210825, 09:46:25.12693, 650.8786
3, Hop2, Hop2, 89, 90, left, -5.439697, -0.2291565, 154.5141, 20210825, 09:46:25.14115, 650.8926
3, Hop2, Hop2, 89, 90, left, -5.453979, 0.1479875, 155.7089, 20210825, 09:46:25.15509, 650.9066
3, Hop2, Hop2, 89, 90, left, -5.391815, 0.4770567, 156.591, 20210825, 09:46:25.16898, 650.9203
3, Hop2, Hop2, 89, 90, left, -5.242676, 0.7809891, 157.3774, 20210825, 09:46:25.18250, 650.9343
3, Hop2, Hop2, 89, 90, left, -5.117035, 1.02946, 157.8709, 20210825, 09:46:25.19678, 650.9483
3, Hop2, Hop2, 89, 90, left, -5.034149, 1.184376, 158.1164, 20210825, 09:46:25.21077, 650.9623
3, Hop2, Hop2, 89, 90, left, -4.957794, 1.332195, 158.3234, 20210825, 09:46:25.22444, 650.9761
