0, McLaughlinCluster, study, 0, 0, study, -2.439209, 23.69548, -89.68002, 20210927, 10:47:08.10937, 20.96466
0, McLaughlinCluster, study, 0, 0, study, -2.54071, 24.02059, -89.77936, 20210927, 10:47:08.12311, 20.97873
0, McLaughlinCluster, study, 0, 0, study, -2.560333, 24.27325, -89.96506, 20210927, 10:47:08.13718, 20.99245
0, McLaughlinCluster, study, 0, 0, study, -2.635864, 24.41686, -90.35602, 20210927, 10:47:08.15119, 21.00651
0, McLaughlinCluster, study, 0, 0, study, -2.862061, 24.54026, -90.85754, 20210927, 10:47:08.16504, 21.02035
0, McLaughlinCluster, study, 0, 0, study, -3.207916, 24.54582, -91.41711, 20210927, 10:47:08.17870, 21.03429
0, McLaughlinCluster, study, 0, 0, study, -3.504059, 24.48585, -91.92004, 20210927, 10:47:08.19286, 21.04822
0, McLaughlinCluster, study, 0, 0, study, -3.587494, 24.33445, -92.37836, 20210927, 10:47:08.20680, 21.06217
0, McLaughlinCluster, study, 0, 0, study, -3.735992, 24.19124, -92.86145, 20210927, 10:47:08.22047, 21.07611
0, McLaughlinCluster, study, 0, 0, study, -3.895721, 24.07039, -93.25766, 20210927, 10:47:08.23462, 21.08996
0, McLaughlinCluster, study, 0, 0, study, -3.814789, 23.91274, -93.61282, 20210927, 10:47:08.24867, 21.10407
0, McLaughlinCluster, study, 0, 0, study, -3.590363, 23.78699, -93.84561, 20210927, 10:47:08.26238, 21.11797
0, McLaughlinCluster, study, 0, 0, study, -3.406586, 23.62593, -93.99411, 20210927, 10:47:08.27641, 21.13174
0, McLaughlinCluster, study, 0, 0, study, -3.07486, 23.4578, -94.02225, 20210927, 10:47:08.29040, 21.14576
0, McLaughlinCluster, study, 0, 0, study, -2.682159, 23.16447, -93.96405, 20210927, 10:47:08.30403, 21.15966
0, McLaughlinCluster, study, 0, 0, study, -2.304413, 22.70846, -93.89828, 20210927, 10:47:08.31834, 21.17368
0, McLaughlinCluster, study, 0, 0, study, -2.049408, 22.05755, -93.79962, 20210927, 10:47:08.33213, 21.18745
0, McLaughlinCluster, study, 0, 0, study, -1.963898, 21.3414, -93.74771, 20210927, 10:47:08.34591, 21.20128
0, McLaughlinCluster, study, 0, 0, study, -1.858765, 20.35718, -93.71237, 20210927, 10:47:08.35955, 21.2152
0, McLaughlinCluster, study, 0, 0, study, -1.77301, 19.34604, -93.86902, 20210927, 10:47:08.37383, 21.22919
0, McLaughlinCluster, study, 0, 0, study, -1.772491, 18.40096, -94.12933, 20210927, 10:47:08.38778, 21.24316
0, McLaughlinCluster, study, 0, 0, study, -1.846375, 17.34186, -94.43112, 20210927, 10:47:08.40153, 21.25705
0, McLaughlinCluster, study, 0, 0, study, -1.922394, 16.25807, -94.74112, 20210927, 10:47:08.41552, 21.27083
0, McLaughlinCluster, study, 0, 0, study, -1.94931, 15.19804, -95.07355, 20210927, 10:47:08.42956, 21.28483
0, McLaughlinCluster, study, 0, 0, study, -2.033142, 14.1972, -95.47653, 20210927, 10:47:08.44312, 21.29879
0, McLaughlinCluster, study, 0, 0, study, -2.158539, 13.22413, -95.79272, 20210927, 10:47:08.45739, 21.31274
0, McLaughlinCluster, study, 0, 0, study, -2.313202, 12.39066, -96.04352, 20210927, 10:47:08.47145, 21.32677
0, McLaughlinCluster, study, 0, 0, study, -2.312653, 11.57164, -96.23114, 20210927, 10:47:08.48530, 21.34067
0, McLaughlinCluster, study, 0, 0, study, -2.209351, 10.81348, -96.36871, 20210927, 10:47:08.49884, 21.35446
0, McLaughlinCluster, study, 0, 0, study, -2.08783, 10.1284, -96.41165, 20210927, 10:47:08.51300, 21.36837
0, McLaughlinCluster, study, 0, 0, study, -2.001251, 9.509816, -96.33603, 20210927, 10:47:08.52695, 21.38227
0, McLaughlinCluster, study, 0, 0, study, -1.821167, 8.96103, -96.23938, 20210927, 10:47:08.54064, 21.39623
0, McLaughlinCluster, study, 0, 0, study, -1.584106, 8.519312, -96.0047, 20210927, 10:47:08.55493, 21.41027
0, McLaughlinCluster, study, 0, 0, study, -1.474792, 8.170802, -95.69879, 20210927, 10:47:08.56866, 21.42405
0, McLaughlinCluster, study, 0, 0, study, -1.281006, 7.876513, -95.23346, 20210927, 10:47:08.58241, 21.43803
0, McLaughlinCluster, study, 0, 0, study, -0.9624329, 7.746858, -94.815, 20210927, 10:47:08.59656, 21.45191
0, McLaughlinCluster, study, 0, 0, study, -0.8473511, 7.592351, -94.44623, 20210927, 10:47:08.61047, 21.46587
0, McLaughlinCluster, study, 0, 0, study, -0.6640015, 7.34246, -94.13351, 20210927, 10:47:08.62410, 21.47973
0, McLaughlinCluster, study, 0, 0, study, -0.3480225, 7.08886, -93.85355, 20210927, 10:47:08.63835, 21.49373
0, McLaughlinCluster, study, 0, 0, study, -0.0428772, 6.981053, -93.70169, 20210927, 10:47:08.65236, 21.50765
0, McLaughlinCluster, study, 0, 0, study, 0.2143131, 6.827957, -93.76242, 20210927, 10:47:08.66625, 21.52155
0, McLaughlinCluster, study, 0, 0, study, 0.402484, 6.736557, -93.90823, 20210927, 10:47:08.67979, 21.53547
0, McLaughlinCluster, study, 0, 0, study, 0.5202947, 6.548003, -94.00882, 20210927, 10:47:08.69404, 21.54938
0, McLaughlinCluster, study, 0, 0, study, 0.7107055, 6.371869, -94.00516, 20210927, 10:47:08.70797, 21.56329
0, McLaughlinCluster, study, 0, 0, study, 0.9175192, 6.324798, -93.98996, 20210927, 10:47:08.72168, 21.5774
0, McLaughlinCluster, study, 0, 0, study, 1.158555, 6.323215, -93.92654, 20210927, 10:47:08.73583, 21.59114
0, McLaughlinCluster, study, 0, 0, study, 1.398749, 6.261147, -93.79388, 20210927, 10:47:08.74980, 21.60503
0, McLaughlinCluster, study, 0, 0, study, 1.561885, 6.171834, -93.6091, 20210927, 10:47:08.76325, 21.61891
0, McLaughlinCluster, study, 0, 0, study, 1.755345, 6.041229, -93.33838, 20210927, 10:47:08.77764, 21.63292
0, McLaughlinCluster, study, 0, 0, study, 1.930671, 5.795217, -92.97064, 20210927, 10:47:08.79160, 21.64697
0, McLaughlinCluster, study, 0, 0, study, 2.066442, 5.652676, -92.62613, 20210927, 10:47:08.80539, 21.66076
0, McLaughlinCluster, study, 0, 0, study, 2.243221, 5.70763, -92.28107, 20210927, 10:47:08.81912, 21.67478
0, McLaughlinCluster, study, 0, 0, study, 2.347479, 5.810635, -91.91193, 20210927, 10:47:08.83332, 21.68867
0, McLaughlinCluster, study, 0, 0, study, 2.412848, 6.012619, -91.48239, 20210927, 10:47:08.84711, 21.70246
0, McLaughlinCluster, study, 0, 0, study, 2.645673, 6.140715, -91.07294, 20210927, 10:47:08.86076, 21.71643
0, McLaughlinCluster, study, 0, 0, study, 2.919327, 6.224943, -90.65918, 20210927, 10:47:08.87505, 21.73042
0, McLaughlinCluster, study, 0, 0, study, 3.219935, 6.373674, -90.26007, 20210927, 10:47:08.88900, 21.74433
0, McLaughlinCluster, study, 0, 0, study, 3.649466, 6.703349, -89.8038, 20210927, 10:47:08.90318, 21.75887
0, McLaughlinCluster, study, 0, 0, study, 4.130023, 7.186486, -89.28571, 20210927, 10:47:08.91684, 21.77218
0, McLaughlinCluster, study, 0, 0, study, 4.750366, 7.787535, -88.52582, 20210927, 10:47:08.93068, 21.78604
0, McLaughlinCluster, study, 0, 0, study, 5.237377, 8.113977, -87.56863, 20210927, 10:47:08.94469, 21.80005
0, McLaughlinCluster, study, 0, 0, study, 5.417319, 8.043134, -86.34113, 20210927, 10:47:08.95840, 21.81399
0, McLaughlinCluster, study, 0, 0, study, 5.599905, 7.7843, -85.12518, 20210927, 10:47:08.97252, 21.82791
0, McLaughlinCluster, study, 0, 0, study, 5.868808, 7.483448, -84.00574, 20210927, 10:47:08.98640, 21.84175
0, McLaughlinCluster, study, 0, 0, study, 5.998925, 6.995775, -82.71249, 20210927, 10:47:08.99998, 21.85562
0, McLaughlinCluster, study, 0, 0, study, 5.868519, 6.44591, -81.18011, 20210927, 10:47:09.01408, 21.86946
0, McLaughlinCluster, study, 0, 0, study, 5.543195, 6.067004, -79.19293, 20210927, 10:47:09.02817, 21.88344
0, McLaughlinCluster, study, 0, 0, study, 5.089638, 5.817964, -76.77841, 20210927, 10:47:09.04178, 21.89739
0, McLaughlinCluster, study, 0, 0, study, 4.625293, 5.615917, -74.08789, 20210927, 10:47:09.05594, 21.91131
0, McLaughlinCluster, study, 0, 0, study, 4.039905, 5.440122, -70.87347, 20210927, 10:47:09.06988, 21.92518
0, McLaughlinCluster, study, 0, 0, study, 3.400281, 5.035635, -67.45703, 20210927, 10:47:09.08356, 21.93913
0, McLaughlinCluster, study, 0, 0, study, 2.690197, 4.48907, -63.9649, 20210927, 10:47:09.09759, 21.95296
0, McLaughlinCluster, study, 0, 0, study, 1.748792, 3.970772, -60.45444, 20210927, 10:47:09.11155, 21.96696
0, McLaughlinCluster, study, 0, 0, study, 0.6494888, 3.526029, -57.10648, 20210927, 10:47:09.12553, 21.98093
0, McLaughlinCluster, study, 0, 0, study, -0.427063, 3.093296, -53.74957, 20210927, 10:47:09.13920, 21.99484
0, McLaughlinCluster, study, 0, 0, study, -1.45163, 2.69618, -50.31595, 20210927, 10:47:09.15350, 22.00882
0, McLaughlinCluster, study, 0, 0, study, -2.575836, 2.354228, -46.95761, 20210927, 10:47:09.16733, 22.02266
0, McLaughlinCluster, study, 0, 0, study, -3.731232, 2.124456, -43.7529, 20210927, 10:47:09.18125, 22.03654
0, McLaughlinCluster, study, 0, 0, study, -5.061584, 1.94714, -40.7027, 20210927, 10:47:09.19510, 22.05044
0, McLaughlinCluster, study, 0, 0, study, -6.496521, 1.80432, -37.66931, 20210927, 10:47:09.20907, 22.06446
0, McLaughlinCluster, study, 0, 0, study, -7.793579, 1.629518, -34.61639, 20210927, 10:47:09.22275, 22.07843
0, McLaughlinCluster, study, 0, 0, study, -8.928314, 1.507918, -31.61655, 20210927, 10:47:09.23701, 22.09233
0, McLaughlinCluster, study, 0, 0, study, -10.16647, 1.614571, -28.66779, 20210927, 10:47:09.25091, 22.10625
0, McLaughlinCluster, study, 0, 0, study, -11.32669, 1.911064, -25.67026, 20210927, 10:47:09.26523, 22.12019
0, McLaughlinCluster, study, 0, 0, study, -12.21786, 2.23842, -22.69064, 20210927, 10:47:09.27870, 22.13406
0, McLaughlinCluster, study, 0, 0, study, -12.99127, 2.680603, -19.89941, 20210927, 10:47:09.29260, 22.14796
0, McLaughlinCluster, study, 0, 0, study, -13.65036, 3.087108, -17.38443, 20210927, 10:47:09.30678, 22.16188
0, McLaughlinCluster, study, 0, 0, study, -14.64902, 3.580942, -14.9537, 20210927, 10:47:09.32022, 22.17581
0, McLaughlinCluster, study, 0, 0, study, -15.68729, 4.122461, -12.54184, 20210927, 10:47:09.33441, 22.18979
0, McLaughlinCluster, study, 0, 0, study, -16.42212, 4.551696, -10.11581, 20210927, 10:47:09.34826, 22.2036
0, McLaughlinCluster, study, 0, 0, study, -17.23218, 4.985753, -7.891693, 20210927, 10:47:09.36195, 22.21757
0, McLaughlinCluster, study, 0, 0, study, -18.15479, 5.377491, -5.815277, 20210927, 10:47:09.37607, 22.23147
0, McLaughlinCluster, study, 0, 0, study, -18.97235, 5.789019, -3.752899, 20210927, 10:47:09.39002, 22.24544
0, McLaughlinCluster, study, 0, 0, study, -19.75107, 6.293958, -1.713989, 20210927, 10:47:09.40409, 22.25937
0, McLaughlinCluster, study, 0, 0, study, -20.54175, 6.903129, 0.31247, 20210927, 10:47:09.41801, 22.27337
0, McLaughlinCluster, study, 0, 0, study, -21.32599, 7.766887, 2.459397, 20210927, 10:47:09.43180, 22.28715
0, McLaughlinCluster, study, 0, 0, study, -22.10086, 8.582178, 4.719101, 20210927, 10:47:09.44568, 22.30105
0, McLaughlinCluster, study, 0, 0, study, -22.69116, 9.410735, 7.071975, 20210927, 10:47:09.45973, 22.31504
