0, McLaughlinCluster, study, 0, 0, study, -5.81012, 2.10386, 15.01616, 20211019, 11:47:56.78962, 26.81516
0, McLaughlinCluster, study, 0, 0, study, -5.793823, 2.191157, 15.07471, 20211019, 11:47:56.80349, 26.82908
0, McLaughlinCluster, study, 0, 0, study, -5.773315, 2.172169, 15.10024, 20211019, 11:47:56.81749, 26.84311
0, McLaughlinCluster, study, 0, 0, study, -5.763641, 2.006867, 15.07408, 20211019, 11:47:56.83109, 26.85691
0, McLaughlinCluster, study, 0, 0, study, -5.77832, 1.791742, 15.00873, 20211019, 11:47:56.84550, 26.87078
0, McLaughlinCluster, study, 0, 0, study, -5.840759, 1.600936, 14.92705, 20211019, 11:47:56.85922, 26.8847
0, McLaughlinCluster, study, 0, 0, study, -5.892303, 1.410394, 14.89998, 20211019, 11:47:56.87284, 26.89863
0, McLaughlinCluster, study, 0, 0, study, -5.854095, 1.236594, 14.94953, 20211019, 11:47:56.88704, 26.91258
0, McLaughlinCluster, study, 0, 0, study, -5.739929, 1.1083, 15.09494, 20211019, 11:47:56.90102, 26.92648
0, McLaughlinCluster, study, 0, 0, study, -5.684113, 1.005248, 15.22012, 20211019, 11:47:56.91482, 26.94036
0, McLaughlinCluster, study, 0, 0, study, -5.673309, 0.9215946, 15.33875, 20211019, 11:47:56.92850, 26.9543
0, McLaughlinCluster, study, 0, 0, study, -5.658295, 0.8766642, 15.47905, 20211019, 11:47:56.94271, 26.96822
0, McLaughlinCluster, study, 0, 0, study, -5.659668, 0.8535704, 15.63705, 20211019, 11:47:56.95668, 26.98224
0, McLaughlinCluster, study, 0, 0, study, -5.781342, 0.9119571, 15.83508, 20211019, 11:47:56.97035, 26.99609
0, McLaughlinCluster, study, 0, 0, study, -5.903229, 1.019502, 16.10151, 20211019, 11:47:56.98481, 27.01006
0, McLaughlinCluster, study, 0, 0, study, -5.966827, 1.132275, 16.42995, 20211019, 11:47:56.99870, 27.02402
0, McLaughlinCluster, study, 0, 0, study, -6.041626, 1.292121, 16.76223, 20211019, 11:47:57.01195, 27.03779
0, McLaughlinCluster, study, 0, 0, study, -6.124481, 1.471605, 17.0789, 20211019, 11:47:57.02657, 27.05179
0, McLaughlinCluster, study, 0, 0, study, -6.185791, 1.624128, 17.44027, 20211019, 11:47:57.04047, 27.0657
0, McLaughlinCluster, study, 0, 0, study, -6.193665, 1.761824, 17.78905, 20211019, 11:47:57.05391, 27.07975
0, McLaughlinCluster, study, 0, 0, study, -6.201843, 1.876091, 18.12757, 20211019, 11:47:57.06834, 27.09359
0, McLaughlinCluster, study, 0, 0, study, -6.237244, 1.953811, 18.45577, 20211019, 11:47:57.08216, 27.10745
0, McLaughlinCluster, study, 0, 0, study, -6.227203, 1.957428, 18.88029, 20211019, 11:47:57.09584, 27.12146
0, McLaughlinCluster, study, 0, 0, study, -6.211792, 1.867645, 19.58741, 20211019, 11:47:57.10976, 27.13531
0, McLaughlinCluster, study, 0, 0, study, -5.969971, 1.718657, 20.53052, 20211019, 11:47:57.12370, 27.1493
0, McLaughlinCluster, study, 0, 0, study, -5.713593, 1.688425, 21.47696, 20211019, 11:47:57.13770, 27.16321
0, McLaughlinCluster, study, 0, 0, study, -5.53717, 1.732447, 22.31033, 20211019, 11:47:57.15134, 27.17711
0, McLaughlinCluster, study, 0, 0, study, -5.372528, 1.803989, 23.1097, 20211019, 11:47:57.16552, 27.19103
0, McLaughlinCluster, study, 0, 0, study, -5.28479, 1.936996, 23.87215, 20211019, 11:47:57.17969, 27.20493
0, McLaughlinCluster, study, 0, 0, study, -5.228607, 2.069232, 24.69788, 20211019, 11:47:57.19311, 27.21889
0, McLaughlinCluster, study, 0, 0, study, -5.174713, 2.10663, 25.6, 20211019, 11:47:57.20720, 27.23282
0, McLaughlinCluster, study, 0, 0, study, -5.124725, 2.062611, 26.53286, 20211019, 11:47:57.22127, 27.24675
0, McLaughlinCluster, study, 0, 0, study, -5.0289, 2.041821, 27.38608, 20211019, 11:47:57.23511, 27.2606
0, McLaughlinCluster, study, 0, 0, study, -4.84549, 2.122014, 28.19749, 20211019, 11:47:57.24875, 27.27453
0, McLaughlinCluster, study, 0, 0, study, -4.784454, 2.20857, 29.07174, 20211019, 11:47:57.26290, 27.28844
0, McLaughlinCluster, study, 0, 0, study, -4.811554, 2.273254, 30.08031, 20211019, 11:47:57.27684, 27.30239
0, McLaughlinCluster, study, 0, 0, study, -4.617096, 2.28292, 31.18341, 20211019, 11:47:57.29053, 27.31629
0, McLaughlinCluster, study, 0, 0, study, -4.420197, 2.359689, 32.28421, 20211019, 11:47:57.30474, 27.3303
0, McLaughlinCluster, study, 0, 0, study, -4.266632, 2.512996, 33.32016, 20211019, 11:47:57.31894, 27.34419
0, McLaughlinCluster, study, 0, 0, study, -4.07312, 2.6908, 34.35458, 20211019, 11:47:57.33231, 27.35809
