0, McLaughlinCluster, study, 0, 0, study, -3.509399, -0.6611938, 47.10717, 20210825, 00:21:19.06468, 26.73854
0, McLaughlinCluster, study, 0, 0, study, -3.718567, -0.8320923, 49.47721, 20210825, 00:21:19.07846, 26.75215
0, McLaughlinCluster, study, 0, 0, study, -4.003571, -1.02356, 51.84576, 20210825, 00:21:19.09247, 26.7661
0, McLaughlinCluster, study, 0, 0, study, -4.291779, -1.170654, 54.2024, 20210825, 00:21:19.10652, 26.78007
0, McLaughlinCluster, study, 0, 0, study, -4.624237, -1.289856, 56.52973, 20210825, 00:21:19.12018, 26.79404
0, McLaughlinCluster, study, 0, 0, study, -4.978821, -1.352661, 58.83898, 20210825, 00:21:19.13439, 26.80795
0, McLaughlinCluster, study, 0, 0, study, -5.355957, -1.346008, 61.12989, 20210825, 00:21:19.14817, 26.82175
0, McLaughlinCluster, study, 0, 0, study, -5.773712, -1.224274, 63.41146, 20210825, 00:21:19.16193, 26.83574
0, McLaughlinCluster, study, 0, 0, study, -6.135254, -1.048248, 65.68386, 20210825, 00:21:19.17607, 26.84967
0, McLaughlinCluster, study, 0, 0, study, -6.444672, -0.8155212, 67.93188, 20210825, 00:21:19.18990, 26.86356
0, McLaughlinCluster, study, 0, 0, study, -6.708405, -0.4873352, 70.13348, 20210825, 00:21:19.20385, 26.87758
0, McLaughlinCluster, study, 0, 0, study, -6.841095, -0.1975403, 72.2383, 20210825, 00:21:19.21795, 26.89159
0, McLaughlinCluster, study, 0, 0, study, -6.911285, 0.1263765, 74.25851, 20210825, 00:21:19.23239, 26.90557
0, McLaughlinCluster, study, 0, 0, study, -6.944641, 0.4954455, 76.05984, 20210825, 00:21:19.24535, 26.91926
0, McLaughlinCluster, study, 0, 0, study, -6.876953, 0.8640434, 77.70132, 20210825, 00:21:19.25950, 26.93314
0, McLaughlinCluster, study, 0, 0, study, -6.754272, 1.174495, 79.13313, 20210825, 00:21:19.27349, 26.94709
