2, Fairbanks, Fairbanks, -90, -90, left, 4.1383, -1.157928, -96.97772, 20210928, 11:27:38.26600, 605.9508
2, Fairbanks, Fairbanks, -90, -90, left, 3.997709, -1.080627, -97.79245, 20210928, 11:27:38.27997, 605.9647
2, Fairbanks, Fairbanks, -90, -90, left, 3.901374, -1.00824, -98.51508, 20210928, 11:27:38.29353, 605.9786
2, Fairbanks, Fairbanks, -90, -90, left, 3.855487, -0.936615, -99.2001, 20210928, 11:27:38.30777, 605.9925
2, Fairbanks, Fairbanks, -90, -90, left, 3.878731, -0.8772583, -99.89224, 20210928, 11:27:38.32167, 606.0065
2, Fairbanks, Fairbanks, -90, -90, left, 3.895427, -0.8262634, -100.5304, 20210928, 11:27:38.33552, 606.0203
2, Fairbanks, Fairbanks, -90, -90, left, 3.907449, -0.7775269, -101.1475, 20210928, 11:27:38.34936, 606.0344
2, Fairbanks, Fairbanks, -90, -90, left, 4.032929, -0.7304993, -101.7736, 20210928, 11:27:38.36340, 606.0482
2, Fairbanks, Fairbanks, -90, -90, left, 4.225145, -0.6931458, -102.4298, 20210928, 11:27:38.37739, 606.0622
2, Fairbanks, Fairbanks, -90, -90, left, 4.277701, -0.6915588, -103.1171, 20210928, 11:27:38.39102, 606.076
2, Fairbanks, Fairbanks, -90, -90, left, 4.220605, -0.6927185, -103.8119, 20210928, 11:27:38.40519, 606.09
2, Fairbanks, Fairbanks, -90, -90, left, 4.185867, -0.6308899, -104.5286, 20210928, 11:27:38.41915, 606.1039
2, Fairbanks, Fairbanks, -90, -90, left, 4.204481, -0.5684814, -105.3006, 20210928, 11:27:38.43270, 606.1179
2, Fairbanks, Fairbanks, -90, -90, left, 4.215691, -0.5723877, -106.0754, 20210928, 11:27:38.44690, 606.1318
2, Fairbanks, Fairbanks, -90, -90, left, 4.297612, -0.6099854, -106.9435, 20210928, 11:27:38.46092, 606.1458
2, Fairbanks, Fairbanks, -90, -90, left, 4.424108, -0.6712646, -107.8918, 20210928, 11:27:38.47451, 606.1595
2, Fairbanks, Fairbanks, -90, -90, left, 4.430132, -0.7173157, -108.861, 20210928, 11:27:38.48868, 606.1735
2, Fairbanks, Fairbanks, -90, -90, left, 4.283997, -0.7111816, -109.7931, 20210928, 11:27:38.50264, 606.1874
2, Fairbanks, Fairbanks, -90, -90, left, 4.082312, -0.6690674, -110.6445, 20210928, 11:27:38.51665, 606.2014
2, Fairbanks, Fairbanks, -90, -90, left, 3.95586, -0.6235352, -111.4652, 20210928, 11:27:38.53027, 606.2154
2, Fairbanks, Fairbanks, -90, -90, left, 3.931487, -0.5769958, -112.2902, 20210928, 11:27:38.54448, 606.2292
2, Fairbanks, Fairbanks, -90, -90, left, 4.016465, -0.5474243, -113.1296, 20210928, 11:27:38.55823, 606.243
2, Fairbanks, Fairbanks, -90, -90, left, 4.042117, -0.5457458, -113.9343, 20210928, 11:27:38.57191, 606.257
2, Fairbanks, Fairbanks, -90, -90, left, 3.924462, -0.5370178, -114.6327, 20210928, 11:27:38.58614, 606.2709
2, Fairbanks, Fairbanks, -90, -90, left, 3.847878, -0.564209, -115.2704, 20210928, 11:27:38.60011, 606.2849
2, Fairbanks, Fairbanks, -90, -90, left, 3.867353, -0.5545349, -115.858, 20210928, 11:27:38.61423, 606.2994
2, Fairbanks, Fairbanks, -90, -90, left, 3.965206, -0.5920105, -116.505, 20210928, 11:27:38.62796, 606.3128
2, Fairbanks, Fairbanks, -90, -90, left, 4.156391, -0.6440125, -117.2403, 20210928, 11:27:38.64197, 606.3267
2, Fairbanks, Fairbanks, -90, -90, left, 4.346166, -0.6828613, -118.1226, 20210928, 11:27:38.65572, 606.3405
2, Fairbanks, Fairbanks, -90, -90, left, 4.373015, -0.7137451, -119.0608, 20210928, 11:27:38.66936, 606.3545
2, Fairbanks, Fairbanks, -90, -90, left, 4.334713, -0.7944946, -120.0351, 20210928, 11:27:38.68360, 606.3685
2, Fairbanks, Fairbanks, -90, -90, left, 4.591248, -0.8755188, -121.2597, 20210928, 11:27:38.69760, 606.3824
2, Fairbanks, Fairbanks, -90, -90, left, 5.074381, -0.8693237, -122.9685, 20210928, 11:27:38.71119, 606.3963
2, Fairbanks, Fairbanks, -90, -90, left, 5.141477, -0.9684143, -125.002, 20210928, 11:27:38.72541, 606.4102
2, Fairbanks, Fairbanks, -90, -90, left, 4.782085, -1.117523, -126.9432, 20210928, 11:27:38.73943, 606.4242
2, Fairbanks, Fairbanks, -90, -90, left, 4.476145, -1.138336, -128.8, 20210928, 11:27:38.75313, 606.4382
2, Fairbanks, Fairbanks, -90, -90, left, 4.508348, -1.118317, -130.6025, 20210928, 11:27:38.76713, 606.452
2, Fairbanks, Fairbanks, -90, -90, left, 4.586704, -1.13269, -132.3335, 20210928, 11:27:38.78117, 606.4659
2, Fairbanks, Fairbanks, -90, -90, left, 4.624699, -1.150604, -134.0101, 20210928, 11:27:38.79477, 606.4799
2, Fairbanks, Fairbanks, -90, -90, left, 4.804474, -1.061432, -135.7706, 20210928, 11:27:38.80901, 606.4938
2, Fairbanks, Fairbanks, -90, -90, left, 5.027542, -1.011536, -137.5991, 20210928, 11:27:38.82273, 606.5076
2, Fairbanks, Fairbanks, -90, -90, left, 5.083782, -1.086182, -139.3501, 20210928, 11:27:38.83675, 606.5215
2, Fairbanks, Fairbanks, -90, -90, left, 5.095254, -1.155579, -140.9592, 20210928, 11:27:38.85052, 606.5356
2, Fairbanks, Fairbanks, -90, -90, left, 5.240366, -1.206573, -142.4646, 20210928, 11:27:38.86471, 606.5495
2, Fairbanks, Fairbanks, -90, -90, left, 5.534149, -1.182281, -143.9315, 20210928, 11:27:38.87881, 606.5635
2, Fairbanks, Fairbanks, -90, -90, left, 5.945672, -1.253754, -145.3636, 20210928, 11:27:38.89212, 606.5771
2, Fairbanks, Fairbanks, -90, -90, left, 6.362005, -1.504639, -146.6354, 20210928, 11:27:38.90640, 606.5912
2, Fairbanks, Fairbanks, -90, -90, left, 6.63598, -1.939728, -147.7251, 20210928, 11:27:38.92036, 606.6052
2, Fairbanks, Fairbanks, -90, -90, left, 6.684772, -2.221832, -148.6417, 20210928, 11:27:38.93394, 606.619
2, Fairbanks, Fairbanks, -90, -90, left, 6.599019, -2.113556, -149.5081, 20210928, 11:27:38.94868, 606.6334
2, Fairbanks, Fairbanks, -90, -90, left, 6.394611, -1.868469, -150.3394, 20210928, 11:27:38.96217, 606.6469
2, Fairbanks, Fairbanks, -90, -90, left, 6.18987, -1.699249, -151.1354, 20210928, 11:27:38.97607, 606.6609
2, Fairbanks, Fairbanks, -90, -90, left, 6.138504, -1.593048, -151.842, 20210928, 11:27:38.98979, 606.6747
2, Fairbanks, Fairbanks, -90, -90, left, 6.269403, -1.584167, -152.5699, 20210928, 11:27:39.00381, 606.6887
2, Fairbanks, Fairbanks, -90, -90, left, 6.435991, -1.581787, -153.356, 20210928, 11:27:39.01779, 606.7026
2, Fairbanks, Fairbanks, -90, -90, left, 6.420486, -1.537537, -154.1321, 20210928, 11:27:39.03172, 606.7166
2, Fairbanks, Fairbanks, -90, -90, left, 6.310994, -1.425812, -154.8362, 20210928, 11:27:39.04571, 606.7305
2, Fairbanks, Fairbanks, -90, -90, left, 6.309651, -1.253876, -155.5618, 20210928, 11:27:39.05966, 606.7444
2, Fairbanks, Fairbanks, -90, -90, left, 6.314812, -1.127502, -156.3513, 20210928, 11:27:39.07307, 606.7582
2, Fairbanks, Fairbanks, -90, -90, left, 6.261525, -1.073608, -157.1168, 20210928, 11:27:39.08736, 606.7722
2, Fairbanks, Fairbanks, -90, -90, left, 6.193141, -0.9657288, -157.8209, 20210928, 11:27:39.10137, 606.7861
2, Fairbanks, Fairbanks, -90, -90, left, 6.17286, -0.8431091, -158.5093, 20210928, 11:27:39.11553, 606.8002
2, Fairbanks, Fairbanks, -90, -90, left, 6.185322, -0.7158203, -159.2094, 20210928, 11:27:39.12888, 606.814
2, Fairbanks, Fairbanks, -90, -90, left, 6.127849, -0.6082458, -159.8728, 20210928, 11:27:39.14306, 606.8278
2, Fairbanks, Fairbanks, -90, -90, left, 6.075456, -0.475708, -160.4718, 20210928, 11:27:39.15715, 606.8418
2, Fairbanks, Fairbanks, -90, -90, left, 6.089608, -0.3186951, -161.019, 20210928, 11:27:39.17064, 606.8557
2, Fairbanks, Fairbanks, -90, -90, left, 6.092496, -0.1755981, -161.517, 20210928, 11:27:39.18492, 606.8698
2, Fairbanks, Fairbanks, -90, -90, left, 6.091993, -0.04367065, -161.9928, 20210928, 11:27:39.19890, 606.8836
2, Fairbanks, Fairbanks, -90, -90, left, 6.136526, 0.06258354, -162.4058, 20210928, 11:27:39.21245, 606.8975
2, Fairbanks, Fairbanks, -90, -90, left, 6.193501, 0.130976, -162.7583, 20210928, 11:27:39.22672, 606.9114
2, Fairbanks, Fairbanks, -90, -90, left, 6.218019, 0.1807753, -163.0113, 20210928, 11:27:39.24057, 606.9254
2, Fairbanks, Fairbanks, -90, -90, left, 6.224951, 0.2597688, -163.2205, 20210928, 11:27:39.25413, 606.9393
2, Fairbanks, Fairbanks, -90, -90, left, 6.228939, 0.3405689, -163.3681, 20210928, 11:27:39.26856, 606.9532
2, Fairbanks, Fairbanks, -90, -90, left, 6.229133, 0.4147609, -163.4172, 20210928, 11:27:39.28243, 606.9672
2, Fairbanks, Fairbanks, -90, -90, left, 6.22976, 0.4353942, -163.4334, 20210928, 11:27:39.29631, 606.9811
2, Fairbanks, Fairbanks, -90, -90, left, 6.272115, 0.4800127, -163.4198, 20210928, 11:27:39.30987, 606.995
2, Fairbanks, Fairbanks, -90, -90, left, 6.288492, 0.5401044, -163.3616, 20210928, 11:27:39.32399, 607.0088
2, Fairbanks, Fairbanks, -90, -90, left, 6.307522, 0.6349624, -163.2725, 20210928, 11:27:39.33804, 607.0228
2, Fairbanks, Fairbanks, -90, -90, left, 6.380194, 0.7330244, -163.1563, 20210928, 11:27:39.35173, 607.0369
2, Fairbanks, Fairbanks, -90, -90, left, 6.463005, 0.8271446, -163.0351, 20210928, 11:27:39.36596, 607.0507
2, Fairbanks, Fairbanks, -90, -90, left, 6.524402, 0.8809891, -162.9329, 20210928, 11:27:39.37989, 607.0647
2, Fairbanks, Fairbanks, -90, -90, left, 6.550908, 0.8853009, -162.8391, 20210928, 11:27:39.39357, 607.0786
2, Fairbanks, Fairbanks, -90, -90, left, 6.528479, 0.8748551, -162.7976, 20210928, 11:27:39.40756, 607.0923
2, Fairbanks, Fairbanks, -90, -90, left, 6.479923, 0.8658952, -162.7467, 20210928, 11:27:39.42144, 607.1063
2, Fairbanks, Fairbanks, -90, -90, left, 6.475812, 0.8502683, -162.7173, 20210928, 11:27:39.43544, 607.1202
2, Fairbanks, Fairbanks, -90, -90, left, 6.498078, 0.8726491, -162.7272, 20210928, 11:27:39.44916, 607.1343
2, Fairbanks, Fairbanks, -90, -90, left, 6.455619, 0.8388545, -162.728, 20210928, 11:27:39.46333, 607.1481
2, Fairbanks, Fairbanks, -90, -90, left, 6.356944, 0.8377239, -162.6763, 20210928, 11:27:39.47749, 607.1621
2, Fairbanks, Fairbanks, -90, -90, left, 6.304777, 0.9362328, -162.5973, 20210928, 11:27:39.49078, 607.1759
2, Fairbanks, Fairbanks, -90, -90, left, 6.365196, 1.06762, -162.5029, 20210928, 11:27:39.50507, 607.1899
2, Fairbanks, Fairbanks, -90, -90, left, 6.44465, 1.125707, -162.4286, 20210928, 11:27:39.51918, 607.2039
3, Hop2, Hop2, 89, 90, left, 2.582557, 0.5591154, 90.10149, 20210928, 11:27:45.24108, 612.9259
3, Hop2, Hop2, 89, 90, left, 2.55558, 0.6342177, 89.63152, 20210928, 11:27:45.25463, 612.9398
3, Hop2, Hop2, 89, 90, left, 2.556423, 0.7133331, 89.18879, 20210928, 11:27:45.26924, 612.9539
3, Hop2, Hop2, 89, 90, left, 2.621087, 0.7719857, 88.83292, 20210928, 11:27:45.28290, 612.9677
3, Hop2, Hop2, 89, 90, left, 2.701022, 0.8305658, 88.52161, 20210928, 11:27:45.29669, 612.9816
3, Hop2, Hop2, 89, 90, left, 2.82513, 0.8814133, 88.20758, 20210928, 11:27:45.31030, 612.9954
3, Hop2, Hop2, 89, 90, left, 2.979918, 0.9147751, 87.86206, 20210928, 11:27:45.32447, 613.0093
