71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, open, -9.235138, 1.374686, 153.5658, 1.058228, 781.2604
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -9.004425, -0.2677307, 147.506, 1.211487, 784.8806
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -8.110535, 6.151721, 166.0096, 1.016418, 788.2042
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -5.209656, 4.624185, 165.1958, 0.668457, 791.1979
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, closed, 9.068064, 7.682592, -158.7369, 1.142029, 794.7902
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -5.331604, 9.383932, 336.3743, 0.7380981, 797.686
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, -1.698669, -5.742401, 21.95081, 1.05835, 801.1391
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 4.660613, -2.392822, -159.6403, 0.8632813, 804.4251
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -8.369354, 2.139968, 316.6061, 1.030518, 807.6089
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -8.235931, 3.564116, 159.4735, 0.8215332, 810.6425
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -12.4155, 4.707346, 65.11271, 1.322632, 814.3598
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -11.909, 2.516842, 172.443, 0.710022, 817.4509
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 5.989792, 0.7346503, -209.5752, 0.8075562, 820.6672
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -8.215149, 3.138588, 341.8582, 0.8770142, 823.9252
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 10.3215, -0.3562622, -263.7055, 0.8912354, 827.1834
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -9.588837, 5.522031, 162.7266, 0.7796021, 830.3579
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 2.034461, 1.098009, 19.24152, 1.002563, 833.7692
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -9.253876, 4.338949, 154.3959, 0.9608765, 837.0135
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, closed, 3.616544, -4.139343, -154.5508, 0.668335, 839.9791
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -8.449066, 2.866692, 156.483, 0.7521973, 843.1121
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, closed, -0.4630432, -4.097504, 10.14886, 1.350403, 846.7596
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -6.463776, 1.837837, 167.7384, 1.615295, 850.6027
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 2.459944, 1.243792, -166.2274, 0.7796021, 854.1114
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 4.261546, 1.695947, -75.08212, 1.058289, 857.5504
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, open, -6.953644, 6.734598, 345.5336, 1.016418, 860.7389
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 2.219934, 4.054654, -218.6487, 1.030273, 863.9272
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, open, 3.24387, 2.533626, 12.27899, 0.9191284, 867.0462
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -5.691345, 2.475015, 260.6261, 1.016479, 870.4157
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 0.2169713, -5.225739, 12.79889, 1.002441, 873.7712
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 3.523033, 0.6503383, -170.0249, 1.086304, 877.0154
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -6.090668, 3.64484, 347.1783, 0.9189453, 880.357
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 2.570457, -0.4586792, -163.1624, 0.7099609, 883.4618
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -8.986725, 1.671401, 343.0381, 1.225342, 887.11
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -6.688477, 4.004437, 147.6824, 0.7797852, 890.2705
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, closed, -8.49353, 4.842413, 255.227, 1.044434, 893.5426
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, closed, -10.10519, 0.6140125, 340.2563, 0.8773193, 896.5779
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 12.14185, 4.623819, -160.2206, 1.197388, 905.8093
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -11.95914, 0.3591623, 146.3427, 1.294922, 909.4851
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 8.655973, 4.434514, -154.1613, 0.9885254, 912.8266
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -15.9968, 2.40977, 331.02, 1.058044, 916.2657
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 14.59925, 0.5083977, -204.9467, 0.8909912, 919.4681
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -5.276672, 0.6350948, 53.70785, 0.8354492, 922.6008
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -3.845856, 3.959248, 111.2454, 0.7380371, 925.7059
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -9.42749, 3.251457, 321.4594, 0.8493652, 929.145
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 9.16518, 0.2705346, -157.9895, 0.8772583, 932.3892
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -8.007721, -1.334869, 136.856, 0.7520142, 935.4523
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -9.725494, 1.292691, 54.68813, 0.9609375, 938.7938
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -9.639557, 2.041853, 148.0901, 0.8075562, 941.8013
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 8.399639, -2.230713, -259.6367, 0.8911133, 944.9759
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -12.36987, 0.8441581, 133.9655, 0.5570679, 947.886
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 10.74613, -1.304443, -136.526, 1.155884, 951.4504
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -7.151459, 2.71616, 120.3043, 0.5153198, 954.3882
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 7.942539, 1.624638, -166.1637, 1.058411, 957.8552
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -9.137848, 3.910256, 156.7294, 0.9329834, 960.96
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -6.740021, 2.947665, 322.3099, 0.5430298, 963.9536
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -7.898956, -0.3074036, 152.0772, 0.6824951, 967.0167
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -3.113708, 3.193633, 316.5631, 0.8910522, 970.3027
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -8.184723, 1.63307, 162.619, 0.6682739, 973.324
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 7.571365, 1.973554, -157.8846, 0.8634033, 976.429
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 7.689507, 0.0845708, 17.83789, 0.8078003, 979.6733
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -9.387787, 2.346016, 50.77574, 0.5432739, 982.5414
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 8.437677, 0.3207884, -157.8616, 0.8771973, 985.7715
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 6.638752, 2.736541, 22.04611, 1.058105, 989.1689
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, closed, -11.07507, 0.2414923, 142.0949, 0.9608154, 992.5106
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -7.756012, -0.05722046, 231.8383, 1.002441, 995.866
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 7.780507, 0.7629886, -258.2014, 1.071899, 999.3609
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 7.522853, 0.8697438, -162.5151, 1.016357, 1002.73
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 5.516121, -1.551025, 26.76105, 0.8912964, 1005.961
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -15.00925, 0.5136465, 325.4718, 1.169556, 1009.455
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -12.08124, 0.9490346, 163.0569, 1.072144, 1012.922
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 4.73441, 0.8259834, 23.30789, 0.8215942, 1016.083
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -8.715302, -2.296844, 149.8951, 0.9745483, 1019.397
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, closed, 6.019324, -3.153381, -161.4821, 0.9329834, 1022.738
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -9.595703, -0.5644531, 144.6174, 0.6126709, 1025.76
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, open, 7.151309, 1.381238, 23.81403, 1.002808, 1029.171
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 8.491218, 1.621675, -160.8979, 1.044067, 1032.499
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -9.136353, -0.9772949, 318.3523, 0.8220215, 1035.729
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -4.331573, -0.4605103, 74.06868, 0.8077393, 1038.709
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -15.44077, -0.07388306, 317.1245, 1.016479, 1042.148
