104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -2.67984, 3.155012, 151.0991, 1.33667, 1083.359
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, 0.3356891, 2.424055, 235.9825, 1.044067, 1087.299
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -1.620178, 4.466524, 332.1139, 1.127686, 1091.142
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 6.707685, 5.042901, -140.3849, 1.65686, 1106.183
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -1.495697, 4.977285, 158.5566, 1.100098, 1111.78
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, open, 7.878256, 5.070021, -153.2342, 0.8913574, 1115.386
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, open, -2.774689, 16.68608, 278.1679, 4.134888, 1122.055
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 7.669544, 5.560147, -203.0255, 0.9327393, 1127.345
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -2.290649, 3.561683, 66.32215, 1.15564, 1131.062
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -1.767303, 3.884195, 154.8279, 0.8773193, 1135.002
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -1.981873, 5.265206, 335.5444, 1.030396, 1138.469
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 9.413502, 3.581439, -153.9775, 0.696167, 1141.727
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, open, -2.138611, 4.172848, 161.0623, 1.030273, 1145.277
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -1.30661, 3.911807, 65.01408, 0.9189453, 1148.59
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -0.1654053, 4.143108, 150.5676, 1.072144, 1152.155
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, open, 9.201517, 3.84801, -250.3169, 0.8353271, 1155.44
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -1.648712, 5.753796, 154.7088, 0.8903809, 1158.726
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 6.62249, 6.040579, -144.85, 0.8770752, 1161.942
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -0.7914124, 3.432556, 147.4827, 0.9328613, 1165.13
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 7.861042, 5.816216, -150.0506, 1.169556, 1168.75
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -1.906525, 5.578678, 152.1683, 1.016602, 1172.189
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -0.2337036, 7.09349, 329.2504, 1.099976, 1175.656
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, 0.3271746, 5.081365, 142.0559, 0.7241211, 1178.997
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, 1.500402, 3.622003, 305.985, 0.6964111, 1182.283
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, 0.1665834, 5.714126, 138.9064, 0.682251, 1185.596
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 6.293096, 7.792371, -148.8997, 1.044189, 1189.341
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 6.928391, 8.568098, 26.53354, 0.9747314, 1192.877
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -0.944458, 5.433321, 62.58754, 0.7658691, 1195.885
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 7.425671, 4.739756, -147.4472, 0.9468994, 1199.184
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 7.070667, 4.39603, 40.67578, 1.281006, 1202.79
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -2.90506, 5.871785, 158.9204, 1.030518, 1206.34
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -1.780609, 5.002899, 247.5932, 1.002441, 1209.779
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, closed, 9.103105, 10.02066, -255.9435, 1.963257, 1214.471
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 6.046321, 6.966694, -145.8721, 1.266968, 1218.286
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 8.93751, 5.755845, 31.43988, 0.9886475, 1221.697
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, open, -3.231567, 8.506794, 334.2738, 1.42041, 1225.567
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, open, -0.92453, 6.793122, 159.8474, 1.044312, 1229.034
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 6.324017, 6.003397, 28.33249, 0.9608154, 1232.625
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, closed, -2.271576, 6.035117, 159.4613, 1.058228, 1236.009
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 7.773197, 4.581455, -150.3348, 1.030396, 1240.812
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -1.25589, 5.012854, 157.7584, 0.7935791, 1244.111
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, open, 7.315143, 7.586757, 23.75076, 1.057983, 1247.578
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 8.441943, 3.801681, -150.834, 0.9051514, 1251.351
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -1.393646, 1.239982, 329.0354, 0.723877, 1254.414
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, 0.0963821, 7.407757, 109.3057, 1.32251, 1257.978
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -0.2757263, 9.805294, 334.3054, 1.197266, 1261.598
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, open, 7.282331, 3.675377, -139.9237, 2.394531, 1266.665
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 6.37111, 5.548703, -151.0767, 1.099976, 1269.951
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, 7.010057, 8.083361, -154.7238, 0.9886475, 1273.376
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, open, 7.987713, 6.957136, -251.8702, 1.113892, 1276.912
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 6.735905, 7.356394, -153.3386, 0.9329834, 1280.254
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, closed, 3.86145, 5.845079, -224.2225, 0.9189453, 1283.54
156, NeutralPineEntrance, 0, PineEntrance, -90, -90, right, 4, open, open, 9.546606, 5.329224, -155.8765, 1.085938, 1287.507
157, NeutralMooreLot, 0, MooreLot, 270, 90, left, 4, open, open, -2.220551, 8.230895, 345.3785, 1.26709, 1291.252
158, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 7.106393, 8.877789, -155.4063, 1.058105, 1295.011
159, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -2.359467, 7.10136, 167.5671, 0.9189453, 1298.687
160, Maynard, 0, Maynard, -90, -90, right, 3, open, open, 8.869316, 6.42147, -153.698, 1.043701, 1302.223
161, NeutralBakerBerryCharter, 0, BakerBerryCharter, -180, -90, right, 4, open, open, 8.117345, 8.092283, -242.5015, 1.044067, 1314.127
162, NeutralZimmerman, 0, Zimmerman, -10, 90, left, 4, open, open, -0.8928223, 3.855685, 58.41503, 1.058228, 1317.663
163, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, open, -0.8901672, 4.137015, 161.475, 1.016479, 1321.533
164, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -0.5333557, 5.213208, 341.9205, 1.114014, 1325.07
165, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, left, 2, closed, closed, 8.326185, 6.4839, -151.2399, 0.9049072, 1328.439
166, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -1.00238, 5.694877, 163.3051, 0.8632813, 1331.502
167, NeutralZimmerman, 0, Zimmerman, -10, 90, right, 2, open, open, -1.322662, 3.279476, 60.88396, 0.8909912, 1334.815
168, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, right, 3, open, open, 6.944144, 6.252869, -230.8854, 1.211426, 1338.324
169, 53Commons, 0, 53Commons, -90, -90, right, 3, closed, open, 5.327489, 8.122204, -146.5432, 1.350464, 1342.125
170, NeutralPineEntrance, 0, PineEntrance, -90, -90, left, 2, open, open, 7.93925, 7.951531, -151.9128, 1.002563, 1345.438
171, NeutralHop4, 0, Hop4, -93, -90, left, 2, open, open, 7.922354, 7.212284, -155.0149, 0.8215332, 1348.598
172, PineBackHall, 180, PineBackHall, 90, -90, right, 3, open, closed, 7.891982, 10.40294, 23.22964, 1.294922, 1352.26
173, PineEntrance, 0, PineEntrance, -90, -90, right, 3, open, open, 8.72124, 8.193053, -155.5499, 1.044434, 1355.727
174, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, right, 2, open, open, -0.557251, 6.733015, 157.6817, 1.058228, 1359.207
175, MooreLot, 180, MooreLot, 90, -90, left, 1, closed, closed, 7.891892, 9.260437, 25.2547, 0.9747314, 1362.563
176, RaunerFirst, 0, RaunerFirst, -90, -90, right, 3, closed, closed, 10.03358, 7.545362, -159.8072, 1.044189, 1365.918
177, MooreLot, 180, MooreLot, 90, -90, right, 3, closed, closed, 9.030334, 7.414803, 21.95047, 0.9885254, 1370.22
178, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 6.946802, 7.361919, -153.9445, 0.9887695, 1373.659
179, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, -1.003601, 3.503195, 63.53511, 0.9606934, 1377.139
180, NeutralMooreLot, 0, MooreLot, 90, -90, right, 4, closed, closed, 6.759606, 7.780692, 34.0607, 1.072144, 1381.135
181, Maynard, 0, Maynard, 90, 90, left, 3, closed, closed, 0.9112174, 5.209516, 150.34, 1.434204, 1385.284
182, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, right, 3, closed, closed, 8.313864, 8.453377, 30.77676, 1.044312, 1388.806
183, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, right, 3, closed, closed, 9.162177, 6.838383, -56.0834, 1.05835, 1392.509
184, PineEntrance, 0, PineEntrance, -90, -90, left, 1, open, open, 8.782638, 7.809463, -153.6165, 1.099976, 1396.199
185, Neutral53Commons, 0, 53Commons, 90, 90, left, 4, open, open, 0.2237613, 3.681984, 161.4221, 1.058105, 1400.069
186, NeutralUmplebys, 0, Umplebys, 40, 90, left, 4, closed, closed, -0.2966919, 3.677933, 109.8456, 1.197144, 1403.703
187, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 7.223599, 5.507269, 28.87201, 0.9049072, 1407.42
188, Zimmerman, -100, Zimmerman, -10, 90, right, 1, open, open, 0.299472, 3.342467, 60.27584, 0.8632813, 1410.692
189, NeutralPineBackHall, 0, PineBackHall, 90, -90, left, 2, open, closed, 9.326744, 6.944695, 25.06815, 0.8913574, 1414.006
190, NeutralMaynard, 0, Maynard, 90, 90, left, 4, closed, closed, -1.640808, 3.055407, 163.7111, 1.197388, 1417.723
191, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, right, 4, closed, closed, 13.0037, 8.188993, -56.31787, 1.183472, 1421.398
192, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 10.60517, 7.262296, -151.8587, 0.9467773, 1424.851
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.446189, 6.825846, -193.3005, 1.266968, 1428.54
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.446189, 6.825846, -193.3005, 1.266968, 1428.54
194, NeutralRaunerFirst, 0, RaunerFirst, -90, -90, right, 4, closed, closed, 9.195683, 5.579313, -146.9047, 0.9188232, 1431.951
193, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.446189, 6.825846, -193.3005, 1.266968, 1428.54
195, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -0.4423218, 5.084696, 333.3259, 1.350586, 1435.724
196, NeutralHop4, 0, Hop4, 87, 90, left, 4, closed, closed, 0.6107436, 4.234781, 154.3895, 0.9329834, 1439.135
197, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, 0.5594344, 4.288711, 156.1089, 1.127808, 1442.671
198, RaunerFirst, 0, RaunerFirst, 90, 90, right, 1, open, open, -0.2447815, 4.668092, 158.4014, 1.086182, 1446.194
199, Fairbanks, 0, Fairbanks, 90, 90, left, 3, closed, open, 0.5836, 4.489112, 159.6718, 1.12793, 1449.73
200, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, left, 4, closed, closed, -0.4247742, 7.120478, 343.0377, 1.100098, 1453.197
201, NeutralHop4, 0, Hop4, 87, 90, right, 2, closed, closed, -0.3477783, 4.127964, 159.7107, 0.9190674, 1456.789
202, Fairbanks, 0, Fairbanks, -90, -90, left, 1, open, open, 8.26975, 6.80963, -148.2049, 0.9472656, 1460.172
203, NeutralMooreLot, 0, MooreLot, 90, -90, left, 2, closed, closed, 9.352277, 6.394017, 31.24393, 1.057861, 1463.638
