79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -8.168304, 2.450783, 380.4438, 0.7661133, 1184.395
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -9.495117, 0.04820535, 188.6069, 0.8493652, 1187.705
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -4.497589, 1.862261, 110.878, 1.518188, 1191.674
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -8.576508, 1.95425, 197.1074, 0.640625, 1194.82
83, Umplebys, -50, Umplebys, -140, -90, left, 1, open, open, 7.408296, 1.241416, -230.6189, 0.9606934, 1198.286
84, MooreLot, 180, MooreLot, 270, 90, right, 1, open, open, -8.755585, 0.09626303, 373.1304, 0.710083, 1201.642
85, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 10.10781, -0.02038574, -284.5134, 0.668335, 1204.885
86, 53Commons, 0, 53Commons, 90, 90, right, 1, open, open, -7.614258, 6.815434, 191.599, 0.6962891, 1208.352
87, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, right, 4, open, open, 8.523394, 2.150034, 5.796356, 1.183472, 1212.39
88, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -6.829895, 3.135799, 175.4419, 0.7797852, 1216.037
89, RaunerBackHall, 0, RaunerBackHall, -90, -90, left, 1, closed, open, 9.359712, -0.1384888, -167.7174, 0.4735107, 1220.353
90, NeutralAllenSt, 0, AllenSt, 90, 90, right, 2, closed, closed, -5.069702, 0.7161223, 195.2865, 0.7797852, 1225.574
91, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, right, 4, closed, closed, 4.594903, -5.659332, -14.87207, 1.433838, 1229.486
92, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -9.119202, 0.5863478, 201.3975, 0.626709, 1233.162
93, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 10.24236, 1.401353, -181.8363, 0.7796631, 1236.642
94, BakerBerry2nd, 94, BakerBerry2nd, 4, -90, left, 1, closed, closed, 10.2148, 3.936418, -88.00049, 0.6403809, 1239.914
95, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, left, 4, open, closed, -2.63089, 5.821113, 390.6147, 1.54541, 1244.174
96, Umplebys, -50, Umplebys, -140, -90, right, 3, open, open, 3.173219, -1.442078, -231.9929, 2.088379, 1249.089
97, PineBackHall, 180, PineBackHall, 90, -90, left, 1, open, closed, 7.213099, 5.813865, -19.4216, 1.127686, 1252.89
98, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -10.75925, 1.084292, 274.8838, 0.8355713, 1256.482
99, McLaughlinCluster, 172, McLaughlinCluster, 82, -90, left, 1, closed, closed, 8.59459, -2.2948, 2.429932, 0.696167, 1259.892
100, NeutralHop2, 0, Hop2, -91, -90, right, 4, closed, closed, 2.758965, -3.471741, -195.698, 1.82373, 1264.236
101, MooreLot, 180, MooreLot, 270, 90, left, 3, open, open, -2.080383, 0.4644329, 384.7372, 1.684692, 1269.582
102, RaunerFirst, 0, RaunerFirst, -90, -90, left, 1, closed, closed, 8.816974, 1.313104, -189.1865, 1.169556, 1273.23
103, PineBackHall, 180, PineBackHall, 270, 90, left, 3, closed, closed, -1.132233, 0.4842773, 393.0107, 1.475952, 1277.49
104, Hop4, -3, Hop4, 87, 90, left, 3, closed, closed, -3.58255, 6.108291, 197.7537, 1.54541, 1281.569
105, NeutralBakerBerry2nd, 0, BakerBerry2nd, 184, 90, left, 4, open, open, -0.6385803, 1.59282, 254.6544, 2.199829, 1286.971
106, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 270, 90, right, 2, open, open, -6.365326, 5.024959, 374.4537, 0.9327393, 1291.106
107, NeutralHop4, 0, Hop4, -93, -90, right, 4, open, open, 1.396391, -2.609253, -178.483, 2.144287, 1324.114
108, Maynard, 0, Maynard, 90, 90, right, 1, closed, closed, -4.591705, -2.077942, 170.9123, 0.8214111, 1327.998
109, Neutral53Commons, 0, 53Commons, -90, -90, right, 4, closed, closed, 4.6804, 0.2662251, -168.6725, 1.503662, 1331.994
110, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -5.935425, 5.899193, 378.4294, 0.654541, 1335.112
111, NeutralUmplebys, 0, Umplebys, -140, -90, left, 2, open, open, 9.478192, 3.141596, -227.7457, 0.7518311, 1338.997
112, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, left, 3, closed, closed, -8.646393, 2.625164, 93.02063, 1.058105, 1342.867
113, RaunerBackHall, 0, RaunerBackHall, 90, 90, right, 1, open, open, -9.683075, 2.821659, 176.8255, 0.9608154, 1346.278
114, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, right, 1, open, open, -10.98422, 8.073117, 359.7903, 0.7935791, 1349.773
115, AllenSt, 0, AllenSt, -90, -90, left, 1, open, open, 10.5757, 1.596934, -170.7132, 0.8631592, 1353.086
116, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, open, -8.516907, 2.385923, 173.1998, 1.712524, 1357.332
117, NeutralBakerBerryCharter, 0, BakerBerryCharter, 0, 90, left, 4, closed, closed, -4.972107, 13.35976, 99.90022, 1.392212, 1361.189
118, NeutralAllenSt, 0, AllenSt, 90, 90, left, 4, closed, closed, -3.99939, 5.449163, 180.9197, 1.25293, 1365.087
119, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, 13.15462, 0.555137, -267.5017, 1.629028, 1369.431
120, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -12.95349, 5.536443, 182.6981, 1.100098, 1372.967
121, NeutralRaunerBackHall, 0, RaunerBackHall, -90, -90, left, 2, closed, closed, 11.23812, 6.12576, -171.4276, 0.7658691, 1376.155
122, Hop4, -3, Hop4, 87, 90, right, 1, closed, closed, -10.46082, -0.1446228, 174.1523, 0.6265869, 1379.622
123, Maynard, 0, Maynard, -90, -90, left, 1, open, open, 7.920789, 7.552141, -168.1601, 0.7937012, 1383.061
124, AllenSt, 0, AllenSt, 90, 90, left, 3, closed, closed, -6.99292, 9.830095, 172.3528, 0.696167, 1386.291
125, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -8.833069, 7.583346, 354.4574, 0.598877, 1389.688
126, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -10.66486, 2.440084, 170.2958, 0.6401367, 1392.709
127, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -11.69666, 2.854931, 356.8855, 0.682373, 1395.967
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -5.852692, 4.362678, 175.8694, 1.169556, 1399.712
128, AllenSt, 0, AllenSt, 90, 90, right, 1, closed, closed, -5.852692, 4.362678, 175.8694, 1.169556, 1399.712
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 6.876991, 0.9625254, -170.1828, 1.642944, 1404.056
129, NeutralMaynard, 0, Maynard, -90, -90, right, 4, open, open, 6.876991, 0.9625254, -170.1828, 1.642944, 1404.056
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 8.33077, 0.1234494, 20.27777, 1.183594, 1407.926
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 8.33077, 0.1234494, 20.27777, 1.183594, 1407.926
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -9.156891, 0.1810157, 89.50914, 0.5570068, 1410.961
130, NeutralRollinsChapel3, 0, RollinsChapel3, 87, -90, left, 2, open, open, 8.33077, 0.1234494, 20.27777, 1.183594, 1407.926
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -9.156891, 0.1810157, 89.50914, 0.5570068, 1410.961
132, NeutralAllenSt, 0, AllenSt, -90, -90, left, 2, open, open, 7.419113, 1.243882, -160.8234, 0.723999, 1413.885
131, BakerBerryCharter, -90, BakerBerryCharter, 0, 90, right, 1, closed, closed, -9.156891, 0.1810157, 89.50914, 0.5570068, 1410.961
133, BakerBerryHistoric2, 180, BakerBerryHistoric2, 90, -90, left, 1, closed, closed, 0.3675027, -2.57135, 37.93439, 1.601074, 1417.811
134, NeutralHop2, 0, Hop2, 89, 90, left, 4, open, open, -1.2565, 1.772844, 182.6207, 1.26709, 1421.305
135, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, left, 3, open, open, -6.975037, 0.2188836, 271.0686, 1.308838, 1425.259
136, NeutralZimmerman, 0, Zimmerman, -190, -90, right, 4, closed, open, 7.655426, -1.310913, -279.4869, 2.63147, 1430.452
137, Maynard, 0, Maynard, -90, -90, left, 1, open, open, -1.523956, -3.441803, -112.6414, 1.253174, 1434.991
138, NeutralBakerBerryHistoric2, 0, BakerBerryHistoric2, 90, -90, left, 2, closed, closed, 4.072801, 2.06307, 7.908173, 1.545532, 1439.21
139, RollinsChapel3, 177, RollinsChapel3, 267, 90, right, 1, closed, closed, -9.496277, 8.760498, 366.2094, 0.668335, 1442.286
140, Fairbanks, 0, Fairbanks, 90, 90, right, 1, closed, closed, -5.402832, 2.501969, 179.787, 1.935303, 1446.644
141, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, 4.426721, -0.4838562, 8.38501, 1.127686, 1451.155
142, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, right, 2, open, open, -9.34613, 2.705581, 183.5719, 1.08606, 1455.025
143, NeutralFairbanks, 0, Fairbanks, -90, -90, left, 2, open, open, 5.844166, -4.14856, -157.2231, 0.9886475, 1458.436
144, PineEntrance, 0, PineEntrance, 90, 90, right, 1, closed, closed, -6.649872, 1.073715, 197.0991, 0.6544189, 1461.346
145, NeutralPineBackHall, 0, PineBackHall, 90, -90, right, 4, open, closed, 1.713231, 7.548647, -10.06683, 1.726318, 1465.342
146, NeutralHop2, 0, Hop2, -91, -90, left, 2, closed, closed, 5.861262, 2.490147, -165.2453, 1.266968, 1469.282
147, PineBackHall, 180, PineBackHall, 270, 90, right, 1, closed, closed, -4.738983, 3.255735, 365.7083, 0.640625, 1475.714
148, Umplebys, -50, Umplebys, 40, 90, left, 3, closed, closed, -4.965851, 1.976922, 144.6861, 1.461914, 1479.501
149, McLaughlinCluster, 172, McLaughlinCluster, 262, 90, left, 3, open, open, -3.177216, 0.972045, 360.1237, 1.392334, 1483.301
150, Neutral53Commons, 0, 53Commons, -90, -90, left, 2, closed, closed, 8.164357, -0.02218628, -157.1288, 0.9885254, 1486.615
151, Hop2, -1, Hop2, -91, -90, left, 1, closed, closed, 4.598904, 4.000403, -160.8118, 2.116455, 1491.196
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.4822083, 3.124331, -158.5563, 1.615112, 1495.637
152, Hop4, -3, Hop4, -93, -90, left, 1, open, open, -0.4822083, 3.124331, -158.5563, 1.615112, 1495.637
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
154, NeutralMaynard, 0, Maynard, -90, -90, left, 2, open, open, 9.391874, 3.730947, -158.4468, 1.281006, 1503.739
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
155, BakerBerryCharter, -90, BakerBerryCharter, -180, -90, left, 1, open, open, 6.880742, 2.043153, -249.8068, 2.603516, 1509.99
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
153, Zimmerman, -100, Zimmerman, -190, -90, left, 1, closed, closed, -1.323578, 6.038944, -261.2117, 1.5177, 1499.786
