60, NeutralAllenSt, 0, AllenSt, -90, -90, right, 4, open, open, 0.5656703, -6.330292, -156.5958, 1.211182, 1090.217
61, NeutralBakerBerry2nd, 0, BakerBerry2nd, 4, -90, left, 2, closed, closed, 1.155243, -6.52771, -62.78909, 0.9608154, 1093.684
62, NeutralPineBackHall, 0, PineBackHall, 270, 90, left, 4, closed, closed, -2.112152, -4.593109, 352.3515, 1.225098, 1097.499
63, RollinsChapel3, 177, RollinsChapel3, 87, -90, left, 1, open, open, -0.4726868, -4.392334, 20.94, 1.114014, 1101.049
64, NeutralRaunerFirst, 0, RaunerFirst, 90, 90, left, 4, open, open, -1.99292, -3.799438, 171.7117, 1.37854, 1105.275
65, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 0.2321998, -3.288177, -157.1054, 1.05835, 1109.494
66, Umplebys, -50, Umplebys, 40, 90, right, 1, closed, closed, -2.694366, -4.136688, 119.453, 1.183472, 1113.49
67, RaunerBackHall, 0, RaunerBackHall, -90, -90, right, 3, closed, closed, 0.3138313, -3.563416, -157.67, 1.503662, 1117.708
68, NeutralMooreLot, 0, MooreLot, 270, 90, right, 2, open, open, -2.062347, -3.980255, 351.5649, 1.113892, 1121.478
69, BakerBerry2nd, 94, BakerBerry2nd, 184, 90, right, 1, open, open, -2.422699, -2.323944, 267.6907, 0.9467773, 1124.875
70, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 262, 90, left, 4, open, open, -2.907654, -1.914948, 337.5547, 3.09082, 1130.486
71, NeutralFairbanks, 0, Fairbanks, 90, 90, right, 2, closed, closed, -1.685211, -4.45224, 169.9859, 1.684692, 1135.428
72, NeutralPineEntrance, 0, PineEntrance, 90, 90, left, 4, closed, closed, -1.311249, -3.417603, 170.7459, 1.308838, 1139.452
73, NeutralRaunerBackHall, 0, RaunerBackHall, 90, 90, left, 4, open, open, -2.368317, -3.814209, 169.8784, 1.420288, 1143.492
74, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -2.283569, -4.768585, 166.7581, 1.141602, 1147.363
75, NeutralFairbanks, 0, Fairbanks, -90, -90, right, 4, open, open, 0.5308191, -7.67514, -155.1473, 1.05835, 1150.899
76, BakerBerryHistoric2, 180, BakerBerryHistoric2, 270, 90, right, 1, open, open, -2.29364, -4.264832, 347.9372, 0.9886475, 1154.296
77, NeutralMcLaughlinCluster, 0, McLaughlinCluster, 82, -90, left, 2, closed, closed, 0.8737757, -8.02002, 21.80927, 1.002441, 1158.152
78, 53Commons, 0, 53Commons, -90, -90, left, 1, closed, closed, 0.7592538, -6.779388, -153.9742, 1.10022, 1161.8
79, NeutralRollinsChapel3, 0, RollinsChapel3, 267, 90, right, 2, closed, closed, -1.203217, -1.369324, 346.7755, 1.364868, 1165.86
80, NeutralHop2, 0, Hop2, 89, 90, right, 2, open, open, -2.317566, -3.30011, 169.2043, 1.155762, 1169.671
81, Zimmerman, -100, Zimmerman, -10, 90, left, 3, open, open, -2.865021, -4.30188, 69.58486, 1.47583, 1173.764
82, Hop2, -1, Hop2, 89, 90, right, 1, open, open, -3.103027, -3.737701, 168.92, 1.058228, 1177.328
