0, McLaughlinCluster, study, 0, 0, study, -4.58252, 7.214515, 2.706543, 20211022, 11:01:07.41808, 25.18892
0, McLaughlinCluster, study, 0, 0, study, -4.600952, 7.385545, 3.518051, 20211022, 11:01:07.43206, 25.20292
0, McLaughlinCluster, study, 0, 0, study, -4.696716, 7.530875, 4.266441, 20211022, 11:01:07.44561, 25.21678
0, McLaughlinCluster, study, 0, 0, study, -4.810913, 7.70669, 5.039265, 20211022, 11:01:07.46016, 25.23079
0, McLaughlinCluster, study, 0, 0, study, -4.889618, 7.860823, 5.85056, 20211022, 11:01:07.47374, 25.24473
0, McLaughlinCluster, study, 0, 0, study, -4.88681, 7.992795, 6.666179, 20211022, 11:01:07.48765, 25.25857
0, McLaughlinCluster, study, 0, 0, study, -4.844055, 8.102833, 7.496853, 20211022, 11:01:07.50165, 25.27256
0, McLaughlinCluster, study, 0, 0, study, -4.799469, 8.257866, 8.304445, 20211022, 11:01:07.51571, 25.28635
0, McLaughlinCluster, study, 0, 0, study, -4.740601, 8.401196, 9.090089, 20211022, 11:01:07.52981, 25.30043
0, McLaughlinCluster, study, 0, 0, study, -4.666992, 8.556317, 9.871037, 20211022, 11:01:07.54315, 25.31428
0, McLaughlinCluster, study, 0, 0, study, -4.567902, 8.766929, 10.61296, 20211022, 11:01:07.55742, 25.32818
0, McLaughlinCluster, study, 0, 0, study, -4.379028, 9.002332, 11.33529, 20211022, 11:01:07.57131, 25.34227
0, McLaughlinCluster, study, 0, 0, study, -4.063751, 9.252838, 12.06851, 20211022, 11:01:07.58496, 25.3561
0, McLaughlinCluster, study, 0, 0, study, -3.687836, 9.453619, 12.78035, 20211022, 11:01:07.59895, 25.36992
0, McLaughlinCluster, study, 0, 0, study, -3.317993, 9.712286, 13.46942, 20211022, 11:01:07.61310, 25.384
0, McLaughlinCluster, study, 0, 0, study, -3.107483, 10.10508, 14.07657, 20211022, 11:01:07.62672, 25.39782
0, McLaughlinCluster, study, 0, 0, study, -3.079407, 10.46997, 14.6808, 20211022, 11:01:07.64082, 25.41172
0, McLaughlinCluster, study, 0, 0, study, -3.235107, 10.66192, 15.25803, 20211022, 11:01:07.65499, 25.42565
0, McLaughlinCluster, study, 0, 0, study, -3.292206, 10.69936, 15.86075, 20211022, 11:01:07.66865, 25.43955
0, McLaughlinCluster, study, 0, 0, study, -3.396973, 10.70963, 16.44468, 20211022, 11:01:07.68263, 25.45349
0, McLaughlinCluster, study, 0, 0, study, -3.423096, 10.78945, 17.07618, 20211022, 11:01:07.69653, 25.46743
0, McLaughlinCluster, study, 0, 0, study, -3.396393, 10.96816, 17.72635, 20211022, 11:01:07.71043, 25.48133
0, McLaughlinCluster, study, 0, 0, study, -3.365479, 11.22272, 18.37595, 20211022, 11:01:07.72399, 25.49518
0, McLaughlinCluster, study, 0, 0, study, -3.343079, 11.4268, 19.06771, 20211022, 11:01:07.73834, 25.50926
0, McLaughlinCluster, study, 0, 0, study, -3.333435, 11.52846, 19.81008, 20211022, 11:01:07.75230, 25.5231
0, McLaughlinCluster, study, 0, 0, study, -3.331787, 11.56969, 20.58684, 20211022, 11:01:07.76589, 25.53707
0, McLaughlinCluster, study, 0, 0, study, -3.370636, 11.60975, 21.33908, 20211022, 11:01:07.78039, 25.55133
0, McLaughlinCluster, study, 0, 0, study, -3.462982, 11.67394, 22.11568, 20211022, 11:01:07.79428, 25.56489
0, McLaughlinCluster, study, 0, 0, study, -3.542877, 11.7282, 23.00315, 20211022, 11:01:07.80797, 25.57888
0, McLaughlinCluster, study, 0, 0, study, -3.521912, 11.78091, 23.97264, 20211022, 11:01:07.82188, 25.59279
0, McLaughlinCluster, study, 0, 0, study, -3.429291, 11.8248, 24.96376, 20211022, 11:01:07.83598, 25.60664
0, McLaughlinCluster, study, 0, 0, study, -3.354675, 11.86135, 25.96786, 20211022, 11:01:07.84976, 25.62053
0, McLaughlinCluster, study, 0, 0, study, -3.342987, 11.88411, 27.04389, 20211022, 11:01:07.86327, 25.63448
0, McLaughlinCluster, study, 0, 0, study, -3.279297, 11.91297, 28.21246, 20211022, 11:01:07.87784, 25.6484
0, McLaughlinCluster, study, 0, 0, study, -3.124054, 11.96023, 29.44436, 20211022, 11:01:07.89183, 25.66234
0, McLaughlinCluster, study, 0, 0, study, -2.88913, 11.94575, 30.74475, 20211022, 11:01:07.90512, 25.67626
0, McLaughlinCluster, study, 0, 0, study, -2.593842, 12.01945, 32.01955, 20211022, 11:01:07.91922, 25.69017
0, McLaughlinCluster, study, 0, 0, study, -2.293854, 12.11885, 33.31768, 20211022, 11:01:07.93332, 25.7042
0, McLaughlinCluster, study, 0, 0, study, -2.020538, 12.18061, 34.73996, 20211022, 11:01:07.94675, 25.71792
0, McLaughlinCluster, study, 0, 0, study, -1.787506, 12.18173, 36.30922, 20211022, 11:01:07.96094, 25.73188
0, McLaughlinCluster, study, 0, 0, study, -1.47583, 12.12486, 38.04831, 20211022, 11:01:07.97487, 25.74586
