75, WalnutApartment, 0, WalnutApartment, 90, 90, none, 1, open, open, 0.7869536, 12.67753, 165.8078, 1.374878, 424.2532
76, neutral, 0, Rotman, 90, 90, none, 0, open, open, 0.4489163, 11.85715, 160.8506, 1.277954, 426.8776
77, OceanLot, 0, MarketColorado, 90, 90, none, 0, closed, closed, -1.335602, 12.43887, 163.1234, 1.208221, 429.807
78, neutral, 0, TrescaBoston, -90, -90, none, 0, open, open, 1.282369, 8.467875, -168.2687, 1.360657, 432.5143
79, neutral, 0, WalnutApartment, -90, -90, none, 0, closed, closed, -0.5271606, 11.75969, -167.9969, 1.069244, 435.0275
80, SketchBurger, 0, TriangleArchway, -90, -90, none, 0, open, open, 2.036084, 11.87626, -171.6132, 1.443909, 437.9987
81, neutral, 0, MountVernon, 90, 90, none, 0, closed, closed, -3.247559, 13.85883, 154.7856, 1.735657, 440.9978
82, SwarthmoreFriends, 140, SwarthmoreFriends, 50, -90, none, 1, closed, closed, -0.835144, 7.723317, -18.94174, 1.319214, 443.6359
83, FenningStEngland, 0, SketchBurger, 90, 90, none, 0, open, open, -1.614197, 10.52408, 161.6498, 1.248871, 446.3712
84, DownhillDriveway, 0, BennettPlace, -90, -90, none, 0, open, open, 0.325557, 5.872761, -163.5642, 1.222076, 451.7585
85, neutral, 0, DiningHall, -10, -90, none, 0, closed, closed, 1.748587, 5.483913, -83.24313, 1.097046, 454.3132
86, 31stStNewYork, 0, WoodshopDoorway, -90, -90, none, 0, closed, closed, 0.1900295, 7.482559, -162.2053, 1.166412, 457.0483
87, neutral, 0, YellowHallway, -90, -90, none, 0, open, open, 1.194291, 8.794917, -161.7249, 1.333038, 459.8114
88, neutral, 0, KnoxCollege, -6, -90, none, 0, open, open, -0.1964417, 5.694825, -80.08109, 1.249542, 463.102
89, neutral, 0, Hollingworth, -90, -90, none, 0, open, open, -0.4875488, 6.308202, -163.0106, 1.360809, 465.9762
90, FuFoundationHall, 0, DownhillDriveway, 90, 90, none, 0, closed, closed, -2.282501, 14.07954, 166.7915, 0.9719543, 468.5587
91, TrescaBoston, 0, TrescaBoston, 90, 90, none, 1, closed, closed, -0.8630676, 16.66487, 161.3677, 0.9719238, 471.5021
92, SwarthmoreFriends, 140, FuFoundationHall, -90, -90, none, 0, open, open, -0.3546753, 6.563802, -164.8231, 1.138794, 474.4735
93, YellowHallway, 0, YellowHallway, 90, 90, none, 1, closed, closed, -0.8252869, 16.82801, 161.6797, 1.152527, 477.1255
94, Reykjavik, 0, FenningStEngland, 90, 90, none, 0, closed, closed, -0.4633179, 18.28204, 160.1512, 1.276886, 479.8468
95, OceanLot, 0, OceanLot, 90, 90, none, 1, open, open, -0.9079895, 14.50477, 159.4152, 1.152679, 482.9709
96, Portland3, 0, Portland3, -90, -90, none, 1, closed, closed, 1.18415, 6.717903, -165.2038, 1.264313, 485.6652
97, BennettPlace, 0, Reykjavik, 90, 90, none, 0, open, open, -1.212738, 8.746137, 156.1815, 1.069244, 489.2883
98, ChurchLot, 0, ChurchLot, -90, -90, none, 1, closed, closed, -0.2172852, 7.397848, -164.0386, 1.027496, 491.6904
99, Reykjavik, 0, Reykjavik, -90, -90, none, 1, closed, closed, 0.7873585, 6.659554, -166.4473, 1.166351, 494.2868
100, DownhillDriveway, 0, DownhillDriveway, -90, -90, none, 1, open, open, -0.191864, 9.421986, -166.1843, 1.305786, 496.8144
101, neutral, 0, ViaAgency, -90, -90, none, 0, closed, closed, -0.8884888, 10.77396, -165.518, 1.041473, 499.3547
102, RueRousseletParis, 0, RueRousseletParis, 90, 90, none, 1, closed, closed, 0.7735792, 15.67422, 161.3562, 1.069244, 501.9789
103, FenningStEngland, 0, FenningStEngland, -90, -90, none, 1, open, open, -1.659607, 6.314322, -162.5354, 1.069275, 504.3809
104, Dublin2, 0, Dublin2, -90, -90, none, 1, closed, closed, -0.3069763, 6.506263, -162.6104, 1.083191, 506.9357
105, WallOfHonor, 90, WallOfHonor, 0, -90, none, 1, closed, closed, -0.5639343, 8.098387, -67.99072, 1.18045, 509.532
106, FuFoundation, 270, FuFoundation, 180, -90, none, 1, open, open, 0.2520256, 6.031251, 108.3529, 1.152496, 512.1285
107, CottageAve, 0, CottageAve, -90, -90, none, 1, open, open, 1.01849, 5.624491, -165.3497, 1.096985, 524.8745
108, MarketColorado, 0, MarketColorado, -90, -90, none, 1, open, open, -0.4094849, 5.05653, -161.967, 1.041382, 527.0961
109, ZebraEntry, 0, OceanLot, -90, -90, none, 0, closed, closed, 0.541382, 7.353293, -163.5045, 1.430298, 532.1226
110, neutral, 0, ChurchLot, 90, 90, none, 0, open, open, -0.007202148, 12.73745, 167.3182, 1.277527, 534.691
111, neutral, 0, MontessoriBooks, 90, 90, none, 0, open, open, -0.02331543, 13.34414, 164.2717, 1.388733, 538.5648
112, 31stStNewYork, 0, 31stStNewYork, 90, 90, none, 1, closed, closed, -0.208374, 11.97333, 167.4747, 1.180237, 541.2583
113, neutral, 0, FuFoundation, 360, 90, none, 0, closed, closed, 0.2647841, 14.92935, 437.1853, 1.208069, 544.3129
114, Hollingworth, 0, Hollingworth, 90, 90, none, 1, closed, closed, 5.528588, 20.08467, 172.9543, 7.831116, 553.8795
115, MountVernon, 0, MountVernon, -90, -90, none, 1, open, open, 1.644924, 2.941523, -163.4756, 1.291931, 560.6695
116, ViaAgency, 0, ViaAgency, 90, 90, none, 1, open, open, -0.4841003, 10.87114, 166.2335, 1.319153, 563.543
117, NorthPlaza, 0, NorthPlaza, 90, 90, none, 1, open, open, -2.36554, 11.82366, 169.1201, 1.277588, 566.2923
118, Rotman, 0, Rotman, -90, -90, none, 1, closed, closed, 1.275764, 6.731641, -166.5909, 1.138672, 569.1663
