73, KnoxCollege, 84, KnoxCollege, 174, 90, none, 1, closed, open, -9.756439, 7.838761, 240.4449, 1.531494, 575.4359
74, TriangleArchway, 0, TriangleArchway, 90, 90, none, 1, closed, closed, -8.327667, 8.976145, 160.5089, 1.127747, 577.7887
75, WalnutApartment, 0, WalnutApartment, 90, 90, none, 1, open, open, -8.327637, 6.125856, 158.811, 1.475769, 581.3527
76, neutral, 0, Rotman, 90, 90, none, 0, open, open, -6.796814, -1.899475, 147.9099, 1.253052, 583.7195
77, OceanLot, 0, MarketColorado, 90, 90, none, 0, closed, closed, -8.816895, 2.296086, 155.0917, 1.183228, 586.0308
78, neutral, 0, TrescaBoston, -90, -90, none, 0, open, open, 6.27324, 3.315134, -168.83, 2.353027, 589.5948
79, neutral, 0, WalnutApartment, -90, -90, none, 0, closed, closed, 5.911755, 6.791479, -165.6477, 1.392456, 592.1705
80, SketchBurger, 0, TriangleArchway, -90, -90, none, 0, open, open, 3.948601, 9.699215, -164.248, 1.629211, 595.0386
81, neutral, 0, MountVernon, 90, 90, none, 0, closed, closed, -1.512939, 9.899301, 129.9086, 2.380859, 598.7278
82, SwarthmoreFriends, 140, SwarthmoreFriends, 50, -90, none, 1, closed, closed, 3.408804, 4.190281, -15.29944, 1.33667, 601.3312
83, FenningStEngland, 0, SketchBurger, 90, 90, none, 0, open, open, -6.912811, 9.202281, 158.0688, 1.197449, 603.6285
84, DownhillDriveway, 0, BennettPlace, -90, -90, none, 0, open, open, 2.454856, 0.3559914, -149.4506, 1.838257, 606.664
85, neutral, 0, DiningHall, -10, -90, none, 0, closed, closed, 4.162562, 1.930709, -72.23907, 1.434082, 609.4758
86, 31stStNewYork, 0, WoodshopDoorway, -90, -90, none, 0, closed, closed, 3.613214, 4.536039, -157.4443, 1.294617, 612.1627
87, neutral, 0, YellowHallway, -90, -90, none, 0, open, open, 1.674032, 4.145921, -152.2689, 1.294922, 614.8499
88, neutral, 0, KnoxCollege, -6, -90, none, 0, open, open, 3.338886, 3.378819, -71.48251, 1.601379, 617.7875
89, neutral, 0, Hollingworth, -90, -90, none, 0, open, open, 3.114147, 2.311798, -156.9123, 1.294739, 620.4466
90, FuFoundationHall, 0, DownhillDriveway, 90, 90, none, 0, closed, closed, -6.863922, 14.6215, 160.8834, 1.601257, 623.426
91, TrescaBoston, 0, TrescaBoston, 90, 90, none, 1, closed, closed, -4.477295, 13.91308, 151.7196, 1.141663, 625.8484
92, SwarthmoreFriends, 140, FuFoundationHall, -90, -90, none, 0, open, open, 2.214716, 1.351153, -153.9996, 1.796082, 628.9114
93, YellowHallway, 0, YellowHallway, 90, 90, none, 1, closed, closed, -7.042175, 7.469866, 148.4296, 1.587097, 632.197
94, Reykjavik, 0, FenningStEngland, 90, 90, none, 0, closed, closed, -5.511444, 10.98144, 145.7875, 1.629089, 635.0093
95, OceanLot, 0, OceanLot, 90, 90, none, 1, open, open, -5.186859, 9.399059, 146.7533, 1.364441, 638.0027
96, Portland3, 0, Portland3, -90, -90, none, 1, closed, open, 5.509069, 3.819281, -145.8246, 1.614929, 641.1909
97, BennettPlace, 0, Reykjavik, 90, 90, none, 0, open, open, -11.71747, -3.099762, 142.4286, 1.294861, 646.3838
98, ChurchLot, 0, ChurchLot, -90, -90, none, 1, closed, closed, 12.19636, 1.436473, -141.6223, 1.642822, 649.3771
99, Reykjavik, 0, Reykjavik, -90, -90, none, 1, closed, closed, 3.378739, 8.713696, -146.9599, 1.280701, 651.897
100, DownhillDriveway, 0, DownhillDriveway, -90, -90, none, 1, open, open, 7.945674, 7.242491, -151.8495, 1.796143, 655.0436
101, neutral, 0, ViaAgency, -90, -90, none, 0, closed, closed, 6.217472, 5.949082, -156.2989, 1.378357, 657.9115
102, RueRousseletParis, 0, RueRousseletParis, 90, 90, none, 1, closed, closed, -8.954437, 4.564401, 137.9061, 1.629028, 660.8213
103, FenningStEngland, 0, FenningStEngland, -90, -90, none, 1, open, open, 4.882225, 4.135668, -150.1436, 2.506104, 664.8449
104, Dublin2, 0, Dublin2, -90, -90, none, 1, closed, closed, 8.027568, 1.634538, -157.2306, 1.113953, 673.8804
105, WallOfHonor, 90, WallOfHonor, 0, -90, none, 1, closed, closed, 8.268581, -2.281555, -61.03021, 1.04425, 676.1359
106, FuFoundation, 270, FuFoundation, 180, -90, none, 1, open, open, 8.178739, 4.286963, 112.6178, 1.308838, 678.5026
107, CottageAve, 0, CottageAve, -90, -90, none, 1, open, open, 6.219565, 0.9706737, -160.8616, 1.225464, 694.8198
108, MarketColorado, 0, MarketColorado, -90, -90, none, 1, open, open, 4.598131, -0.2891541, -148.0944, 2.102234, 698.1609
109, ZebraEntry, 0, OceanLot, -90, -90, none, 0, closed, closed, 4.659757, 2.042658, -163.424, 1.503479, 700.8896
110, neutral, 0, ChurchLot, 90, 90, none, 0, open, open, 0.329654, 12.33786, 157.9752, 4.580688, 706.6675
111, neutral, 0, MontessoriBooks, 90, 90, none, 0, open, open, -4.983429, 6.797198, 154.7964, 1.462036, 710.0785
112, 31stStNewYork, 0, 31stStNewYork, 90, 90, none, 1, closed, closed, -8.339722, 1.624062, 142.2797, 1.475647, 712.9464
113, neutral, 0, FuFoundation, 360, 90, none, 0, closed, closed, -6.923126, 4.752419, 410.3598, 1.350525, 715.4802
114, Hollingworth, 0, Hollingworth, 90, 90, none, 1, closed, closed, -5.825378, 2.177196, 139.1263, 0.9605713, 717.666
115, MountVernon, 0, MountVernon, -90, -90, none, 1, open, open, 5.625123, 0.7972347, -160.6579, 1.169556, 720.1443
116, ViaAgency, 0, ViaAgency, 90, 90, none, 1, open, closed, -8.828339, 10.6394, 167.6277, 2.004944, 723.5693
117, NorthPlaza, 0, NorthPlaza, 90, 90, none, 1, open, open, -6.589111, 8.864581, 178.7111, 1.796143, 727.6902
118, Rotman, 0, Rotman, -90, -90, none, 1, closed, closed, 1.517192, 12.19948, -164.3812, 1.378906, 730.4196
119, RueRousseletParis, 0, SwarthmoreFriends, 230, 90, none, 0, open, open, 0.9728408, 9.457791, 295.4021, 1.656555, 734.0108
120, NewHavenMuseum2, 252, NewHavenMuseum2, 162, -90, none, 1, open, open, 1.636593, 5.917967, 93.52368, 1.712524, 737.1155
121, CottageAve, 0, RosaPortsmouth, -90, -90, none, 0, closed, closed, 7.658606, 4.046836, -166.5276, 2.199829, 742.072
122, neutral, 0, WallOfHonor, 180, 90, none, 0, open, open, -5.828705, 18.3093, 245.3811, 4.163025, 747.8219
123, WoodshopDoorway, 0, ZebraEntry, -90, -90, none, 0, closed, open, 9.246759, 3.815987, -168.3611, 1.294983, 750.481
124, SeattleNeighborhood9, 0, SeattleNeighborhood9, -90, -90, none, 1, closed, open, 5.037819, -4.319092, -98.31998, 0.3619385, 752.068
