trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,arrowDirection,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityTarget,familiarityPrime,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc,arrowValidity,primeCondition
15,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,2.535388,-4.32724,-76.78323,1.058228,693.1501,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
16,PineEntrance,0,PineEntrance,-90,-90,left,1,open,open,3.045084,-6.496277,-168.9707,0.9747314,696.4639,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
18,53Commons,0,53Commons,90,90,right,1,open,open,-4.905151,-0.4811707,162.9057,1.211365,703.5508,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
19,Hop4,-3,Hop4,-93,-90,right,3,open,open,1.047663,-6.514893,-167.0801,0.8771973,706.7813,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
20,MooreLot,180,MooreLot,270,90,right,1,open,open,-3.209045,-2.280426,349.7065,1.15564,710.3317,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
21,McLaughlinCluster,172,McLaughlinCluster,262,90,right,1,open,open,-3.577362,0.5721998,339.5287,0.9607544,713.5897,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
22,AllenSt,0,AllenSt,-90,-90,right,3,open,open,4.734933,-5.114197,-159.8717,1.002502,717.0288,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
23,Hop4,-3,Hop4,87,90,right,1,closed,closed,-5.759277,0.3115878,162.2633,0.7936401,720.0502,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
24,BakerBerryHistoric2,180,BakerBerryHistoric2,90,-90,left,1,closed,closed,2.937703,1.17012,17.061,1.030396,723.6146,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
26,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-4.937012,2.315986,118.2819,0.9885864,730.2143,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
27,NeutralBakerBerry2nd,0,BakerBerry2nd,184,90,right,2,open,open,-6.210785,-2.662659,256.1297,0.9332886,733.6199,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
28,McLaughlinCluster,172,McLaughlinCluster,82,-90,right,3,closed,closed,3.175532,-9.34726,21.83081,1.169739,737.2676,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
29,NeutralZimmerman,0,Zimmerman,-190,-90,left,2,closed,closed,3.846846,-6.35141,-256.9291,0.9885864,740.6801,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
30,RaunerBackHall,0,RaunerBackHall,-90,-90,left,1,closed,closed,5.166303,-1.589783,-169.6061,0.8634644,743.8408,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
31,BakerBerryCharter,-90,BakerBerryCharter,-180,-90,left,1,open,open,5.904752,-1.269714,-257.4709,0.8494873,747.0432,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
32,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-10.94022,2.933797,111.9143,1.058167,750.3986,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
33,NeutralBakerBerryCharter,0,BakerBerryCharter,-180,-90,left,2,open,open,5.783352,3.359036,-259.676,0.8215942,753.4897,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
34,AllenSt,0,AllenSt,-90,-90,left,1,open,open,3.891676,-1.921844,-161.656,1.04425,756.9844,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
35,RaunerFirst,0,RaunerFirst,90,90,left,3,open,open,-7.097565,3.142368,159.546,1.281067,760.6463,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
36,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,5.787346,3.942094,-76.43231,1.37854,764.4613,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
37,McLaughlinCluster,172,McLaughlinCluster,82,-90,left,1,closed,closed,3.784301,-7.206543,17.65256,1.127808,768.0118,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
38,Hop2,-1,Hop2,-91,-90,left,1,closed,closed,7.279191,1.267072,-167.3669,1.294922,771.7433,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
39,Umplebys,-50,Umplebys,-140,-90,left,1,open,open,7.248493,-5.278931,-214.3923,1.044312,775.1128,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
40,BakerBerryHistoric2,180,BakerBerryHistoric2,90,-90,left,1,closed,closed,5.653112,-1.072601,17.53711,0.9469604,778.3987,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
41,NeutralUmplebys,0,Umplebys,-140,-90,right,4,open,open,6.084923,-4.120697,-211.1717,0.9468994,781.5798,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
42,RaunerBackHall,0,RaunerBackHall,90,90,right,1,open,open,-5.689789,-2.127625,160.4892,0.9885864,784.9075,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
43,BakerBerryCharter,-90,BakerBerryCharter,0,90,right,1,closed,closed,-7.528198,6.837176,71.51529,1.656982,788.8618,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
44,NeutralPineEntrance,0,PineEntrance,90,90,right,2,closed,closed,-4.619141,6.722342,158.8619,1.33667,792.5493,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
45,53Commons,0,53Commons,90,90,left,3,open,open,-5.386688,1.806213,158.5871,1.016541,795.891,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
46,NeutralMcLaughlinCluster,0,McLaughlinCluster,262,90,right,2,open,open,-7.146118,0.4249802,333.2724,0.9469604,799.2057,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
47,Fairbanks,0,Fairbanks,-90,-90,right,3,open,open,7.242124,-6.100555,-159.4398,1.016479,802.4916,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
48,NeutralMaynard,0,Maynard,90,90,right,2,closed,closed,-6.826263,-3.164429,157.1696,0.9746704,805.7103,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
49,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,left,3,open,open,-3.384094,4.138517,339.7464,1.127869,809.0938,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
50,Hop2,-1,Hop2,-91,-90,left,1,closed,closed,5.883026,-2.782166,-156.4226,0.9328613,812.2823,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
51,NeutralPineBackHall,0,PineBackHall,270,90,right,2,closed,closed,-7.453735,-1.116394,334.9414,1.030396,815.6508,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
52,BakerBerryCharter,-90,BakerBerryCharter,-180,-90,left,1,open,open,6.385519,-2.93512,-252.8237,0.8773193,818.8949,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
53,53Commons,0,53Commons,-90,-90,left,1,closed,closed,5.454222,-6.930756,-158.2066,1.267151,830.0198,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
54,BakerBerry2nd,94,BakerBerry2nd,184,90,right,1,open,open,-4.905334,-1.285034,251.8963,0.8633423,833.2778,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
55,Hop4,-3,Hop4,-93,-90,left,1,open,open,3.70829,-0.3383484,-159.994,0.8912354,836.5499,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
56,MooreLot,180,MooreLot,270,90,right,1,open,open,-4.32016,-3.635193,336.4856,0.9331665,841.7435,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
57,Hop4,-3,Hop4,-93,-90,left,1,open,open,7.15475,-5.436646,-159.0066,0.8633423,844.9318,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
58,Fairbanks,0,Fairbanks,-90,-90,left,1,open,open,6.735233,-4.999634,-164.0976,1.113831,848.3012,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
59,Zimmerman,-100,Zimmerman,-10,90,right,1,open,open,-6.524353,-0.04190063,59.72332,0.9328003,851.5871,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
60,NeutralAllenSt,0,AllenSt,-90,-90,right,4,open,open,6.196188,-3.575165,-161.367,0.9746704,854.9686,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
61,NeutralBakerBerry2nd,0,BakerBerry2nd,4,-90,left,2,closed,closed,6.993515,-1.078186,-71.66675,1.058228,858.3937,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
62,NeutralPineBackHall,0,PineBackHall,270,90,left,4,closed,closed,-6.310883,1.049413,339.6872,1.336731,862.0417,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
63,RollinsChapel3,177,RollinsChapel3,87,-90,left,1,open,open,4.062093,-6.220978,18.00726,0.9608154,865.4252,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
64,NeutralRaunerFirst,0,RaunerFirst,90,90,left,4,open,open,-7.153015,0.9495452,160.2314,0.9190674,868.6664,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
65,53Commons,0,53Commons,-90,-90,left,1,closed,closed,5.423424,-0.286499,-165.4317,1.002502,871.9663,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
66,Umplebys,-50,Umplebys,40,90,right,1,closed,closed,-6.537079,2.637887,110.7924,1.113953,875.4472,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
67,RaunerBackHall,0,RaunerBackHall,-90,-90,right,3,closed,closed,6.747194,0.6692145,-171.0103,1.072144,878.9419,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
68,NeutralMooreLot,0,MooreLot,270,90,right,2,open,open,-7.072906,1.439095,339.295,0.9468384,882.171,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
69,BakerBerry2nd,94,BakerBerry2nd,184,90,right,1,open,open,-5.8685,-6.36557,240.8591,0.9329224,885.4848,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
70,NeutralMcLaughlinCluster,0,McLaughlinCluster,262,90,left,4,open,open,-5.971436,-0.6898804,332.3976,0.9747314,888.7986,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
71,NeutralFairbanks,0,Fairbanks,90,90,right,2,closed,closed,-5.477295,-2.792511,160.2082,0.9746094,892.1681,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
72,NeutralPineEntrance,0,PineEntrance,90,90,left,4,closed,closed,-5.272797,4.205057,157.146,1.169495,895.7046,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
73,NeutralRaunerBackHall,0,RaunerBackHall,90,90,left,4,open,open,-6.910217,-3.133698,152.7497,0.9051514,898.9543,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
74,Hop2,-1,Hop2,89,90,right,1,open,open,-7.232269,-3.118896,153.6343,0.8493652,902.0872,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
75,NeutralFairbanks,0,Fairbanks,-90,-90,right,4,open,open,8.332844,-3.541229,-164.6732,0.9050293,905.2756,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
76,BakerBerryHistoric2,180,BakerBerryHistoric2,270,90,right,1,open,open,-3.896484,5.444952,342.8421,0.7937622,908.5477,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
77,NeutralMcLaughlinCluster,0,McLaughlinCluster,82,-90,left,2,closed,closed,4.440385,-7.375732,22.17609,0.9327393,911.7361,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
78,53Commons,0,53Commons,-90,-90,left,1,closed,closed,6.086277,-3.913452,-160.4567,1.15564,915.2031,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
79,NeutralRollinsChapel3,0,RollinsChapel3,267,90,right,2,closed,closed,-6.641571,1.599293,328.9046,0.9608154,918.4583,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
80,NeutralHop2,0,Hop2,89,90,right,2,open,open,-6.001923,-1.151154,153.6086,0.9883423,921.7993,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
81,Zimmerman,-100,Zimmerman,-10,90,left,3,open,open,-6.238983,-3.248291,55.46338,1.448059,925.5865,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
82,Hop2,-1,Hop2,89,90,right,1,open,open,-10.16791,1.864647,158.0099,1.044312,928.9003,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
84,MooreLot,180,MooreLot,270,90,right,1,open,open,-6.247131,-2.573395,335.2185,0.8773193,935.4443,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
85,Zimmerman,-100,Zimmerman,-190,-90,left,1,closed,closed,6.246833,-7.202484,-259.859,0.8357544,938.4939,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
86,53Commons,0,53Commons,90,90,right,1,open,open,-6.877594,-2.906006,157.5787,0.8074951,941.4871,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
87,NeutralRollinsChapel3,0,RollinsChapel3,87,-90,right,4,open,open,3.671213,-5.128265,26.7695,1.15564,944.8984,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
88,AllenSt,0,AllenSt,90,90,right,1,closed,closed,-5.54248,-4.494019,153.4697,1.002563,948.1843,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
89,RaunerBackHall,0,RaunerBackHall,-90,-90,left,1,closed,closed,5.919777,-3.804901,-162.4915,0.9468994,951.3728,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
90,NeutralAllenSt,0,AllenSt,90,90,right,2,closed,closed,-6.089081,-2.704865,156.8038,0.9050903,954.4916,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
92,Maynard,0,Maynard,90,90,right,1,closed,closed,-5.57843,-2.480804,153.4315,0.9329834,960.8408,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
93,AllenSt,0,AllenSt,-90,-90,left,1,open,open,5.072172,-5.586975,-156.1448,1.002502,964.1545,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
94,BakerBerry2nd,94,BakerBerry2nd,4,-90,left,1,closed,closed,2.349815,-4.443848,-68.73334,0.9886475,967.4265,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
95,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,270,90,left,4,open,open,-7.433289,3.506495,340.3976,0.871697821782579,970.9074,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
96,Umplebys,-50,Umplebys,-140,-90,right,3,open,open,5.433376,-5.660553,-206.5875,0.8632813,974.2769,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
97,PineBackHall,180,PineBackHall,90,-90,left,1,open,open,6.10407,-1.18454,8.903107,0.8494873,977.4375,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
98,BakerBerry2nd,94,BakerBerry2nd,184,90,right,1,open,open,-4.873016,-2.223145,245.9127,0.7797241,980.4589,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
99,McLaughlinCluster,172,McLaughlinCluster,82,-90,left,1,closed,closed,4.730108,-8.90213,26.41406,0.9608765,983.717,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
100,NeutralHop2,0,Hop2,-91,-90,right,4,closed,closed,5.070179,-3.880524,-160.8305,0.8770752,986.8358,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
101,MooreLot,180,MooreLot,270,90,left,3,open,open,-6.804138,-1.95929,336.5777,0.8076782,989.9268,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
102,RaunerFirst,0,RaunerFirst,-90,-90,left,1,closed,closed,5.8158,0.2848681,-163.2796,1.044373,993.2128,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
103,PineBackHall,180,PineBackHall,270,90,left,3,closed,closed,-8.356262,5.302781,336.1451,0.9747925,996.4987,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
104,Hop4,-3,Hop4,87,90,left,3,closed,closed,-6.992035,3.897765,153.4759,1.085571,999.8821,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
105,NeutralBakerBerry2nd,0,BakerBerry2nd,184,90,left,4,open,open,-7.087006,-2.390259,245.8732,0.7799683,1002.959,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
106,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,270,90,right,2,open,open,-9.359253,-4.05072,332.1273,0.8632202,1006.106,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
107,NeutralHop4,0,Hop4,-93,-90,right,4,open,open,3.462737,-4.968384,-161.7768,1.099976,1021.873,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
108,Maynard,0,Maynard,90,90,right,1,closed,closed,-4.308441,-3.918396,153.3391,0.8634033,1025.117,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
109,Neutral53Commons,0,53Commons,-90,-90,right,4,closed,closed,4.663108,-5.645264,-156.4112,0.8771973,1028.25,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
110,RollinsChapel3,177,RollinsChapel3,267,90,right,1,closed,closed,-4.807648,-2.544708,332.0216,0.7797852,1031.564,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
112,BakerBerryCharter,-90,BakerBerryCharter,0,90,left,3,closed,closed,-5.710907,-1.072418,67.64494,0.8354492,1037.649,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
113,RaunerBackHall,0,RaunerBackHall,90,90,right,1,open,open,-5.50177,-0.148468,159.6463,0.8355713,1040.712,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
114,McLaughlinCluster,172,McLaughlinCluster,262,90,right,1,open,open,-4.552032,-1.011475,329.9004,0.9606934,1043.97,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
115,AllenSt,0,AllenSt,-90,-90,left,1,open,open,6.076596,-5.420288,-162.6592,0.7657471,1046.992,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
116,Fairbanks,0,Fairbanks,90,90,right,1,closed,closed,-5.349457,-5.196228,150.8215,0.7657471,1049.999,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
117,NeutralBakerBerryCharter,0,BakerBerryCharter,0,90,left,4,closed,closed,-6.46463,-0.212677,69.9322,1.26709,1053.591,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
119,Zimmerman,-100,Zimmerman,-190,-90,left,1,closed,closed,4.032542,-8.808258,-256.8788,1.225342,1060.818,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
120,PineEntrance,0,PineEntrance,90,90,right,1,closed,closed,-1.531921,3.026774,161.6995,0.997015821782281,1064.243,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
121,NeutralRaunerBackHall,0,RaunerBackHall,-90,-90,left,2,closed,closed,4.035812,-3.641907,-161.8743,0.7938232,1067.404,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
122,Hop4,-3,Hop4,87,90,right,1,closed,closed,-7.52005,0.7528925,154.8606,0.8355713,1070.495,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
123,Maynard,0,Maynard,-90,-90,left,1,open,open,5.82058,-3.372681,-157.8051,0.8074951,1073.627,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
124,AllenSt,0,AllenSt,90,90,left,3,closed,closed,-6.708801,-6.177032,151.8136,0.9329834,1076.871,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
125,PineBackHall,180,PineBackHall,270,90,right,1,closed,closed,-5.901825,2.516665,338.5107,1.155762,1080.38,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
126,Hop2,-1,Hop2,89,90,right,1,open,open,-4.710938,-1.901917,153.0013,0.7381592,1083.429,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
127,PineBackHall,180,PineBackHall,270,90,right,1,closed,closed,-7.509399,6.891482,333.6374,1.099976,1086.841,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
128,AllenSt,0,AllenSt,90,90,right,1,closed,closed,-5.007294,-3.183136,153.1036,0.9190674,1090.029,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
129,NeutralMaynard,0,Maynard,-90,-90,right,4,open,open,5.129942,-5.204681,-165.0125,0.8354492,1093.245,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
130,NeutralRollinsChapel3,0,RollinsChapel3,87,-90,left,2,open,open,3.612651,-5.365204,20.6192,1.085938,1096.671,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
132,NeutralAllenSt,0,AllenSt,-90,-90,left,2,open,open,4.475999,-6.828247,-162.4613,0.7658691,1103.563,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
133,BakerBerryHistoric2,180,BakerBerryHistoric2,90,-90,left,1,closed,closed,4.08852,-0.9134827,15.06772,0.79413067307237,1107.183,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
134,NeutralHop2,0,Hop2,89,90,left,4,open,open,-6.281494,-2.879913,156.0379,0.7938232,1110.288,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
135,BakerBerry2nd,94,BakerBerry2nd,184,90,left,3,open,open,-5.513062,-2.773285,245.7126,0.8494873,1113.588,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
136,NeutralZimmerman,0,Zimmerman,-190,-90,right,4,closed,closed,4.199466,-5.390839,-260.5119,0.7797852,1116.693,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
137,Maynard,0,Maynard,-90,-90,left,1,open,open,3.341479,-5.744873,-160.8907,0.9190674,1119.937,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
138,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,90,-90,left,2,closed,closed,3.577272,-4.229309,21.32059,0.9190674,1123.125,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
140,Fairbanks,0,Fairbanks,90,90,right,1,closed,closed,-4.468933,-4.254486,156.6284,0.9468994,1131.089,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
141,RollinsChapel3,177,RollinsChapel3,87,-90,left,1,open,open,3.162791,-6.431366,26.77533,0.7657471,1134.25,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
142,NeutralRaunerBackHall,0,RaunerBackHall,90,90,right,2,open,open,-6.867218,-1.66626,151.6446,0.9189453,1137.438,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
143,NeutralFairbanks,0,Fairbanks,-90,-90,left,2,open,open,6.519905,-7.440155,-158.2667,0.9747314,1140.655,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
144,PineEntrance,0,PineEntrance,90,90,right,1,closed,closed,-5.28891,4.108442,155.4456,0.9468994,1143.843,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
145,NeutralPineBackHall,0,PineBackHall,90,-90,right,4,open,open,5.702854,-4.1633,17.76697,0.835848673074456,1147.254,missing,missing,member010_new,remote,NaN,NaN,0.916666666666667,0.957345971563981,invalid,Neutral
146,NeutralHop2,0,Hop2,-91,-90,left,2,closed,closed,7.285309,-9.712585,-162.1664,1.016479,1150.526,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
148,Umplebys,-50,Umplebys,40,90,left,3,closed,closed,-5.166229,-4.03244,107.4999,0.9329834,1162.027,missing,missing,member010_new,remote,NaN,NaN,0.944444444444444,0.957345971563981,invalid,Same-scene
150,Neutral53Commons,0,53Commons,-90,-90,left,2,closed,closed,5.085172,-8.906494,-146.1072,1.030396,1168.502,missing,missing,member010_new,remote,NaN,NaN,0.971428571428571,0.957345971563981,valid,Neutral
151,Hop2,-1,Hop2,-91,-90,left,1,closed,closed,2.308337,-7.362518,-145.3515,0.8074951,1171.593,missing,missing,member010_new,remote,NaN,NaN,0.971153846153846,0.957345971563981,valid,Same-scene
