trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,arrowDirection,condition,correctResponse,response,roll,pitch,yaw,rt,timestamp,familiarityTarget,familiarityPrime,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc,arrowValidity,primeCondition
187,RollinsChapel3,177,RollinsChapel3,87,-90,left,1,open,open,7.867985,4.46872,34.25647,0.8353271,1529.439,yes,yes,matisse352,inperson,NaN,NaN,0.962025316455696,0.92,valid,Same-scene
190,NeutralMaynard,0,Maynard,90,90,left,4,closed,closed,-9.255371,4.209999,156.8355,1.462036,1539.38,yes,na,matisse352,inperson,NaN,NaN,0.941176470588235,0.92,invalid,Neutral
194,NeutralRaunerFirst,0,RaunerFirst,-90,-90,right,4,closed,closed,7.520738,9.7274,-142.5888,0.9467773,1556.184,yes,na,matisse352,inperson,NaN,NaN,0.941176470588235,0.92,invalid,Neutral
196,NeutralHop4,0,Hop4,87,90,left,4,closed,closed,-7.684387,6.038171,144.2699,1.266968,1563.256,yes,na,matisse352,inperson,NaN,NaN,0.941176470588235,0.92,invalid,Neutral
199,Fairbanks,0,Fairbanks,90,90,left,3,closed,closed,-9.690491,0.9324167,151.3299,1.016357,1573.378,yes,yes,matisse352,inperson,NaN,NaN,0.777777777777778,0.92,invalid,Same-scene
200,NeutralRollinsChapel3,0,RollinsChapel3,267,90,left,4,closed,closed,-6.761841,7.192179,334.4402,0.8354492,1576.441,yes,na,matisse352,inperson,NaN,NaN,0.941176470588235,0.92,invalid,Neutral
203,NeutralMooreLot,0,MooreLot,90,-90,left,2,closed,closed,7.345961,6.183154,19.60358,1.044067,1585.936,yes,na,matisse352,inperson,NaN,NaN,0.914285714285714,0.92,valid,Neutral
206,NeutralRaunerBackHall,0,RaunerBackHall,-90,-90,right,4,closed,closed,9.315241,7.706789,-157.8992,1.016357,1595.25,yes,na,matisse352,inperson,NaN,NaN,0.941176470588235,0.92,invalid,Neutral
208,MooreLot,180,MooreLot,90,-90,left,1,closed,closed,7.98821,4.14214,21.11884,0.8909912,1601.445,yes,yes,matisse352,inperson,NaN,NaN,0.962025316455696,0.92,valid,Same-scene
209,NeutralUmplebys,0,Umplebys,40,90,right,2,closed,closed,-7.444458,6.516438,118.2673,0.9886475,1604.717,yes,na,matisse352,inperson,NaN,NaN,0.914285714285714,0.92,valid,Neutral
210,RollinsChapel3,177,RollinsChapel3,267,90,left,3,closed,closed,-3.39032,10.68893,332.6927,0.81510337373495,1607.975,yes,yes,matisse352,inperson,NaN,NaN,0.777777777777778,0.92,invalid,Same-scene
213,RollinsChapel3,177,RollinsChapel3,87,-90,right,3,open,open,9.479385,5.127607,22.11801,0.9185791,1617.971,yes,yes,matisse352,inperson,NaN,NaN,0.777777777777778,0.92,invalid,Same-scene
214,BakerBerryCharter,-90,BakerBerryCharter,0,90,right,1,closed,closed,-8.215302,4.467838,63.20153,0.8215332,1621.187,yes,yes,matisse352,inperson,NaN,NaN,0.962025316455696,0.92,valid,Same-scene
2,Fairbanks,0,Fairbanks,-90,-90,left,1,open,open,7.231486,9.246401,-163.1337,1.629028,706.2521,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
3,Hop2,-1,Hop2,89,90,left,3,open,open,-1.65155,1.161498,178.4067,1.40284410752982,712.5728,yes,yes,matisse348,inperson,NaN,NaN,0.952380952380952,0.942675159235669,invalid,Same-scene
4,NeutralFairbanks,0,Fairbanks,90,90,left,4,closed,closed,-2.124329,0.9035841,180.1334,1.43072010752117,717.8755,yes,na,matisse348,inperson,NaN,NaN,1,0.942675159235669,invalid,Neutral
5,NeutralBakerBerryHistoric2,0,BakerBerryHistoric2,90,-90,right,4,closed,closed,6.883312,8.350099,14.27274,1.531555,723.9415,unsure,na,matisse348,inperson,NaN,NaN,1,0.942675159235669,invalid,Neutral
6,PineEntrance,0,PineEntrance,-90,-90,left,1,open,open,7.714146,12.18496,-167.2586,1.65113706817962,729.8031,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
7,AllenSt,0,AllenSt,90,90,right,1,closed,closed,-2.253784,0.1015796,184.8581,1.61499,735.3301,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
8,RaunerFirst,0,RaunerFirst,90,90,right,1,open,open,-1.863739,0.2864456,174.3771,1.76825,740.2726,yes,yes,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
9,MooreLot,180,MooreLot,90,-90,left,1,closed,closed,5.64388,7.189075,9.520355,1.350708,744.519,unsure,unsure,matisse348,inperson,NaN,NaN,0.945945945945946,0.942675159235669,valid,Same-scene
10,Neutral53Commons,0,53Commons,90,90,right,2,open,open,-2.426758,-0.6515198,183.7082,1.253357,748.9398,yes,na,matisse348,inperson,NaN,NaN,0.866666666666667,0.942675159235669,valid,Neutral
