trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
35,neutral,0,Hop2,89,90,0,open,open,-2.792175,7.73951,172.0062,1.127625,762.6844,2,na,yes,Q26,remote,NaN,1,0.791666666666667,0.855670103092783
36,Fairbanks,0,Fairbanks,-90,-90,1,open,open,11.87093,3.159455,-166.358,1.504333,765.4695,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
38,neutral,0,BakerBerryCharter,0,90,0,closed,closed,0.9050815,3.927477,77.19064,0.654541,770.5785,2,na,yes,Q26,remote,NaN,0.333333333333333,0.791666666666667,0.855670103092783
39,PineEntrance,0,PineEntrance,-90,-90,1,open,open,3.964986,4.753051,-174.3946,1.50354,773.2098,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
41,53Commons,0,53Commons,90,90,1,open,open,-0.2794495,5.494235,168.8698,1.629578,779.4057,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
42,MooreLot,180,MooreLot,90,90,2,closed,closed,0.03860835,6.088488,167.5398,1.350403,781.9947,3,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.875,0.855670103092783
43,AllenSt,0,AllenSt,-90,-90,1,open,open,5.169537,0.7004628,-170.8463,1.545532,784.6957,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
45,MooreLot,180,MooreLot,90,-90,1,closed,closed,3.398167,7.71781,-22.3389,2.005249,792.2557,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
47,neutral,0,Maynard,-90,-90,0,open,open,4.646308,3.649509,-189.4496,1.782532,798.9524,2,na,yes,Q26,remote,NaN,0.666666666666667,0.791666666666667,0.855670103092783
48,53Commons,0,53Commons,90,90,1,open,open,0.7346811,2.62438,173.1675,1.141541,801.1656,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
49,Fairbanks,0,Fairbanks,-90,-90,1,open,open,5.549056,3.767682,-182.6115,1.434204,803.7416,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
50,AllenSt,0,AllenSt,270,90,2,open,open,-0.6334839,3.207264,357.7164,1.23938,806.0665,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
52,RaunerBackHall,0,RaunerBackHall,90,90,1,open,open,-2.200043,5.341121,181.0754,1.406128,811.2178,1,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
53,BakerBerry2nd,94,BakerBerry2nd,184,-90,2,open,open,3.644317,8.061206,87.91962,1.141357,813.4869,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
54,BakerBerryCharter,-90,BakerBerryCharter,180,90,2,open,open,-0.2677307,5.724892,263.3149,0.7376709,815.3527,3,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.875,0.855670103092783
56,Maynard,0,Maynard,90,90,1,closed,closed,0.4778369,4.376797,168.4268,1.628967,820.7546,1,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
60,RaunerFirst,0,RaunerFirst,90,90,1,open,open,-3.85498,8.90187,175.3091,1.239258,832.0731,1,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
61,neutral,0,BakerBerry2nd,4,-90,0,closed,closed,3.813814,10.53551,-32.69977,2.937805,836.1664,2,na,yes,Q26,remote,NaN,1,0.791666666666667,0.855670103092783
62,MooreLot,180,MooreLot,90,-90,1,closed,closed,8.188635,6.570083,5.019653,1.921265,839.6191,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
63,Hop4,-3,Hop4,87,90,1,closed,closed,2.28081,7.781199,164.0777,1.907532,842.6544,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
66,RaunerFirst,0,RaunerFirst,90,90,1,open,open,-4.90976,7.246216,169.5432,1.503357,854.8221,1,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
67,PineEntrance,0,PineEntrance,-90,-90,1,open,open,8.282382,7.169328,-170.3391,1.461975,857.4119,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
69,BakerBerry2nd,94,BakerBerry2nd,184,90,1,open,open,-4.752441,6.596667,261.2254,1.420166,863.4681,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
71,RollinsChapel3,177,RollinsChapel3,267,90,1,closed,closed,-0.5294189,7.254355,345.9532,1.600891,874.2578,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
72,Hop2,-1,Hop2,-91,-90,1,closed,closed,4.015665,9.328706,-165.9752,1.197815,876.611,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
78,PineEntrance,0,PineEntrance,90,-90,2,closed,closed,4.589482,10.78246,12.21289,1.489624,891.5631,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
79,Hop4,-3,Hop4,-93,-90,1,open,open,7.054427,9.26667,-170.6376,2.478027,894.9185,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
80,RollinsChapel3,177,RollinsChapel3,87,90,2,open,open,-2.392822,2.348773,177.2314,1.530701,897.5776,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
82,MooreLot,180,MooreLot,270,90,1,open,open,0.0231269,4.569666,351.0365,1.350342,902.7983,1,yes,yes,Q26,remote,0.333333333333333,0.333333333333333,0.877551020408163,0.855670103092783
86,Hop2,-1,Hop2,89,-90,2,open,open,9.177691,6.859541,2.800018,1.712463,914.6742,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
87,McLaughlinCluster,172,McLaughlinCluster,262,-90,2,open,open,7.4238,5.984207,178.0979,1.587341,917.4031,3,yes,yes,Q26,remote,0,0,0.875,0.855670103092783
88,AllenSt,0,AllenSt,90,-90,2,closed,closed,10.55098,6.127464,-5.560974,1.531555,920.0486,3,yes,yes,Q26,remote,1,1,0.875,0.855670103092783
89,neutral,0,Fairbanks,-90,-90,0,open,open,8.625973,2.470742,-170.6396,0.9605713,922.1922,2,na,yes,Q26,remote,NaN,0.333333333333333,0.791666666666667,0.855670103092783
90,neutral,0,PineEntrance,-90,-90,0,open,open,6.934005,6.180126,-179.5758,1.309021,924.6705,2,na,yes,Q26,remote,NaN,1,0.791666666666667,0.855670103092783
91,Umplebys,-50,Umplebys,-140,-90,1,open,open,6.834233,5.76561,-225.6318,1.238892,927.0233,1,no,no,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
92,BakerBerry2nd,94,BakerBerry2nd,4,-90,1,closed,closed,4.799243,4.782722,-82.84552,1.100037,929.2512,1,yes,yes,Q26,remote,1,1,0.877551020408163,0.855670103092783
94,Maynard,0,Maynard,-90,-90,1,open,open,3.947026,2.666727,-171.0289,1.587463,934.9035,1,yes,yes,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
95,Umplebys,-50,Umplebys,-140,-90,1,open,open,8.834696,4.739674,-226.1187,1.266785,937.2703,1,no,no,Q26,remote,0.666666666666667,0.666666666666667,0.877551020408163,0.855670103092783
