trialIdx,primeName,primeAngleYaw,targetName,targetAngleYaw,targetSide,sameScenePrime,correctResponse,response,roll,pitch,yaw,rt,timestamp,condition,familiarityPrime,familiarityTarget,subject_id,session_format,explicit_acc_scenewise_prime,explicit_acc_scenewise_target,oc_acc_by_condition,oc_acc
92,neutral,0,BakerBerry2nd,-90,-90,0,closed,closed,1.442274,11.14256,-86.27484,1.100098,955.9265,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
93,PineBackHall,0,PineBackHall,-90,-90,1,open,open,5.803859,11.12927,-84.91235,0.8770752,958.3627,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
94,Maynard,0,Maynard,-90,90,2,open,open,-13.49283,14.10163,58.64806,1.336609,961.5928,3,no,no,degas754,inperson,0.666666666666667,0.666666666666667,0.931034482758621,0.956521739130435
95,neutral,0,RaunerFirst,-90,-90,0,closed,closed,5.754314,10.0549,-84.42419,0.9329224,963.9596,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
96,RollinsChapel3,0,RollinsChapel3,90,90,1,closed,closed,-14.63528,17.54593,64.1676,1.169495,966.6188,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
97,neutral,0,AllenSt,90,90,0,closed,closed,-15.24203,7.714134,65.24879,1.281006,969.5424,2,na,yes,degas754,inperson,NaN,1,0.911764705882353,0.956521739130435
99,RollinsChapel3,0,RollinsChapel3,90,90,1,closed,closed,-12.53723,13.59599,61.57523,1.156555,976.3651,1,yes,yes,degas754,inperson,1,1,1,0.956521739130435
101,Umplebys,0,Umplebys,-90,90,2,open,open,-12.61588,7.847042,60.02182,1.461853,982.866,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
103,Hop4,0,Hop4,90,-90,2,closed,closed,6.480759,6.817199,-77.96225,1.26709,988.7831,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
104,RollinsChapel3,0,RollinsChapel3,90,-90,2,closed,closed,10.65737,15.54669,-79.24542,1.266968,991.9712,3,yes,yes,degas754,inperson,1,1,0.931034482758621,0.956521739130435
